pitch_type,game_date,release_speed,release_pos_x,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,10/5/2022,87.3,2.75,"Olson, Matt",ground_ball,9,75.2,-12,87.7,2697,0.071,0.068,2
SL,10/5/2022,84,2.88,"Olson, Matt",fly_ball,402,104.5,32,84.3,2423,0.766,1.568,6
SL,10/5/2022,82.3,2.73,"Arcia, Orlando",popup,202,66.5,44,82.8,2276,0.337,0.324,3
CH,10/5/2022,89.1,2.88,"Grissom, Vaughn",line_drive,329,96.5,23,89.8,1729,0.269,0.35,5
SL,10/5/2022,88.5,2.81,"Adrianza, Ehire",ground_ball,16,74.6,-6,88.8,2773,0.086,0.077,2
FF,10/5/2022,96.5,2.71,"Heredia, Guillermo",line_drive,197,93.7,13,96,2641,0.937,0.923,4
SL,10/5/2022,84.3,-4.01,"Adrianza, Ehire",line_drive,281,94.6,17,83.7,1856,0.56,0.568,4
SL,10/5/2022,77.6,3.76,"Rosario, Eddie",popup,158,73.6,61,77.2,2434,0.02,0.018,3
SI,10/5/2022,92.5,-3.55,"Heredia, Guillermo",line_drive,258,80.2,23,92.4,2179,0.631,0.608,4
SL,10/5/2022,75.3,3.65,"Ozuna, Marcell",ground_ball,101,80.8,8,74.9,2309,0.38,0.355,4
SL,10/5/2022,74.5,3.76,"Contreras, William",ground_ball,22,81.4,-4,74.3,2353,0.154,0.15,2
SL,10/5/2022,81.2,-2.57,"Ozuna, Marcell",line_drive,181,79.8,16,81,2687,0.877,0.841,4
FF,10/4/2022,95.6,2.43,"Swanson, Dansby",ground_ball,13,95.4,-12,95.5,2476,0.169,0.152,2
SI,10/4/2022,95.2,-1.5,"Arcia, Orlando",ground_ball,2,94.7,-30,94.6,2449,0.111,0.113,2
FF,10/4/2022,94.1,-1.64,"Contreras, William",fly_ball,239,95.7,55,94.6,2437,0.011,0.014,3
SI,10/4/2022,93.6,-3.39,"Olson, Matt",line_drive,179,112.3,9,93.4,2080,0.837,0.849,5
SL,10/4/2022,91.3,2.76,"Grossman, Robbie",line_drive,152,72.3,15,91.3,2462,0.543,0.489,4
CU,10/4/2022,84.8,-1.62,"Olson, Matt",line_drive,189,94.5,11,83.8,3043,0.791,0.756,4
SL,10/4/2022,84.6,-3.63,"d'Arnaud, Travis",fly_ball,377,100.4,30,83.9,1923,0.503,0.935,6
SI,10/4/2022,94,-3.32,"Riley, Austin",line_drive,294,91.2,24,93.4,2224,0.16,0.181,3
SL,10/4/2022,89.2,2.83,"Harris II, Michael",ground_ball,8,103.1,-17,88.7,2668,0.217,0.204,2
SL,10/3/2022,80.6,-2.44,"Arcia, Orlando",fly_ball,208,90.7,58,80.4,2789,0.006,0.005,3
SI,10/3/2022,93.4,-3.03,"Swanson, Dansby",ground_ball,8,91.9,-15,94,1999,0.163,0.16,2
SI,10/3/2022,93.2,-2.87,"Acuña Jr., Ronald",ground_ball,5,86.7,-20,94,1930,0.094,0.085,2
SI,10/3/2022,90.2,2.91,"Olson, Matt",fly_ball,355,98.1,24,90.3,2094,0.374,0.513,5
FF,10/3/2022,94,-2.29,"d'Arnaud, Travis",line_drive,144,87.3,9,93.3,2290,0.454,0.409,4
SI,10/3/2022,92.6,-3.06,"Grossman, Robbie",ground_ball,36,70.8,1,92.7,1908,0.12,0.109,2
SL,10/3/2022,78.3,2.97,"Harris II, Michael",fly_ball,247,86.1,47,78.3,1945,0.003,0.003,3
FF,10/2/2022,95.8,-2.13,"Arcia, Orlando",line_drive,196,87,13,95,2561,0.823,0.758,4
CH,10/2/2022,88.3,4.2,"Riley, Austin",ground_ball,3,92.6,-26,88.2,1109,0.071,0.064,2
SL,10/2/2022,91,-1.94,"d'Arnaud, Travis",line_drive,324,91.8,23,92,2288,0.183,0.218,3
SI,10/1/2022,95.3,-2.47,"Swanson, Dansby",ground_ball,9,78.6,-9,96,2334,0.103,0.1,2
FC,10/1/2022,87.1,-2.92,"Acuña Jr., Ronald",ground_ball,26,95.3,-3,87.6,2629,0.294,0.276,2
FF,10/1/2022,95.7,2.38,"Riley, Austin",ground_ball,26,87.4,-4,97.5,2293,0.154,0.139,2
