pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,97.5,"Straw, Myles",line_drive,162,89,10,0,,0.591,0.534,4
SL,10/5/2022,90,"Maile, Luke",ground_ball,16,93.1,-9,0,,0.206,0.197,2
FF,10/5/2022,99.2,"Brennan, Will",fly_ball,296,88.1,33,0,,0.02,0.018,3
SL,10/5/2022,87.7,"Gonzalez, Oscar",line_drive,142,78.9,11,0,,0.423,0.381,4
FF,10/5/2022,98.2,"Naylor, Josh",fly_ball,296,89,41,0,,0.006,0.005,3
CH,10/5/2022,89.3,"Brennan, Will",ground_ball,4,86.5,-17,0,,0.103,0.099,2
CH,10/5/2022,87.6,"Gonzalez, Oscar",popup,200,79.4,53,0,,0.06,0.066,3
CH,10/5/2022,86.7,"Naylor, Josh",ground_ball,83,87.7,5,0,,0.4,0.367,4
CH,10/5/2022,87.3,"Ramírez, José",line_drive,287,98.1,15,0,,0.76,0.749,4
SL,10/5/2022,86.8,"Rosario, Amed",ground_ball,9,96.4,-11,0,,0.2,0.192,2
SL,10/4/2022,83,"Arias, Gabriel",ground_ball,125,86.6,8,82.3,2771,0.486,0.453,4
FC,10/4/2022,86.2,"Giménez, Andrés",popup,64,86.1,77,85.6,2350,0.011,0.013,3
SL,10/4/2022,82.8,"Gonzalez, Oscar",fly_ball,287,97.6,46,82,2704,0.009,0.008,3
CU,10/4/2022,79.4,"Ramírez, José",fly_ball,283,89.3,29,78.4,2935,0.071,0.086,3
FC,10/4/2022,88.6,"Rosario, Amed",fly_ball,397,102.8,29,88.2,2502,0.717,1.424,6
SL,10/3/2022,87.9,"Gonzalez, Oscar",fly_ball,325,94.1,35,87.7,2025,0.091,0.174,3
FF,10/3/2022,96.3,"Naylor, Bo",line_drive,303,104.2,15,96.9,2481,0.62,0.651,5
FF,10/3/2022,96.6,"Ramírez, José",ground_ball,19,107,-8,97,2318,0.349,0.314,2
CU,10/3/2022,78,"Brennan, Will",ground_ball,16,88.5,-4,78.5,2526,0.191,0.183,2
SL,10/3/2022,86.7,"Brennan, Will",line_drive,329,90.2,23,86.7,2121,0.226,0.255,3
CU,10/3/2022,79.2,"Kwan, Steven",ground_ball,10,89.8,-10,79.5,2644,0.163,0.164,2
CH,10/3/2022,88.6,"Ramírez, José",ground_ball,13,90.3,-8,87.8,1328,0.166,0.159,2
CU,10/2/2022,78.4,"Brennan, Will",fly_ball,341,98.9,25,78.3,2646,0.477,0.725,6
CU,10/2/2022,80.7,"Ramírez, José",ground_ball,70,91.9,4,80,2236,0.406,0.381,4
CU,10/2/2022,80.9,"Rosario, Amed",line_drive,282,95.9,15,79.6,2159,0.811,0.823,4
CH,10/2/2022,86.5,"Brennan, Will",ground_ball,10,90.1,-13,84.8,1610,0.137,0.131,2
SI,10/2/2022,93.1,"Gonzalez, Oscar",line_drive,276,92.1,15,94.1,2108,0.914,0.91,4
FF,10/1/2022,97.8,"Kwan, Steven",line_drive,273,85.4,27,99,2423,0.106,0.114,3
FF,10/1/2022,93.5,"Naylor, Bo",fly_ball,232,93.2,51,92.7,2138,0.006,0.005,3
SL,10/1/2022,82.5,"Benson, Will",ground_ball,8,31.9,-19,83,2596,0.254,0.257,1
FC,10/1/2022,88.7,"Arias, Gabriel",ground_ball,15,89.5,-8,88.3,2502,0.154,0.151,2
FF,10/1/2022,96.4,"Rosario, Amed",ground_ball,7,98.5,-16,96.9,2441,0.143,0.129,2
FF,10/1/2022,97.4,"Arias, Gabriel",ground_ball,5,78.6,-18,97.6,2383,0.06,0.062,2
SL,9/30/2022,87,"Ramírez, José",popup,155,72.6,57,87.2,2003,0.066,0.068,3
FF,9/30/2022,95.5,"Brennan, Will",ground_ball,9,61.9,-13,95,2517,0.06,0.054,2
FF,9/30/2022,93.2,"Gonzalez, Oscar",line_drive,157,99.9,7,93.1,2437,0.651,0.601,4
SI,9/29/2022,95,"Giménez, Andrés",fly_ball,312,95.5,35,95.2,2087,0.12,0.22,3
SI,9/29/2022,94.1,"Gonzalez, Oscar",ground_ball,14,49.3,-10,94.6,1994,0.129,0.124,1
FF,9/29/2022,94.5,"Rosario, Amed",ground_ball,4,63.1,-34,95.2,2335,0.06,0.054,2
FF,9/29/2022,94.4,"Kwan, Steven",line_drive,158,86.7,9,95,2170,0.454,0.409,4
SI,9/29/2022,94,"Straw, Myles",ground_ball,4,29.3,-25,94.6,2150,0.271,0.275,1
FC,9/29/2022,92.3,"Brennan, Will",ground_ball,40,95.1,0,93.2,2400,0.369,0.346,2
SI,9/29/2022,96.2,"Miller, Owen",ground_ball,2,62.8,-53,96.5,2037,0.234,0.217,2
CH,9/28/2022,91,"Freeman, Tyler",ground_ball,4,87.2,-23,91.7,1997,0.094,0.089,2
