pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,10/5/2022,87.3,"Olson, Matt",ground_ball,9,75.2,-12,87.7,2697,0.071,0.068,2
SL,10/5/2022,84,"Olson, Matt",fly_ball,402,104.5,32,84.3,2423,0.766,1.568,6
SL,10/5/2022,82.3,"Arcia, Orlando",popup,202,66.5,44,82.8,2276,0.337,0.324,3
SL,10/5/2022,88.5,"Adrianza, Ehire",ground_ball,16,74.6,-6,88.8,2773,0.086,0.077,2
SL,10/5/2022,77.6,"Rosario, Eddie",popup,158,73.6,61,77.2,2434,0.02,0.018,3
SL,10/5/2022,84.3,"Adrianza, Ehire",line_drive,281,94.6,17,83.7,1856,0.56,0.568,4
SI,10/5/2022,92.5,"Heredia, Guillermo",line_drive,258,80.2,23,92.4,2179,0.631,0.608,4
SL,10/5/2022,75.3,"Ozuna, Marcell",ground_ball,101,80.8,8,74.9,2309,0.38,0.355,4
SL,10/5/2022,81.2,"Ozuna, Marcell",line_drive,181,79.8,16,81,2687,0.877,0.841,4
FF,10/4/2022,95.6,"Swanson, Dansby",ground_ball,13,95.4,-12,95.5,2476,0.169,0.152,2
SI,10/4/2022,95.2,"Arcia, Orlando",ground_ball,2,94.7,-30,94.6,2449,0.111,0.113,2
FF,10/4/2022,94.1,"Contreras, William",fly_ball,239,95.7,55,94.6,2437,0.011,0.014,3
CU,10/4/2022,84.8,"Olson, Matt",line_drive,189,94.5,11,83.8,3043,0.791,0.756,4
CH,10/2/2022,88.3,"Riley, Austin",ground_ball,3,92.6,-26,88.2,1109,0.071,0.064,2
SI,10/1/2022,95.3,"Swanson, Dansby",ground_ball,9,78.6,-9,96,2334,0.103,0.1,2
FF,9/30/2022,95.6,"Arcia, Orlando",fly_ball,389,102,23,97.5,2174,0.651,1.012,6
FF,9/30/2022,95.6,"Rosario, Eddie",fly_ball,334,100.4,46,97.5,2229,0.029,0.051,3
FF,9/30/2022,96.3,"Contreras, William",popup,152,85.1,66,98.4,2273,0.006,0.007,3
CH,9/30/2022,88.5,"d'Arnaud, Travis",fly_ball,381,100.8,26,89.9,1770,0.6,1.021,6
SI,9/28/2022,97.8,"Harris II, Michael",popup,161,82.6,63,98.3,2260,0.006,0.005,3
SI,9/28/2022,97.2,"Swanson, Dansby",ground_ball,4,74.8,-26,97.5,2191,0.04,0.038,2
SI,9/28/2022,97.5,"Acuña Jr., Ronald",fly_ball,281,97.4,46,98,2232,0.011,0.019,3
CU,9/28/2022,83.2,"Arcia, Orlando",ground_ball,79,87.1,4,82.6,2186,0.354,0.319,2
FF,9/28/2022,92.9,"Harris II, Michael",ground_ball,14,96.6,-9,92.9,2617,0.231,0.216,2
FS,9/28/2022,88.3,"Contreras, William",ground_ball,16,69.5,-5,88.8,1081,0.074,0.067,2
FF,9/28/2022,92.8,"Swanson, Dansby",ground_ball,60,91.1,2,94,2616,0.343,0.318,2
