pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,10/5/2022,74.8,"Díaz, Aledmys",ground_ball,7,90.4,-23,74.7,2295,0.097,0.089,2
CH,10/5/2022,80.9,"Dubón, Mauricio",ground_ball,9,93.8,-8,80.5,1660,0.223,0.212,2
SL,10/5/2022,90.1,"Mancini, Trey",ground_ball,29,77.7,-1,89.8,2115,0.137,0.123,2
SI,10/4/2022,98.7,"Mancini, Trey",ground_ball,2,93.9,-41,97.9,2433,0.08,0.072,2
FC,10/4/2022,95,"Meyers, Jake",line_drive,198,74.5,20,95.4,2500,0.949,0.892,4
SI,10/4/2022,100.3,"Bregman, Alex",line_drive,273,80.9,23,99.5,2437,0.543,0.508,4
SL,10/4/2022,91,"Alvarez, Yordan",fly_ball,372,104.4,33,90.4,2491,0.671,1.369,6
SL,10/4/2022,81,"Vázquez, Christian",ground_ball,3,58.4,-31,80.7,2750,0.057,0.051,1
SI,10/3/2022,92.5,"Hensley, David",line_drive,155,91.8,8,92.9,2336,0.571,0.538,4
SL,10/2/2022,79.6,"Vázquez, Christian",fly_ball,307,82.9,33,79.8,2304,0.034,0.047,3
SL,10/2/2022,79.8,"Mancini, Trey",line_drive,232,104.6,11,79.9,2221,0.889,0.912,4
SI,10/2/2022,91.1,"Gurriel, Yuli",fly_ball,261,81.9,38,91.2,2174,0.02,0.024,3
FF,10/2/2022,91.5,"Tucker, Kyle",line_drive,310,104.1,17,91.4,2313,0.509,0.606,5
FC,10/2/2022,88.7,"Alvarez, Yordan",fly_ball,248,78.7,46,89.4,2424,0.049,0.05,3
SI,10/2/2022,92.8,"Peña, Jeremy",ground_ball,72,94.4,3,92.8,2373,0.411,0.387,4
SL,10/2/2022,79.7,"Altuve, Jose",ground_ball,42,73.6,0,79.3,2302,0.103,0.093,2
SL,10/1/2022,88,"Altuve, Jose",ground_ball,35,74.9,-1,87.8,2646,0.109,0.098,2
CU,9/30/2022,82.9,"Peña, Jeremy",fly_ball,284,94.5,47,83.5,2387,0.003,0.004,3
FF,9/30/2022,93.4,"Gurriel, Yuli",line_drive,169,108.4,8,93.2,2241,0.729,0.711,4
FF,9/30/2022,93.8,"Mancini, Trey",popup,104,79.4,72,94.9,2160,0.006,0.005,3
FF,9/28/2022,94.6,"McCormick, Chas",ground_ball,4,38.4,-34,94.4,2439,0.24,0.237,1
FC,9/28/2022,89,"Mancini, Trey",line_drive,157,79,14,89.4,2496,0.617,0.555,4
FF,9/28/2022,94.1,"Vázquez, Christian",ground_ball,3,99.3,-28,93.9,2478,0.109,0.099,2
FF,9/28/2022,96.9,"Altuve, Jose",line_drive,156,67.1,17,97.2,2384,0.543,0.489,4
FC,9/28/2022,89.2,"Díaz, Aledmys",ground_ball,7,100.5,-18,88.9,2148,0.16,0.144,2
FC,9/28/2022,89.5,"Peña, Jeremy",line_drive,337,108.7,16,89,2240,0.694,0.832,6
FF,9/28/2022,95.7,"Bregman, Alex",line_drive,353,97.4,22,95,2355,0.231,0.271,5
FC,9/28/2022,88.6,"Diaz, Yainer",ground_ball,4,103.8,-26,88.7,2040,0.123,0.111,2
FF,9/27/2022,98,"Gurriel, Yuli",ground_ball,25,109.6,-4,97,2225,0.437,0.399,4
SL,9/27/2022,84.5,"Peña, Jeremy",fly_ball,348,100.3,38,83.6,1719,0.211,0.427,5
SL,9/25/2022,87.7,"Alvarez, Yordan",fly_ball,290,88.8,46,86.6,2244,0.011,0.017,3
