pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,10/5/2022,81.6,"Smith, Will",fly_ball,215,92.9,57,81.5,2506,0.006,0.005,3
SL,10/5/2022,81.1,"Freeman, Freddie",ground_ball,128,99.4,7,80.4,2453,0.629,0.577,4
SI,10/5/2022,94.7,"Turner, Trea",ground_ball,95,109.7,4,94.9,2409,0.634,0.592,4
FC,10/5/2022,86,"Gallo, Joey",ground_ball,61,98.7,2,84.9,2399,0.426,0.384,4
FC,10/5/2022,84.8,"Lux, Gavin",ground_ball,11,89.4,-14,83.4,2410,0.117,0.105,2
FF,10/4/2022,95.9,"Freeman, Freddie",fly_ball,302,88,38,95.2,2669,0.011,0.014,3
SI,10/3/2022,95.1,"Muncy, Max",line_drive,334,106.7,16,94.8,2285,0.637,0.76,5
SL,10/3/2022,83.2,"Smith, Will",fly_ball,290,98.5,46,82.8,2726,0.009,0.008,3
SI,10/3/2022,92.5,"Freeman, Freddie",fly_ball,349,101.5,25,92,2336,0.56,0.884,6
SL,10/2/2022,93.8,"Bellinger, Cody",ground_ball,3,71.5,-33,93.7,2748,0.089,0.104,2
SI,10/1/2022,93.6,"Bellinger, Cody",line_drive,248,75,26,94.6,2361,0.711,0.683,4
SL,10/1/2022,82.5,"Barnes, Austin",popup,123,75.4,68,83.8,2194,0.003,0.003,3
FF,10/1/2022,93.1,"Gallo, Joey",fly_ball,349,89,33,94.8,2573,0.023,0.021,3
SI,10/1/2022,95.5,"Bellinger, Cody",line_drive,282,80.1,25,95.1,2316,0.406,0.388,3
FF,10/1/2022,92.7,"Freeman, Freddie",fly_ball,272,81.1,30,94.3,2613,0.077,0.069,3
SI,10/1/2022,95.6,"Betts, Mookie",ground_ball,25,95.4,-5,96.8,2523,0.291,0.303,2
SI,10/1/2022,91.4,"Lux, Gavin",fly_ball,271,83.8,42,89.1,2182,0.026,0.037,3
CU,9/30/2022,80.7,"Alberto, Hanser",fly_ball,341,100,23,79.1,2408,0.46,0.673,5
CU,9/30/2022,79.7,"Gallo, Joey",fly_ball,305,85.6,39,78.1,2406,0.011,0.012,3
SI,9/29/2022,90.8,"Betts, Mookie",ground_ball,5,68.9,-22,92,2219,0.04,0.036,2
SI,9/29/2022,91.6,"Bellinger, Cody",ground_ball,15,70.8,-7,92.4,2222,0.069,0.062,2
SL,9/28/2022,84.7,"Muncy, Max",fly_ball,289,101,54,84.9,2714,0.011,0.013,3
FF,9/28/2022,93.4,"Lux, Gavin",ground_ball,20,97.6,-8,91.7,2217,0.271,0.263,2
SL,9/28/2022,84.4,"Freeman, Freddie",fly_ball,189,61.7,30,85.1,3059,0.694,0.625,4
FF,9/27/2022,101.4,"Turner, Justin",ground_ball,14,91.3,-11,102.2,1988,0.154,0.149,2
FF,9/27/2022,101.1,"Smith, Will",fly_ball,245,80.7,47,101.8,2331,0.023,0.022,3
SI,9/27/2022,99.3,"Betts, Mookie",fly_ball,353,93.2,32,99.7,2130,0.091,0.162,3
SI,9/27/2022,95.1,"Taylor, Chris",fly_ball,263,98.3,56,96.1,1876,0.017,0.025,3
SI,9/27/2022,98.3,"Barnes, Austin",line_drive,212,73.8,20,98.9,2255,0.937,0.884,4
SI,9/27/2022,98.2,"Turner, Trea",ground_ball,30,101.4,-3,98.9,2157,0.303,0.273,2
SI,9/27/2022,98.2,"Turner, Justin",fly_ball,250,95.4,54,99.1,1962,0.006,0.005,3
SI,9/27/2022,98.3,"Smith, Will",ground_ball,55,107.6,0,99.4,2106,0.494,0.457,4
SI,9/27/2022,96.9,"Taylor, Chris",popup,171,90.4,62,97,2172,0.003,0.003,3
CU,9/27/2022,83.9,"Barnes, Austin",popup,101,73.7,69,82.8,2795,0.003,0.003,3
CU,9/27/2022,82.7,"Bellinger, Cody",ground_ball,16,96.3,-8,82.4,2755,0.234,0.224,2
CU,9/25/2022,74.4,"Gallo, Joey",line_drive,329,91.5,25,74.4,2806,0.151,0.19,3
FF,9/25/2022,94,"Muncy, Max",line_drive,293,82.9,27,94.5,2264,0.134,0.13,3
SI,9/24/2022,92.2,"Smith, Will",ground_ball,17,80.9,-3,92.6,1997,0.174,0.176,2
EP,9/23/2022,53,"Thompson, Trayce",fly_ball,242,84.2,50,51.9,1369,0.02,0.027,3
FF,9/23/2022,96.2,"Thompson, Trayce",ground_ball,71,103.1,2,97.3,1988,0.509,0.475,4
FA,9/23/2022,69.8,"Muncy, Max",ground_ball,94,102.8,5,68.2,1601,0.557,0.504,4
FA,9/23/2022,69.9,"Bellinger, Cody",line_drive,271,83.5,26,68.4,1596,0.191,0.2,3
EP,9/23/2022,50.1,"Smith, Will",line_drive,261,94.3,18,49,1281,0.474,0.479,4
SL,9/22/2022,81.7,"Smith, Will",ground_ball,25,93.4,-3,82.1,2528,0.26,0.249,2
SI,9/22/2022,90.4,"Betts, Mookie",line_drive,251,99.2,16,90.6,2186,0.586,0.578,4
FF,9/22/2022,96.4,"Turner, Trea",ground_ball,7,90.3,-15,96.5,2367,0.129,0.12,2
CU,9/22/2022,82.9,"Muncy, Max",ground_ball,2,51.3,-42,83,2476,0.143,0.129,1
FF,9/21/2022,93.1,"Alberto, Hanser",ground_ball,3,85,-38,93.2,2516,0.074,0.069,2
FC,9/21/2022,90.4,"Turner, Justin",ground_ball,48,91.4,0,90.6,2268,0.289,0.26,2
FF,9/21/2022,93.4,"Vargas, Miguel",line_drive,169,88.9,13,93.6,2501,0.903,0.881,4
FC,9/21/2022,89.6,"Freeman, Freddie",line_drive,199,103,13,89.6,2290,0.88,0.899,4
FF,9/20/2022,91,"Barnes, Austin",fly_ball,394,100.6,31,89.6,2357,0.56,1.081,6
FF,9/20/2022,91.6,"Lux, Gavin",line_drive,280,96.5,17,90.5,2478,0.52,0.562,4
FF,9/20/2022,91.5,"Taylor, Chris",fly_ball,257,78.9,44,90.5,2351,0.04,0.036,3
CH,9/20/2022,84.5,"Barnes, Austin",ground_ball,54,65.2,5,84.7,1734,0.177,0.167,2
CU,9/20/2022,81.1,"Vargas, Miguel",ground_ball,79,82.8,6,81.9,2443,0.374,0.358,4
SI,9/20/2022,89.9,"Thompson, Trayce",ground_ball,69,81.3,5,90.5,2228,0.297,0.276,2
SI,9/20/2022,90.1,"Muncy, Max",line_drive,273,103.3,17,90.3,2280,0.48,0.552,5
SI,9/20/2022,89.1,"Smith, Will",line_drive,277,79.6,28,89.6,2129,0.183,0.173,3
SL,9/19/2022,85.5,"Lux, Gavin",ground_ball,16,98.4,-7,85.6,2156,0.26,0.24,2
SI,9/18/2022,100.1,"Bellinger, Cody",fly_ball,328,90.6,28,100.1,2406,0.103,0.131,3
SL,9/18/2022,82.9,"Turner, Trea",line_drive,307,93.7,23,83.3,2722,0.174,0.212,3
SL,9/18/2022,82.5,"Betts, Mookie",line_drive,187,83.8,15,83.7,2594,0.917,0.877,4
SL,9/18/2022,80.5,"Barnes, Austin",ground_ball,3,24.7,-28,81.2,2599,0.277,0.277,1
SL,9/17/2022,82.7,"Lux, Gavin",fly_ball,279,85.6,43,83.3,2345,0.011,0.014,3
SL,9/17/2022,82,"Thompson, Trayce",ground_ball,35,94.8,-1,82.9,2204,0.357,0.356,2
FF,9/17/2022,93.8,"Muncy, Max",fly_ball,333,100.1,44,95.4,2221,0.046,0.076,3
FF,9/16/2022,97,"Freeman, Freddie",ground_ball,14,91.9,-12,98.2,2232,0.146,0.133,2
FF,9/16/2022,96.1,"Turner, Trea",popup,158,91.1,66,97.3,2269,0.014,0.017,3
SL,9/14/2022,85.9,"Alberto, Hanser",line_drive,354,102.1,21,85.3,2423,0.529,0.705,5
FF,9/14/2022,96.9,"Muncy, Max",fly_ball,282,91.3,51,96.9,2368,0.017,0.022,3
FF,9/14/2022,96.2,"Taylor, Chris",ground_ball,17,61.2,-7,96.1,2335,0.109,0.112,2
