pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,10/5/2022,97.1,"Higashioka, Kyle",ground_ball,8,97.3,-20,97.5,2518,0.114,0.103,2
CH,10/5/2022,91.6,"Cabrera, Oswaldo",fly_ball,300,84.2,30,91.2,2122,0.063,0.075,3
FF,10/5/2022,93.4,"Trevino, Jose",fly_ball,243,72.8,40,93.1,2321,0.309,0.319,3
FF,10/4/2022,96.8,"Peraza, Oswald",line_drive,158,71.5,15,97.3,2329,0.543,0.489,4
CH,10/4/2022,89.3,"Bader, Harrison",ground_ball,106,105.9,6,89.6,2008,0.609,0.587,4
FF,10/4/2022,93.9,"Cabrera, Oswaldo",ground_ball,1,66.7,-66,94.7,2368,0.254,0.229,2
SI,10/4/2022,99.5,"Judge, Aaron",ground_ball,9,99.2,-18,99.3,2304,0.126,0.113,2
FF,10/4/2022,93.2,"Gonzalez, Marwin",popup,109,85.8,72,93.7,2362,0.006,0.005,3
SL,10/4/2022,88.7,"Peraza, Oswald",ground_ball,56,73.7,3,87.7,2701,0.151,0.136,2
SL,10/3/2022,87.8,"Gonzalez, Marwin",popup,166,89.8,65,87.5,2255,0.009,0.009,3
SL,10/3/2022,87.2,"Kiner-Falefa, Isiah",ground_ball,8,100.6,-12,87.1,2339,0.223,0.201,2
SI,10/3/2022,96.4,"Higashioka, Kyle",ground_ball,5,96.4,-18,95.6,2325,0.131,0.118,2
SI,10/3/2022,96,"Kiner-Falefa, Isiah",fly_ball,351,98.8,21,95.2,2362,0.323,0.406,5
SI,10/1/2022,90.8,"Torres, Gleyber",popup,199,85.9,57,91.2,2092,0.017,0.015,3
FC,10/1/2022,88.2,"Higashioka, Kyle",line_drive,299,93.7,18,88.5,2359,0.474,0.479,4
SL,10/1/2022,78.2,"Bader, Harrison",line_drive,272,87.6,20,77.1,2652,0.489,0.496,4
SL,10/1/2022,77.2,"Stanton, Giancarlo",ground_ball,90,83.6,6,76.2,2638,0.389,0.364,4
FF,10/1/2022,92.5,"Donaldson, Josh",line_drive,271,111.4,12,92.6,2273,0.857,0.91,5
FC,10/1/2022,88.5,"Torres, Gleyber",line_drive,262,98.7,17,88.3,2512,0.466,0.486,4
FF,10/1/2022,91.9,"Rizzo, Anthony",ground_ball,122,100.8,6,92.1,2131,0.663,0.624,4
FF,9/30/2022,100,"Torres, Gleyber",line_drive,277,100.2,16,99.7,2346,0.571,0.59,4
SI,9/28/2022,87.9,"Bader, Harrison",ground_ball,3,68.1,-38,87.8,2088,0.094,0.085,2
SI,9/28/2022,86.3,"Peraza, Oswald",ground_ball,1,40.9,-67,85.8,2076,0.191,0.172,1
FF,9/28/2022,95.5,"Gonzalez, Marwin",popup,88,52.3,70,94.4,2443,0,0,1
SI,9/28/2022,94.5,"Judge, Aaron",fly_ball,394,117.4,22,94.1,2078,0.929,1.715,6
SL,9/28/2022,92.5,"Bader, Harrison",ground_ball,88,95.6,5,91.6,2468,0.509,0.495,4
SI,9/28/2022,86.2,"Judge, Aaron",ground_ball,90,107,3,85.9,2171,0.543,0.5,4
SL,9/28/2022,84.1,"Gonzalez, Marwin",ground_ball,33,104.6,-2,84.6,2500,0.4,0.36,4
SL,9/27/2022,88.2,"Torres, Gleyber",ground_ball,54,70.3,4,88.2,2306,0.146,0.131,2
SI,9/26/2022,87.3,"Trevino, Jose",ground_ball,15,103.7,-8,86.4,2286,0.346,0.339,2
SL,9/26/2022,76.8,"Kiner-Falefa, Isiah",ground_ball,1,50.4,-58,76.3,2524,0.209,0.188,1
SI,9/26/2022,95.7,"Rizzo, Anthony",ground_ball,26,83.7,-3,95,2109,0.166,0.149,2
FF,9/24/2022,92.9,"Cabrera, Oswaldo",fly_ball,267,78.7,40,93.6,2294,0.034,0.031,3
CH,9/24/2022,88.2,"Rizzo, Anthony",fly_ball,434,108.4,25,88.2,1560,0.966,1.951,6
CU,9/23/2022,83,"Trevino, Jose",line_drive,244,101.6,9,83.3,2565,0.737,0.684,4
SI,9/22/2022,92.3,"Donaldson, Josh",ground_ball,6,104.6,-13,92.5,2144,0.226,0.203,2
CH,9/22/2022,88.1,"Rizzo, Anthony",ground_ball,17,94.7,-6,88.8,1502,0.24,0.219,2
FF,9/22/2022,95.8,"Bader, Harrison",fly_ball,293,95.9,46,96.9,2276,0.006,0.006,3
FF,9/22/2022,95.9,"Cabrera, Oswaldo",ground_ball,10,103.8,-11,96.8,2348,0.277,0.252,2
FF,9/22/2022,97.3,"Donaldson, Josh",ground_ball,15,90.6,-11,97.1,2309,0.154,0.149,2
FF,9/21/2022,93.5,"Cabrera, Oswaldo",line_drive,247,100.1,12,92.9,2317,0.917,0.904,4
FF,9/21/2022,91.2,"Torres, Gleyber",fly_ball,398,106.7,38,90.7,2364,0.574,1.167,6
SL,9/21/2022,78.8,"Rizzo, Anthony",fly_ball,263,87.5,52,78,2507,0.014,0.016,3
SL,9/21/2022,78.7,"Trevino, Jose",line_drive,175,93.1,12,78,2549,0.871,0.837,4
SL,9/21/2022,78.5,"Bader, Harrison",ground_ball,101,103,5,77.6,2612,0.557,0.504,4
CH,9/20/2022,89,"Stanton, Giancarlo",line_drive,410,118,16,89.5,2078,0.791,1.074,6
SI,9/20/2022,96.2,"Donaldson, Josh",fly_ball,260,75.1,33,96.5,2324,0.294,0.278,3
SL,9/20/2022,85.3,"Donaldson, Josh",ground_ball,30,75.7,-1,85,2892,0.117,0.106,2
CH,9/18/2022,83.2,"Rizzo, Anthony",fly_ball,190,82.4,59,83.5,2083,0.031,0.034,3
SI,9/18/2022,95.1,"Higashioka, Kyle",ground_ball,12,97.8,-13,94.9,2018,0.226,0.228,2
CU,9/18/2022,80.6,"Judge, Aaron",line_drive,354,111.8,19,81.3,2573,0.846,1.344,6
SI,9/18/2022,91.1,"Hicks, Aaron",line_drive,245,81.7,24,91.5,2397,0.38,0.372,3
SI,9/18/2022,91.7,"Higashioka, Kyle",fly_ball,267,93.1,48,92,2263,0,0,3
SI,9/18/2022,96.3,"Kiner-Falefa, Isiah",ground_ball,11,90.5,-15,95.3,1957,0.129,0.12,2
SL,9/17/2022,86.1,"Torres, Gleyber",ground_ball,21,90.8,-4,87,2353,0.203,0.186,2
SI,9/17/2022,95.9,"Hicks, Aaron",ground_ball,99,94.6,5,96.9,2233,0.477,0.461,4
SL,9/17/2022,85.6,"Higashioka, Kyle",ground_ball,3,75.4,-37,86.3,2192,0.089,0.08,2
SI,9/16/2022,94.1,"Higashioka, Kyle",fly_ball,328,98.2,40,92.9,2307,0.08,0.146,3
SI,9/16/2022,93.9,"Kiner-Falefa, Isiah",ground_ball,3,38.4,-34,92.9,2123,0.24,0.237,1
SI,9/14/2022,95,"Hicks, Aaron",ground_ball,4,76.3,-22,94.4,2193,0.031,0.028,2
FF,9/14/2022,96.3,"Donaldson, Josh",fly_ball,333,103.7,49,96.8,2192,0.031,0.048,3
SL,9/14/2022,85.3,"Torres, Gleyber",fly_ball,405,103.5,30,86.2,2458,0.74,1.478,6
FF,9/13/2022,95,"Donaldson, Josh",line_drive,304,106.6,18,94.6,2306,0.62,0.781,6
SI,9/13/2022,96,"Torres, Gleyber",line_drive,272,110,11,95.4,2282,0.891,0.927,5
SI,9/13/2022,93.8,"Gonzalez, Marwin",ground_ball,3,78.8,-31,93,1957,0.06,0.062,2
FC,9/11/2022,81.4,"Gonzalez, Marwin",ground_ball,5,94,-18,81.7,2187,0.134,0.123,2
FC,9/11/2022,81.6,"Kiner-Falefa, Isiah",ground_ball,39,95.9,-1,81.9,2249,0.346,0.326,2
CU,9/11/2022,71.1,"Andújar, Miguel",popup,37,70,84,70.5,2223,0.006,0.005,3
SI,9/10/2022,95.4,"Higashioka, Kyle",fly_ball,368,100.3,37,94.1,2325,0.269,0.548,5
SI,9/10/2022,95.3,"Kiner-Falefa, Isiah",line_drive,242,76.4,22,94.3,2246,0.92,0.884,4
FA,9/10/2022,93.7,"Donaldson, Josh",popup,71,70.8,73,93.3,2178,0.006,0.007,3
CU,9/10/2022,84.8,"Andújar, Miguel",ground_ball,85,88.3,5,83.6,2834,0.4,0.367,4
CH,9/9/2022,91.4,"Torres, Gleyber",ground_ball,8,73.1,-16,91.5,1956,0.06,0.059,2
CH,9/9/2022,91.9,"Judge, Aaron",line_drive,221,86.6,19,92.1,2133,0.674,0.651,4
FF,9/9/2022,95.6,"Gonzalez, Marwin",ground_ball,40,86.2,1,95.7,2189,0.289,0.272,2
FF,9/9/2022,95.9,"Higashioka, Kyle",line_drive,108,83.4,9,95.8,2315,0.446,0.408,4
FC,9/9/2022,93.4,"Torres, Gleyber",fly_ball,344,96.5,31,93.9,2411,0.249,0.45,5
SI,9/8/2022,97.8,"Kiner-Falefa, Isiah",ground_ball,4,92,-30,98.1,2120,0.094,0.094,2
SI,9/8/2022,95.1,"Kiner-Falefa, Isiah",ground_ball,5,102.9,-23,94.8,2332,0.157,0.143,2
SL,9/8/2022,89.9,"Hicks, Aaron",line_drive,286,91.5,21,90.1,2596,0.26,0.255,3
CH,9/7/2022,88.9,"Torres, Gleyber",popup,182,68.5,54,88.3,1902,0.091,0.092,3
CH,9/7/2022,87.8,"Hicks, Aaron",line_drive,107,101.1,6,88.2,1904,0.663,0.624,4
FS,9/7/2022,96.5,"Cabrera, Oswaldo",ground_ball,3,78.1,-39,96.4,1752,0.1,0.096,2
FS,9/7/2022,96.2,"Peraza, Oswald",ground_ball,6,52.4,-21,96.4,1547,0.1,0.094,1
KC,9/7/2022,85.8,"Cabrera, Oswaldo",ground_ball,118,88.2,6,85.7,2882,0.429,0.396,4
FF,9/7/2022,102.3,"Florial, Estevan",ground_ball,45,99.5,0,102.5,2223,0.414,0.399,4
SL,9/7/2022,91.8,"Gonzalez, Marwin",ground_ball,18,57.8,-4,91.9,2439,0.12,0.12,1
FS,9/7/2022,90.5,"Cabrera, Oswaldo",ground_ball,3,87.1,-28,91.5,1822,0.046,0.041,2
SI,9/7/2022,97.4,"Torres, Gleyber",fly_ball,303,91.5,26,97.6,1836,0.137,0.173,3
SL,9/7/2022,89.2,"Peraza, Oswald",fly_ball,217,66,33,90.1,2801,0.803,0.771,4
SL,9/7/2022,91.3,"Guzmán, Ronald",ground_ball,5,87.4,-30,91.3,2304,0.054,0.049,2
SI,9/7/2022,99.3,"Trevino, Jose",line_drive,151,64.4,18,99.6,2464,0.471,0.424,2
FF,9/7/2022,97.6,"Torres, Gleyber",popup,77,83.4,74,97.9,2614,0.006,0.005,3
FF,9/7/2022,99.4,"Kiner-Falefa, Isiah",ground_ball,8,99,-18,100,2504,0.126,0.113,2
FC,9/5/2022,88.1,"Torres, Gleyber",fly_ball,218,71.7,43,88.9,2340,0.283,0.304,3
SL,9/4/2022,80.2,"Judge, Aaron",fly_ball,380,99.8,33,79.1,2441,0.406,0.802,6
SL,9/4/2022,86.3,"LeMahieu, DJ",ground_ball,7,68.1,-22,87,2409,0.046,0.044,2
SL,9/4/2022,79.2,"Trevino, Jose",fly_ball,212,83.9,54,78,2596,0.023,0.025,3
FF,9/4/2022,95.3,"Stanton, Giancarlo",popup,123,88.3,71,96.5,2162,0.003,0.003,3
SL,9/4/2022,79.8,"Hicks, Aaron",ground_ball,41,94.3,-1,79.1,2553,0.323,0.305,2
FF,9/4/2022,92.8,"Cabrera, Oswaldo",fly_ball,300,80.5,35,93.9,2142,0.029,0.031,3
SI,9/2/2022,95.8,"Kiner-Falefa, Isiah",line_drive,158,83,11,94.4,2267,0.529,0.476,4
CH,8/31/2022,84.2,"Cabrera, Oswaldo",ground_ball,7,69.8,-14,83,1533,0.049,0.044,2
SL,8/31/2022,81.4,"Benintendi, Andrew",popup,140,73.1,64,81.2,2538,0.006,0.005,3
SI,8/30/2022,89.9,"Stanton, Giancarlo",ground_ball,49,113.5,-1,90.8,2250,0.503,0.453,4
FF,8/29/2022,94.9,"Torres, Gleyber",fly_ball,369,99.8,29,95.4,2268,0.506,0.921,6
CU,8/29/2022,74.8,"Cabrera, Oswaldo",line_drive,383,100.4,25,73.1,2631,0.517,0.807,6
FF,8/29/2022,95.8,"Stanton, Giancarlo",popup,64,70.5,75,95.8,2219,0.006,0.006,3
FF,8/28/2022,93.2,"Rizzo, Anthony",fly_ball,326,86.7,32,92.2,2082,0.034,0.046,3
SL,8/28/2022,88.8,"Stanton, Giancarlo",popup,83,84,73,88.9,2140,0.006,0.005,3
SL,8/28/2022,82.5,"Higashioka, Kyle",ground_ball,4,63.9,-21,82.6,2641,0.04,0.036,2
SL,8/27/2022,86.6,"Torres, Gleyber",fly_ball,259,80.8,43,88.2,2322,0.026,0.028,3
SI,8/27/2022,92.1,"Higashioka, Kyle",ground_ball,9,99.4,-10,91.7,2235,0.251,0.238,2
SI,8/27/2022,92.1,"Kiner-Falefa, Isiah",ground_ball,3,77,-41,91.7,2203,0.111,0.107,2
CH,8/27/2022,87.6,"Cabrera, Oswaldo",line_drive,292,98,18,86.5,1944,0.394,0.441,4
SL,8/27/2022,86.7,"Benintendi, Andrew",ground_ball,10,44.5,-12,88.7,2228,0.2,0.234,1
CU,8/26/2022,79.2,"Torres, Gleyber",fly_ball,345,94.3,30,79.6,2205,0.134,0.22,3
SI,8/26/2022,88,"Stanton, Giancarlo",popup,108,72.4,74,88.3,1990,0.006,0.006,3
SI,8/26/2022,90.2,"Cabrera, Oswaldo",line_drive,294,97.6,19,90.7,2178,0.34,0.394,4
CH,8/26/2022,84.4,"Kiner-Falefa, Isiah",ground_ball,4,88.2,-30,84.9,1795,0.057,0.051,2
CU,8/26/2022,78.1,"Donaldson, Josh",ground_ball,30,94.1,-3,78.6,2118,0.28,0.262,2
FC,8/26/2022,85.1,"Torres, Gleyber",ground_ball,67,89.6,5,85.7,2226,0.394,0.355,4
CH,8/25/2022,83.8,"Cabrera, Oswaldo",fly_ball,367,96.7,29,84.1,1788,0.309,0.53,5
SL,8/25/2022,87,"Donaldson, Josh",line_drive,336,102.7,19,87.4,2488,0.466,0.583,5
FF,8/25/2022,92.8,"Torres, Gleyber",line_drive,136,94.1,8,92.9,2282,0.537,0.483,4
SI,8/25/2022,93.3,"Higashioka, Kyle",ground_ball,71,91.3,3,92,2132,0.391,0.382,4
EP,8/25/2022,44.9,"Torres, Gleyber",ground_ball,8,71.3,-19,43,1152,0.057,0.058,2
