pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,89.9,"Marsh, Brandon",fly_ball,327,97.9,24,91,2573,0.374,0.513,5
FF,10/5/2022,91.3,"Maton, Nick",line_drive,182,78.8,17,92.5,2617,0.889,0.841,4
CH,10/5/2022,90.6,"Hall, Darick",ground_ball,10,103.9,-13,87.7,1945,0.246,0.221,2
CH,10/5/2022,90.9,"Hoskins, Rhys",line_drive,295,99.2,17,90.1,1864,0.466,0.486,4
SL,10/4/2022,83,"Bohm, Alec",ground_ball,22,101.5,-4,82.3,2224,0.329,0.31,2
FF,10/4/2022,93.1,"Harper, Bryce",ground_ball,89,109.3,4,92.5,2239,0.606,0.56,4
FF,10/3/2022,94.2,"Bohm, Alec",popup,13,69.5,86,93,2331,0,0,3
SL,10/3/2022,80.1,"Realmuto, J.T.",ground_ball,1,61.9,-51,79.2,2723,0.211,0.19,2
CU,10/3/2022,79.8,"Harper, Bryce",ground_ball,2,64.1,-49,78.6,2538,0.22,0.213,2
FF,10/3/2022,94.4,"Segura, Jean",fly_ball,298,92.3,40,92.9,2238,0.014,0.013,3
FF,10/3/2022,93.9,"Marsh, Brandon",fly_ball,240,91.1,54,92.6,2148,0.014,0.016,3
CH,10/1/2022,91.4,"Harper, Bryce",fly_ball,323,91,30,91.9,1643,0.08,0.122,3
FF,10/1/2022,94.1,"Hoskins, Rhys",fly_ball,302,99.5,46,94.7,2581,0.029,0.051,3
SI,10/1/2022,93.5,"Bohm, Alec",ground_ball,50,81.9,2,94.2,2016,0.223,0.201,2
SI,9/30/2022,94.7,"Bohm, Alec",ground_ball,5,94.5,-21,94.9,2303,0.117,0.114,2
SI,9/30/2022,96.8,"Realmuto, J.T.",ground_ball,12,69.4,-9,97.3,2343,0.083,0.082,2
SI,9/30/2022,96.7,"Hoskins, Rhys",line_drive,248,83.4,22,96.8,2375,0.566,0.559,4
SI,9/30/2022,96.3,"Schwarber, Kyle",fly_ball,253,89.1,40,95.9,2349,0.011,0.013,3
SI,9/30/2022,96.1,"Stott, Bryson",line_drive,230,91,13,96.5,2230,0.923,0.905,4
CU,9/29/2022,80,"Vierling, Matt",ground_ball,73,89.1,4,79.8,2640,0.386,0.37,4
SI,9/28/2022,91.2,"Harper, Bryce",ground_ball,68,85.4,4,92.2,1990,0.354,0.34,2
SI,9/28/2022,92.1,"Hoskins, Rhys",fly_ball,194,64.7,38,92.6,2034,0.591,0.556,4
SI,9/28/2022,93,"Segura, Jean",line_drive,231,77.3,19,92.9,2240,0.963,0.921,4
SI,9/28/2022,96.8,"Bohm, Alec",ground_ball,64,76.3,4,97.1,2130,0.22,0.204,2
SI,9/28/2022,96.9,"Realmuto, J.T.",line_drive,157,55.7,20,96.8,2224,0.331,0.298,1
SI,9/28/2022,93.4,"Realmuto, J.T.",line_drive,175,86.6,12,93.5,2336,0.729,0.665,4
SI,9/27/2022,90.1,"Segura, Jean",ground_ball,6,60.7,-16,90,2225,0.057,0.053,2
SI,9/27/2022,90.9,"Marsh, Brandon",ground_ball,33,103,-2,90.8,2287,0.36,0.328,4
SI,9/27/2022,90.2,"Castellanos, Nick",fly_ball,247,76.8,38,90,2205,0.083,0.075,3
FF,9/27/2022,93.4,"Hoskins, Rhys",ground_ball,6,83.2,-25,93.3,2345,0.046,0.041,2
SI,9/27/2022,96.1,"Bohm, Alec",ground_ball,4,84.6,-24,96.3,2232,0.071,0.067,2
SI,9/27/2022,94.8,"Realmuto, J.T.",ground_ball,14,60.1,-10,94.7,2225,0.091,0.094,2
SI,9/25/2022,92.3,"Realmuto, J.T.",ground_ball,48,95,0,91.4,1675,0.369,0.346,2
FF,9/25/2022,94.2,"Vierling, Matt",ground_ball,9,103,-16,93.6,1954,0.229,0.218,2
CH,9/25/2022,88.9,"Stott, Bryson",ground_ball,2,49.8,-43,88.1,1974,0.149,0.134,1
FC,9/25/2022,92.4,"Hoskins, Rhys",fly_ball,336,98.9,42,93.7,2605,0.08,0.16,3
FF,9/25/2022,93.9,"Marsh, Brandon",line_drive,235,76.1,26,93.5,1889,0.629,0.598,4
SI,9/25/2022,93,"Segura, Jean",ground_ball,104,76.4,8,92.6,1811,0.314,0.301,2
SI,9/25/2022,94.3,"Segura, Jean",ground_ball,25,60.6,-3,93.6,2392,0.129,0.131,2
CH,9/24/2022,89.4,"Maton, Nick",fly_ball,322,85.7,28,89.4,2054,0.086,0.105,3
CH,9/24/2022,89.3,"Stott, Bryson",ground_ball,14,70.5,-6,88.5,1956,0.083,0.076,2
SI,9/24/2022,93.7,"Segura, Jean",line_drive,144,67.1,15,93,2388,0.426,0.383,2
EP,9/23/2022,42.1,"Guthrie, Dalton",line_drive,283,87.4,23,41.2,1102,0.251,0.238,3
EP,9/23/2022,53.1,"Bohm, Alec",fly_ball,188,77.1,57,51.9,1391,0.08,0.1,3
FA,9/23/2022,84.1,"Stubbs, Garrett",fly_ball,291,91.1,36,82.9,1961,0.037,0.054,3
SL,9/22/2022,84.1,"Schwarber, Kyle",fly_ball,316,97.8,35,85,2106,0.211,0.401,5
CH,9/22/2022,87.6,"Realmuto, J.T.",line_drive,179,88.3,12,87.2,1862,0.754,0.7,4
SL,9/21/2022,89.3,"Vierling, Matt",ground_ball,123,62.3,15,87.8,2275,0.337,0.303,2
SL,9/21/2022,89.2,"Guthrie, Dalton",line_drive,205,75.8,19,88,2350,0.949,0.896,4
SI,9/21/2022,86.5,"Vierling, Matt",ground_ball,3,95.4,-34,86.6,1963,0.106,0.097,2
FF,9/21/2022,97.8,"Hoskins, Rhys",ground_ball,44,100.7,-1,99.6,2241,0.4,0.376,4
SI,9/21/2022,92.6,"Schwarber, Kyle",ground_ball,6,86.2,-23,92.7,2019,0.1,0.105,2
SL,9/21/2022,86.9,"Schwarber, Kyle",line_drive,158,100.1,10,88.4,2001,0.766,0.709,4
SI,9/21/2022,92.2,"Vierling, Matt",ground_ball,2,47.4,-55,92.1,1927,0.223,0.204,1
FF,9/21/2022,85,"Stott, Bryson",ground_ball,2,32.6,-63,84.9,2118,0.243,0.237,1
FC,9/20/2022,90.4,"Vierling, Matt",popup,146,85.7,64,89,2424,0.006,0.006,3
FF,9/20/2022,94.5,"Schwarber, Kyle",fly_ball,400,108.9,27,94.7,2266,0.983,2.026,6
FF,9/20/2022,95.9,"Vierling, Matt",ground_ball,12,103.4,-13,96.2,2414,0.237,0.213,2
KC,9/20/2022,82.7,"Segura, Jean",ground_ball,2,90.1,-24,81.4,2505,0.097,0.098,2
FF,9/20/2022,96.7,"Bohm, Alec",ground_ball,163,105,5,96.7,2409,0.563,0.519,4
FF,9/18/2022,93.8,"Schwarber, Kyle",fly_ball,236,97.8,52,94.4,2466,0.006,0.005,3
FF,9/18/2022,96.9,"Marsh, Brandon",fly_ball,343,98.4,40,97.1,2332,0.08,0.146,3
SL,9/17/2022,80.9,"Vierling, Matt",line_drive,216,108.5,8,81.3,2720,0.751,0.727,4
SL,9/17/2022,84.6,"Maton, Nick",popup,104,95.8,71,84.8,2554,0.026,0.034,3
FF,9/17/2022,95.6,"Stott, Bryson",ground_ball,138,101.3,7,95.2,2399,0.68,0.64,4
FF,9/17/2022,94.2,"Marsh, Brandon",line_drive,255,98.4,13,94.1,2305,0.891,0.845,4
FF,9/17/2022,94.2,"Realmuto, J.T.",fly_ball,340,105.3,22,93.8,2336,0.789,1.269,6
FF,9/17/2022,96.7,"Bohm, Alec",ground_ball,21,103.2,-7,96.4,2430,0.317,0.298,2
FC,9/17/2022,90.7,"Schwarber, Kyle",fly_ball,358,95.1,29,90.7,2570,0.177,0.298,5
CH,9/16/2022,87,"Marsh, Brandon",line_drive,309,98.8,16,87.1,1864,0.586,0.578,4
SL,9/16/2022,81.8,"Schwarber, Kyle",ground_ball,58,102.1,0,82,2109,0.46,0.436,4
SI,9/15/2022,93.6,"Vierling, Matt",ground_ball,3,90.8,-33,93.7,2035,0.103,0.106,2
SL,9/15/2022,83.8,"Marsh, Brandon",line_drive,274,92,20,82.9,1895,0.303,0.31,4
SL,9/15/2022,82.6,"Vierling, Matt",fly_ball,357,98.7,36,82.8,2439,0.251,0.509,5
FF,9/15/2022,97.8,"Segura, Jean",ground_ball,4,79.1,-29,97.8,2499,0.043,0.039,2
FF,9/15/2022,92.1,"Marsh, Brandon",line_drive,357,101.2,21,92.7,2029,0.454,0.604,5
FF,9/14/2022,97.7,"Realmuto, J.T.",fly_ball,352,104.5,24,96.8,2138,0.823,1.487,6
SI,9/14/2022,90,"Schwarber, Kyle",ground_ball,5,77.9,-26,90.4,1955,0.04,0.037,2
SI,9/13/2022,98.9,"Maton, Nick",fly_ball,408,107.3,24,96.2,2276,0.917,1.784,6
FF,9/11/2022,89.6,"Harper, Bryce",ground_ball,42,94.9,-1,89.9,2152,0.357,0.356,2
SI,9/11/2022,96.9,"Bohm, Alec",fly_ball,362,103,40,97.4,2101,0.297,0.586,5
SL,9/10/2022,75.8,"Sosa, Edmundo",popup,169,76.5,61,77,2408,0.026,0.023,3
SI,9/9/2022,94,"Schwarber, Kyle",line_drive,203,75.7,19,94.3,2163,0.949,0.896,4
SI,9/9/2022,93.6,"Guthrie, Dalton",ground_ball,2,58.5,-66,93.9,2100,0.223,0.201,1
SI,9/9/2022,92.7,"Sosa, Edmundo",ground_ball,16,101,-7,93.3,2005,0.286,0.276,2
SI,9/9/2022,92.7,"Vierling, Matt",line_drive,223,90,15,93.3,2102,0.94,0.911,4
SI,9/9/2022,95,"Vierling, Matt",line_drive,338,96.4,22,94.6,2305,0.209,0.252,3
SI,9/9/2022,94.1,"Segura, Jean",ground_ball,20,100.6,-4,93.9,2222,0.291,0.262,2
FC,9/9/2022,90.3,"Hoskins, Rhys",ground_ball,46,87.9,0,90.2,2365,0.24,0.216,2
SI,9/8/2022,92.7,"Segura, Jean",ground_ball,11,69.9,-10,92.7,2180,0.071,0.067,2
FC,9/7/2022,88.6,"Sosa, Edmundo",ground_ball,10,92,-10,87.6,2354,0.186,0.188,2
CH,9/7/2022,87.3,"Marsh, Brandon",ground_ball,3,57.5,-18,86.9,1680,0.066,0.061,1
SI,9/6/2022,94.2,"Vierling, Matt",line_drive,169,101.7,6,93.5,2117,0.646,0.608,4
SI,9/6/2022,95.4,"Segura, Jean",ground_ball,2,80.5,-47,94.7,2100,0.117,0.105,2
FF,9/6/2022,93.8,"Hoskins, Rhys",ground_ball,3,77.3,-40,94.3,2230,0.1,0.09,2
SL,9/6/2022,87.1,"Segura, Jean",line_drive,168,99.4,8,82.8,2729,0.637,0.576,4
SI,9/4/2022,96.9,"Hoskins, Rhys",ground_ball,21,94.2,-7,98.3,2459,0.217,0.198,2
SL,9/4/2022,84.5,"Realmuto, J.T.",fly_ball,423,105.1,25,86.2,2656,0.889,1.706,6
FF,9/4/2022,95.7,"Harper, Bryce",fly_ball,203,79.9,57,95.8,2269,0.054,0.062,3
CH,9/3/2022,86.1,"Sands, Donny",ground_ball,4,86.7,-28,86.2,1480,0.046,0.041,2
FF,9/3/2022,95,"Bohm, Alec",ground_ball,7,91.4,-28,95,2431,0.077,0.072,2
SI,9/3/2022,90.6,"Segura, Jean",ground_ball,129,109.8,7,90.8,2334,0.749,0.731,4
EP,9/2/2022,47.6,"Sands, Donny",ground_ball,92,95,4,45.8,971,0.411,0.37,4
EP,9/2/2022,46.2,"Harper, Bryce",ground_ball,23,27.6,1,44.3,827,0.246,0.255,1
EP,9/2/2022,45.5,"Bohm, Alec",ground_ball,135,103.6,8,44,897,0.683,0.632,4
EP,9/2/2022,47.5,"Sosa, Edmundo",line_drive,81,77.5,6,45.9,933,0.28,0.253,2
FA,8/31/2022,56.4,"Bohm, Alec",popup,171,75.6,61,54.9,1237,0.026,0.023,3
FA,8/31/2022,63.3,"Hoskins, Rhys",line_drive,267,98.1,17,61.7,2987,0.509,0.557,4
SL,8/31/2022,83.2,"Bohm, Alec",line_drive,214,100.8,11,83.1,1870,0.886,0.865,4
FF,8/31/2022,96.1,"Hoskins, Rhys",line_drive,364,107.9,20,95.6,2208,0.817,1.292,6
FA,8/31/2022,55.7,"Schwarber, Kyle",popup,74,80.1,74,54.2,1342,0.011,0.014,3
FA,8/31/2022,50.1,"Sosa, Edmundo",ground_ball,66,97.3,2,48.8,1142,0.454,0.428,4
SL,8/31/2022,86,"Sosa, Edmundo",ground_ball,8,104.4,-11,85.5,1799,0.277,0.252,2
FF,8/31/2022,97.9,"Marsh, Brandon",ground_ball,41,90,-1,97.5,2242,0.249,0.225,2
CU,8/31/2022,82.2,"Hoskins, Rhys",ground_ball,15,93,-5,82.1,2295,0.217,0.195,2
FF,8/31/2022,97.1,"Vierling, Matt",line_drive,266,88.3,16,96.4,2179,0.926,0.877,4
FA,8/31/2022,49.5,"Maton, Nick",line_drive,178,85.6,14,48,1102,0.911,0.864,4
FA,8/31/2022,58.1,"Stubbs, Garrett",fly_ball,282,80.8,30,56.8,1302,0.077,0.069,3
SI,8/31/2022,91.7,"Schwarber, Kyle",line_drive,242,101.5,12,91.1,2304,0.917,0.903,4
SL,8/31/2022,83.8,"Realmuto, J.T.",ground_ball,12,76.4,-9,83.2,2066,0.086,0.08,2
CU,8/30/2022,77.6,"Marsh, Brandon",fly_ball,409,104.7,34,77.1,2599,0.697,1.434,6
FF,8/30/2022,89.1,"Vierling, Matt",line_drive,108,95.2,5,88.5,2276,0.477,0.461,4
