pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
CU,10/5/2022,81.6,"Dixon, Brandon",ground_ball,52,98.4,1,81.1,2559,0.406,0.365,4
FF,10/5/2022,81.9,"Profar, Jurickson",ground_ball,16,102.2,-6,80.6,1834,0.294,0.265,2
FF,10/4/2022,95.3,"Dixon, Brandon",line_drive,236,98.9,13,94.6,2022,0.891,0.862,4
SI,10/4/2022,94.4,"Kim, Ha-Seong",ground_ball,4,103,-21,93.4,2093,0.189,0.186,2
SL,10/3/2022,81.5,"Kim, Ha-Seong",ground_ball,9,86.7,-14,82.6,2430,0.117,0.106,2
SL,10/3/2022,81.2,"Dixon, Brandon",line_drive,191,91.5,13,82.5,2500,0.923,0.905,4
SL,10/3/2022,82.9,"Myers, Wil",fly_ball,423,103.8,27,83.2,2272,0.837,1.641,6
FF,10/3/2022,95,"Cronenworth, Jake",line_drive,214,70.3,23,95,2332,0.934,0.88,4
SL,10/2/2022,89.7,"Alfaro, Jorge",ground_ball,48,83.8,1,90.7,2226,0.26,0.247,2
FF,10/2/2022,98.1,"Cronenworth, Jake",fly_ball,262,92.2,50,97.9,2246,0.009,0.009,3
FF,10/2/2022,98.3,"Machado, Manny",popup,36,64.6,82,98.4,2266,0.006,0.006,3
FF,10/2/2022,97.2,"Soto, Juan",ground_ball,91,102.5,4,97.1,2265,0.574,0.543,4
SI,10/1/2022,95.6,"Bell, Josh",ground_ball,9,104.9,-15,95.3,2197,0.229,0.206,2
KC,10/1/2022,80.6,"Azocar, José",fly_ball,292,93.8,45,80.6,2315,0.006,0.007,3
FF,10/1/2022,90.6,"Nola, Austin",fly_ball,320,91.9,35,91,2382,0.046,0.064,3
SI,9/30/2022,97.7,"Nola, Austin",ground_ball,14,88.1,-11,97.9,2201,0.16,0.161,2
FC,9/29/2022,91.9,"Kim, Ha-Seong",line_drive,221,79.7,18,91.8,2138,0.937,0.886,4
SI,9/29/2022,96.1,"Drury, Brandon",ground_ball,3,88.7,-41,96.3,2222,0.071,0.064,2
FF,9/29/2022,91.3,"Machado, Manny",ground_ball,51,104.1,-1,90.7,1823,0.429,0.4,4
SI,9/29/2022,91.7,"Soto, Juan",fly_ball,353,94.6,28,91,1725,0.177,0.26,5
FF,9/29/2022,96.2,"Profar, Jurickson",ground_ball,43,72.1,0,96.3,2265,0.111,0.101,2
SI,9/29/2022,91.3,"Profar, Jurickson",fly_ball,347,97.6,36,90.2,1853,0.211,0.426,5
FF,9/29/2022,95.6,"Dixon, Brandon",fly_ball,272,91.3,48,95.6,2512,0.006,0.005,3
FF,9/28/2022,96.2,"Profar, Jurickson",line_drive,347,94.7,23,96.3,2435,0.18,0.228,3
FF,9/28/2022,96.8,"Kim, Ha-Seong",ground_ball,1,49.3,-70,97.5,2045,0.206,0.185,1
CH,9/28/2022,89,"Bell, Josh",ground_ball,99,99.4,4,89.5,1245,0.557,0.532,4
FC,9/27/2022,93.8,"Bell, Josh",ground_ball,9,62.9,-12,93.9,2354,0.069,0.064,2
SI,9/27/2022,95.1,"Drury, Brandon",ground_ball,76,39.8,22,95.3,2119,0.206,0.185,1
FF,9/27/2022,94.5,"Azocar, José",popup,54,28.3,42,94.2,2474,0.131,0.118,1
FF,9/27/2022,95.5,"Kim, Ha-Seong",ground_ball,4,21,-35,96.1,2294,0.294,0.303,1
SL,9/25/2022,87.2,"Azocar, José",fly_ball,386,98.4,27,86.5,2337,0.42,0.698,6
FF,9/25/2022,92.6,"Nola, Austin",line_drive,343,95.1,19,94.4,2585,0.349,0.367,4
FC,9/25/2022,90.6,"Machado, Manny",line_drive,421,104.7,21,90.9,2108,0.729,1.102,6
FC,9/25/2022,90.3,"Soto, Juan",line_drive,243,92,14,90.6,2255,0.943,0.92,4
SL,9/25/2022,81.8,"Cronenworth, Jake",popup,126,85.5,66,82.5,2440,0.006,0.007,3
KC,9/25/2022,73.9,"Drury, Brandon",ground_ball,5,63.3,-30,74.2,2501,0.046,0.042,2
SI,9/24/2022,97.6,"Cronenworth, Jake",line_drive,191,92.4,10,97.7,2479,0.7,0.672,4
FC,9/24/2022,90.5,"Bell, Josh",ground_ball,5,89.4,-21,90.6,2331,0.111,0.111,2
SI,9/24/2022,96,"Grisham, Trent",ground_ball,5,99.7,-15,96.2,2332,0.186,0.167,2
FC,9/24/2022,91.3,"Drury, Brandon",fly_ball,370,100.2,40,91.4,2095,0.131,0.242,3
SI,9/24/2022,95.3,"Drury, Brandon",line_drive,207,104.6,8,95.2,2409,0.691,0.665,4
SI,9/23/2022,98.9,"Soto, Juan",ground_ball,5,97.1,-21,99,2501,0.126,0.117,2
SL,9/23/2022,88.5,"Azocar, José",ground_ball,45,72.2,2,88.9,2647,0.137,0.131,2
SL,9/22/2022,90.1,"Kim, Ha-Seong",popup,46,26.6,46,90.6,2497,0.12,0.108,1
SI,9/21/2022,92.8,"Azocar, José",ground_ball,18,99.8,-6,93.4,2043,0.28,0.252,2
SI,9/21/2022,95,"Bell, Josh",ground_ball,12,80.1,-11,93.6,2016,0.103,0.093,2
SI,9/21/2022,91.2,"Nola, Austin",popup,26,73.4,87,91.9,1973,0,0,3
CH,9/21/2022,87.8,"Drury, Brandon",ground_ball,33,72.9,1,86.1,1459,0.117,0.105,2
SI,9/20/2022,93.7,"Nola, Austin",ground_ball,10,97.6,-16,93.3,2047,0.151,0.136,2
CH,9/20/2022,85,"Kim, Ha-Seong",line_drive,274,105.9,15,84.3,1406,0.611,0.657,5
SL,9/20/2022,83.6,"Soto, Juan",line_drive,236,84.3,19,83.1,2213,0.786,0.757,4
CH,9/18/2022,84.6,"Myers, Wil",ground_ball,21,94.8,-8,84.7,1090,0.231,0.225,2
FC,9/18/2022,92.1,"Machado, Manny",fly_ball,275,79.5,36,91.8,2219,0.034,0.033,3
FC,9/18/2022,92.2,"Soto, Juan",line_drive,266,109.6,15,92.3,2239,0.711,0.793,6
FF,9/18/2022,92.8,"Cronenworth, Jake",fly_ball,339,89.2,30,92.9,2477,0.06,0.072,3
FF,9/18/2022,93.2,"Drury, Brandon",line_drive,285,105.3,16,93.4,2492,0.571,0.654,5
FF,9/18/2022,93.2,"Machado, Manny",fly_ball,227,69.5,31,93.6,2385,0.837,0.845,4
FF,9/18/2022,91.3,"Profar, Jurickson",fly_ball,413,101.4,26,91.4,2394,0.6,1.021,6
FC,9/18/2022,91.7,"Azocar, José",line_drive,310,87.9,24,92.1,2276,0.183,0.202,3
FF,9/17/2022,92.6,"Profar, Jurickson",fly_ball,336,91.5,39,91.1,2495,0.029,0.036,3
SL,9/17/2022,86,"Azocar, José",ground_ball,5,82.3,-16,85.3,2429,0.089,0.082,2
FF,9/16/2022,92.8,"Soto, Juan",fly_ball,353,99.9,25,92.7,2455,0.517,0.807,6
FF,9/16/2022,93,"Myers, Wil",ground_ball,1,59.7,-59,93.1,2438,0.254,0.237,2
CH,9/16/2022,83.3,"Azocar, José",line_drive,232,87,15,83.4,609,0.963,0.911,4
KC,9/16/2022,78.9,"Nola, Austin",line_drive,274,96.2,16,78.8,2620,0.677,0.711,4
FF,9/16/2022,92.4,"Cronenworth, Jake",line_drive,354,92.8,24,92.3,2326,0.174,0.225,3
CH,9/16/2022,84.5,"Bell, Josh",line_drive,248,86,16,84.2,722,0.949,0.901,4
FA,9/16/2022,53.7,"Liberato, Luis",fly_ball,338,97.1,44,51.7,1206,0.02,0.026,3
FF,9/15/2022,98,"Liberato, Luis",fly_ball,291,87.1,45,98.7,2228,0.006,0.005,3
SI,9/15/2022,90.9,"Myers, Wil",ground_ball,22,95.7,-4,90.8,2173,0.314,0.317,2
FF,9/14/2022,93,"Kim, Ha-Seong",popup,53,74.8,89,93.7,2352,0.006,0.005,3
FF,9/14/2022,89.3,"Profar, Jurickson",line_drive,256,82.8,22,89.5,2345,0.566,0.559,4
SI,9/14/2022,88,"Alfaro, Jorge",line_drive,291,108.6,12,88.1,2221,0.906,0.967,5
FF,9/14/2022,88.6,"Grisham, Trent",line_drive,265,84.5,22,88.6,2345,0.471,0.458,3
KC,9/13/2022,85.6,"Kim, Ha-Seong",ground_ball,13,23.7,-2,86.5,2954,0.26,0.27,1
FF,9/13/2022,92.1,"Profar, Jurickson",ground_ball,19,100.9,-5,92.4,2445,0.274,0.247,2
SL,9/13/2022,82.9,"Soto, Juan",ground_ball,1,51.8,-52,83.1,2422,0.197,0.177,1
FF,9/13/2022,98.6,"Cronenworth, Jake",ground_ball,0,54.5,-87,99.2,2216,0.143,0.129,1
SL,9/13/2022,82.6,"Nola, Austin",ground_ball,2,38.3,-63,82.5,2606,0.226,0.208,1
FF,9/13/2022,92.4,"Profar, Jurickson",fly_ball,253,74.2,26,92.9,2536,0.777,0.735,4
