pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,98.6,"France, Ty",ground_ball,19,92.4,-9,98.9,2414,0.206,0.213,2
CH,10/5/2022,91.4,"Haniger, Mitch",popup,175,71,55,90.4,2003,0.091,0.098,3
SI,10/5/2022,100,"Crawford, J.P.",ground_ball,2,71.6,-47,101,2411,0.157,0.141,2
SL,10/5/2022,82.8,"Trammell, Taylor",ground_ball,47,86.1,1,82.3,2535,0.289,0.272,2
CU,10/4/2022,87.5,"Suárez, Eugenio",line_drive,208,95.8,13,87.6,2308,0.92,0.892,4
SI,10/4/2022,97.5,"France, Ty",ground_ball,93,90.4,4,97.5,2228,0.411,0.405,4
CU,10/4/2022,86.7,"Crawford, J.P.",ground_ball,68,97.5,3,86.7,2276,0.491,0.458,4
CH,10/4/2022,89.7,"Crawford, J.P.",ground_ball,3,73.8,-26,88.9,1724,0.037,0.034,2
SL,10/4/2022,87.2,"Toro, Abraham",fly_ball,280,86,41,88.8,2421,0.017,0.024,3
SI,10/4/2022,96.6,"Casali, Curt",popup,134,97,69,96.7,2132,0.023,0.028,3
SI,10/4/2022,98.1,"Kelenic, Jarred",ground_ball,33,104.6,-3,98.9,2326,0.394,0.365,2
SI,10/4/2022,96.5,"Santana, Carlos",ground_ball,35,108,-3,97.4,2354,0.443,0.408,4
SI,10/3/2022,92,"Frazier, Adam",line_drive,225,82,17,91.2,1835,0.94,0.902,4
SL,10/3/2022,82.8,"Rodríguez, Julio",line_drive,278,96,16,82.5,2718,0.677,0.711,4
SL,10/2/2022,79.6,"France, Ty",fly_ball,315,100.4,45,80.5,2276,0.026,0.033,3
FF,10/2/2022,95.5,"Suárez, Eugenio",ground_ball,5,101.4,-22,97.4,1082,0.166,0.164,2
SL,10/2/2022,78.8,"Winker, Jesse",fly_ball,410,102.5,27,79.7,2314,0.7,1.3,6
SL,10/1/2022,77.3,"Moore, Dylan",ground_ball,4,83.5,-19,77.7,2563,0.06,0.054,2
SL,10/1/2022,85.4,"Frazier, Adam",popup,132,70.5,62,85.8,1421,0.009,0.008,3
SI,10/1/2022,94.1,"Haggerty, Sam",line_drive,311,87.5,27,93.4,1800,0.1,0.128,3
SI,10/1/2022,94.7,"Torrens, Luis",fly_ball,289,85.4,37,94.1,2459,0.011,0.013,3
SI,10/1/2022,95,"Santana, Carlos",line_drive,209,73,19,94.4,2496,0.877,0.821,4
FF,9/30/2022,97,"Crawford, J.P.",ground_ball,7,97.2,-14,98.2,2202,0.194,0.176,2
FF,9/30/2022,95.7,"Suárez, Eugenio",ground_ball,45,92.8,0,97.3,2146,0.357,0.35,2
SL,9/30/2022,87,"Kelenic, Jarred",ground_ball,9,64,-11,88.2,2220,0.074,0.071,2
SL,9/29/2022,85.3,"Kelenic, Jarred",popup,79,77.7,76,84,2564,0.009,0.008,3
SL,9/29/2022,85.9,"France, Ty",ground_ball,6,87.6,-22,86.1,2404,0.114,0.118,2
SI,9/29/2022,93.1,"Crawford, J.P.",line_drive,99,81.9,5,92.9,2120,0.309,0.286,2
FF,9/29/2022,97.9,"Raleigh, Cal",fly_ball,253,76.3,34,96.2,2709,0.197,0.193,3
SI,9/29/2022,93,"Torrens, Luis",line_drive,172,96.2,8,92.3,2086,0.6,0.553,4
SI,9/29/2022,92.5,"Moore, Dylan",line_drive,156,84.8,10,92.3,2044,0.503,0.454,4
FF,9/29/2022,96.8,"Suárez, Eugenio",line_drive,147,106.1,8,95.4,2649,0.689,0.664,4
SL,9/28/2022,87.9,"Haggerty, Sam",fly_ball,314,92.4,41,88.2,2315,0.009,0.008,3
SL,9/27/2022,85.1,"Frazier, Adam",fly_ball,292,86.5,40,84.3,2516,0.014,0.019,3
FC,9/27/2022,89.8,"Toro, Abraham",fly_ball,249,73.9,28,88.8,2809,0.631,0.595,4
FF,9/27/2022,92.6,"Frazier, Adam",line_drive,110,50.5,23,92.6,2507,0.271,0.244,1
FF,9/27/2022,92.8,"Kelenic, Jarred",ground_ball,5,97.9,-16,92.6,2400,0.151,0.136,2
FC,9/25/2022,90.8,"Torrens, Luis",line_drive,301,96.9,17,90.7,2501,0.52,0.562,4
