pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,10/5/2022,79.9,ground_ball,93.2,-7,79.4,2191,0.214,0.203,2
FF,10/5/2022,92.2,,,,92,2027,,,
CH,10/5/2022,80,,,,79.2,1769,,,
CH,10/5/2022,79,,86.3,-20,78.5,1865,,,
SL,10/5/2022,79.5,,,,78.2,2295,,,
CH,10/5/2022,77.9,,,,76.8,1725,,,
FF,10/5/2022,91.5,popup,91.8,73,90.9,2173,0.009,0.008,3
CH,10/5/2022,79.4,,,,79,1811,,,
SL,10/5/2022,80.3,ground_ball,94,-10,79.6,2309,0.177,0.159,2
FF,10/5/2022,92.1,,,,91.4,2134,,,
CH,10/5/2022,82.4,,,,81.3,1834,,,
FF,10/5/2022,92.4,,63.8,-10,91.2,2153,,,
FF,10/5/2022,93.3,,,,92.5,2174,,,
FF,10/5/2022,92.3,,,,91.8,2135,,,
FF,10/5/2022,93,fly_ball,97.6,37,93,2713,0.171,0.33,3
FF,10/5/2022,92.3,ground_ball,95.7,-22,92.5,2607,0.12,0.118,2
CH,10/5/2022,81.6,fly_ball,108,27,81.1,1853,0.98,2.02,6
FF,10/5/2022,93,,,,92.8,2512,,,
CH,10/5/2022,81,,,,80.7,1823,,,
FF,10/5/2022,92.2,,,,91.4,2229,,,
FF,10/5/2022,92.5,,74,47,92.2,2451,,,
SL,10/5/2022,77.9,,,,76.9,2222,,,
SL,10/5/2022,81.7,,,,81.7,2742,,,
FF,10/5/2022,93.2,,,,92.9,2489,,,
SL,10/5/2022,79.3,fly_ball,78.3,41,79.4,2263,0.046,0.041,3
FF,10/5/2022,92.3,,,,92,2582,,,
FF,10/5/2022,92.7,,,,91.9,2161,,,
FF,10/5/2022,92.8,,,,92.9,2537,,,
FF,10/5/2022,93,,74.4,20,92,2149,,,
FF,10/5/2022,92.3,,,,91.9,2607,,,
CH,10/5/2022,81.3,,,,80,1816,,,
CH,10/5/2022,80.2,,95.3,54,79.4,1776,,,
FC,10/5/2022,89.3,line_drive,86.9,20,89.7,2187,0.511,0.496,4
FF,10/5/2022,92.8,,,,92.7,2500,,,
SI,10/5/2022,91.5,line_drive,81.2,23,91.4,2008,0.543,0.508,4
FF,10/5/2022,91.3,,92,48,90.5,2112,,,
FF,10/5/2022,92.5,,,,92.6,2601,,,
SI,10/5/2022,91.3,,63.1,-54,91.2,1936,,,
FF,10/5/2022,91.7,,,,91.3,2060,,,
SL,10/5/2022,81.7,line_drive,101.9,13,81.9,2966,0.894,0.899,4
FC,10/5/2022,88.4,,79.8,65,88.5,2276,,,
FF,10/5/2022,92.2,,,,91.2,2045,,,
SL,10/5/2022,81.8,,,,81.6,2833,,,
CH,10/5/2022,79.1,,,,78.5,1842,,,
FC,10/5/2022,88.5,,,,88.7,2281,,,
FF,10/5/2022,92.8,,79.4,68,92.8,2469,,,
FF,10/5/2022,92.3,,,,92.3,2479,,,
FF,10/5/2022,91.4,,,,90.6,1988,,,
SI,10/5/2022,91.5,,,,91.4,2136,,,
SL,10/5/2022,81.8,ground_ball,62.6,-10,81.7,2901,0.086,0.085,2
CH,10/5/2022,85.9,,,,85.9,1783,,,
CH,10/5/2022,78.9,ground_ball,65.6,-66,78.2,1831,0.246,0.221,2
FC,10/5/2022,88.8,,,,88.7,2282,,,
CH,10/5/2022,80.8,,,,79.9,1777,,,
FF,10/5/2022,92,,,,92,2356,,,
FF,10/5/2022,92.7,,,,92.7,2636,,,
SI,10/5/2022,91.9,,76.5,35,91.4,1945,,,
CH,10/5/2022,81.4,,,,80.5,1767,,,
FF,10/5/2022,91,,101.5,20,91,2505,,,
SL,10/5/2022,80,,67.5,12,79.4,2276,,,
SI,10/5/2022,90.9,,,,90.4,1955,,,
FF,10/5/2022,91.5,,,,91.7,2372,,,
FC,10/5/2022,88.9,,,,88.8,2092,,,
FF,10/5/2022,92.1,fly_ball,103.6,24,91.5,2000,0.823,1.487,6
FF,10/5/2022,91.6,,,,91.6,2462,,,
CH,10/5/2022,84.3,,,,83.7,1620,,,
CH,10/5/2022,80.4,,65.2,-28,79.3,1744,,,
FC,10/5/2022,89.1,,,,89,2081,,,
SL,10/5/2022,80.8,,,,80.6,2820,,,
CH,10/5/2022,80,,,,79.4,1790,,,
FC,10/5/2022,89.8,,,,89.7,2153,,,
SL,10/5/2022,80.1,,,,79.7,2248,,,
FF,10/5/2022,91.3,,82,80,91.8,2465,,,
FF,10/5/2022,93.9,,,,93.2,2223,,,
SI,10/5/2022,90.4,line_drive,101.7,18,90.2,1957,0.42,0.492,5
FF,10/5/2022,91,,,,91,2408,,,
CH,10/5/2022,82.1,,61.4,35,81.1,1752,,,
SI,10/5/2022,91.4,,,,90.9,1951,,,
FC,10/5/2022,89.4,,,,89.2,2157,,,
CH,10/5/2022,81.2,,83.4,-10,80,1667,,,
CH,10/5/2022,82.9,,,,81.9,1771,,,
FC,10/5/2022,89,,,,89.2,2105,,,
CH,10/5/2022,82.9,,,,81.7,1821,,,
SI,10/5/2022,90.9,,71.7,50,90.8,2011,,,
FC,10/5/2022,88.3,,,,88.2,2319,,,
FF,10/5/2022,91.9,,,,91.1,1950,,,
FF,10/5/2022,93.7,,,,93.5,2259,,,
FC,10/5/2022,88,,,,88.1,2269,,,
SL,10/5/2022,84.1,,,,83.9,1962,,,
FF,10/5/2022,93.9,,,,92.7,2047,,,
SL,10/5/2022,84.8,,,,84.8,2017,,,
FC,10/5/2022,88.9,,,,88.7,2201,,,
FF,10/5/2022,93.2,,73.9,37,92.4,2084,,,
FF,10/4/2022,92.9,fly_ball,92.9,34,92.7,1857,0.057,0.091,3
FS,10/4/2022,84.6,,42.4,26,84.4,1133,,,
