pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FC,10/5/2022,85.9,ground_ball,75.5,-7,85.8,2624,0.089,0.082,2
SI,10/5/2022,90.7,ground_ball,81.4,-17,89.5,2303,0.071,0.065,2
FC,10/5/2022,84.8,,,,84.2,2627,,,
FC,10/5/2022,84.2,ground_ball,61.9,-22,83.6,2672,0.043,0.039,2
SI,10/5/2022,89.6,,,,89.1,2227,,,
FC,10/5/2022,85.3,fly_ball,101.5,35,85.3,2685,0.409,0.816,5
CU,10/5/2022,76,,,,75.1,2914,,,
CH,10/4/2022,85.2,ground_ball,100.7,6,85.4,1568,0.663,0.624,4
FC,10/4/2022,90.1,,,,90,2154,,,
CH,10/4/2022,86.5,,,,86.9,1459,,,
SI,10/4/2022,95.3,,,,95.4,2147,,,
FC,10/4/2022,89.8,,,,90,2159,,,
CH,10/4/2022,86.6,popup,62.1,49,86.8,1424,0.151,0.136,3
SI,10/4/2022,95.5,,,,95.4,2116,,,
FC,10/4/2022,89.3,,,,89.3,2271,,,
CH,10/4/2022,83.9,,,,83.3,1517,,,
FC,10/4/2022,90,,,,90.5,2255,,,
SI,10/4/2022,94.3,ground_ball,92.8,-4,94.5,2187,0.243,0.229,2
SI,10/4/2022,94.3,,,,94.4,2046,,,
SI,10/4/2022,94.6,,,,94.7,2112,,,
SI,10/4/2022,95.2,,,,95.7,2171,,,
SI,10/4/2022,95,,,,95.1,2217,,,
FC,10/4/2022,90.4,,79.9,-12,90.9,2311,,,
FC,10/4/2022,87.1,,68.2,39,87.5,2334,,,
SI,10/4/2022,95.2,,,,95.3,2100,,,
SI,10/4/2022,94.3,,64.7,52,94.7,2089,,,
SI,10/4/2022,95.2,,,,95.1,2056,,,
SI,10/4/2022,95,,75.1,51,95.1,2242,,,
SI,10/4/2022,94.3,,,,94.2,2190,,,
SI,10/4/2022,93.4,,,,93.5,2211,,,
SI,10/4/2022,94,,,,94.2,2191,,,
SI,10/4/2022,94.3,,,,94.7,2305,,,
FF,10/4/2022,94.9,,,,94.4,2384,,,
FF,10/4/2022,94.4,,,,94,2448,,,
FF,10/4/2022,95,,,,94.6,2397,,,
CU,10/4/2022,82.3,,,,81.7,2314,,,
FF,10/4/2022,95.5,,,,95,2291,,,
FF,10/4/2022,95.3,,73.1,25,94.8,2406,,,
SL,10/4/2022,91.7,,,,91.9,2616,,,
SI,10/4/2022,97.3,,,,97.9,2288,,,
CU,10/4/2022,84.6,,,,83.9,2480,,,
SL,10/4/2022,91.4,,80.9,-25,92,2658,,,
SL,10/4/2022,86,,,,86.3,2444,,,
SL,10/4/2022,86.4,,,,87,2349,,,
CU,10/4/2022,83.4,,,,82.4,2374,,,
FC,10/4/2022,100,,76.8,27,100.9,2718,,,
CU,10/4/2022,83.1,,,,82.1,2465,,,
SL,10/4/2022,91.2,,,,91.9,2677,,,
CU,10/4/2022,83.6,,,,83.3,2656,,,
CU,10/4/2022,83.7,,,,82.8,2445,,,
FC,10/4/2022,98.1,,,,98.9,2757,,,
FF,10/4/2022,97.6,,88.5,56,98.4,2340,,,
FC,10/4/2022,98.7,,,,99.9,2809,,,
CU,10/4/2022,82.4,,,,81.5,2324,,,
CU,10/4/2022,81.8,,92.5,8,82.2,2595,,,
FF,10/4/2022,97,,90.3,-22,98.2,2407,,,
FC,10/4/2022,99.1,,,,99.3,2787,,,
FF,10/4/2022,95.6,ground_ball,94.7,-16,94.6,2392,0.186,0.178,2
SL,10/4/2022,90.6,,79.3,59,90.9,2648,,,
CU,10/4/2022,82.9,,,,82.1,2228,,,
FF,10/4/2022,97.7,,79.8,21,98.5,2421,,,
FF,10/4/2022,97.3,,,,98.1,2492,,,
FC,10/4/2022,100.3,,,,100.2,2775,,,
FF,10/4/2022,95.2,line_drive,95.6,16,94.7,2336,0.677,0.711,4
SL,10/4/2022,83.6,ground_ball,96.4,-20,83.9,2254,0.117,0.105,2
FF,10/4/2022,97.5,,77.4,37,98.2,2319,,,
FC,10/4/2022,99.8,ground_ball,57,-36,100.5,2697,0.08,0.072,1
CU,10/4/2022,83.2,,,,82.4,2263,,,
FF,10/4/2022,91.3,,,,91,2219,,,
FC,10/4/2022,100.2,ground_ball,57.8,2,101.2,2792,0.12,0.108,1
