pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FC,10/5/2022,81.4,,,,80.6,2867,,,
FC,10/5/2022,82.6,,,,82.1,2719,,,
SI,10/5/2022,94,,,,92.8,2247,,,
SI,10/5/2022,94.1,,,,93.1,2219,,,
FC,10/5/2022,80.8,popup,69,81,80.6,2559,0.006,0.005,3
SI,10/5/2022,93,,,,91.7,2130,,,
SI,10/5/2022,93.6,,,,92.7,2112,,,
SI,10/5/2022,91.5,,,,90.8,2079,,,
SI,10/5/2022,92.9,,,,91.8,2118,,,
SI,10/5/2022,92.1,,,,91.1,2108,,,
SI,10/5/2022,92.7,,,,91.8,2153,,,
CH,10/5/2022,84.8,,,,83.9,1592,,,
SI,10/5/2022,92.2,line_drive,102.5,9,91,2213,0.743,0.7,4
FF,10/5/2022,89.9,fly_ball,97.9,24,91,2573,0.374,0.513,5
CU,10/5/2022,74.1,,,,74,2930,,,
CH,10/5/2022,89.1,,,,88.4,1906,,,
SL,10/5/2022,87.6,,,,87.4,2882,,,
CU,10/5/2022,73.3,,,,73.4,3007,,,
SL,10/5/2022,81.5,,,,82.3,2728,,,
FF,10/5/2022,95,,,,94.7,2382,,,
SL,10/5/2022,88.2,,,,88.1,2966,,,
FF,10/5/2022,89.4,,,,90.5,2417,,,
SL,10/5/2022,86.5,,68.7,54,86.5,2921,,,
CU,10/5/2022,82.3,,,,80.9,3188,,,
FF,10/5/2022,98.3,,73.2,39,97.7,2444,,,
FF,10/5/2022,91,,,,92.1,2478,,,
SL,10/5/2022,91.6,,65.9,-49,91.1,2714,,,
SL,10/5/2022,90,,,,89.6,2794,,,
SL,10/5/2022,87,,,,87,2924,,,
SL,10/5/2022,84.9,ground_ball,88.9,-3,84,2440,0.197,0.177,2
CU,10/5/2022,75.5,,,,75.6,2894,,,
FF,10/5/2022,98,,,,96.8,2275,,,
FF,10/5/2022,97.8,,,,97.6,2541,,,
SL,10/5/2022,90.1,,73.2,-30,90,2854,,,
FF,10/5/2022,91.3,line_drive,78.8,17,92.5,2617,0.889,0.841,4
FF,10/5/2022,98.7,ground_ball,98.9,-32,97.7,2173,0.103,0.093,2
CU,10/5/2022,81.8,,,,80.3,3269,,,
CU,10/5/2022,73.9,,75.7,16,74,2943,,,
FF,10/5/2022,97.6,,,,97.7,2577,,,
FS,10/5/2022,87.8,,,,87.5,837,,,
CU,10/5/2022,69.7,,,,69.6,2887,,,
CH,10/5/2022,90.6,ground_ball,103.9,-13,87.7,1945,0.246,0.221,2
SL,10/5/2022,90.9,,,,90.9,2667,,,
CU,10/5/2022,85.7,,73.8,-39,85.1,3098,,,
CU,10/5/2022,81.9,,59.1,45,80.5,3294,,,
FF,10/5/2022,98.2,,81.3,38,97.4,2336,,,
FF,10/5/2022,90.2,,,,91.5,2425,,,
SL,10/5/2022,87.9,,,,87.6,3033,,,
FF,10/5/2022,96.3,,,,95,2261,,,
CH,10/5/2022,90.9,line_drive,99.2,17,90.1,1864,0.466,0.486,4
FF,10/5/2022,94.9,,,,94.2,2503,,,
SL,10/5/2022,87.3,,77.9,69,87.1,2843,,,
CU,10/5/2022,74,,88.2,29,74.1,2884,,,
FF,10/5/2022,97.5,,,,96.4,2316,,,
CU,10/5/2022,81.7,,,,80.2,3244,,,
CU,10/5/2022,74.3,,,,74.1,2938,,,
SL,10/5/2022,87.7,,,,86.8,2470,,,
SI,10/5/2022,95.6,,77.8,20,92.4,2079,,,
SL,10/5/2022,88,,,,88.1,2714,,,
CU,10/5/2022,72.3,,,,72.1,2995,,,
FF,10/5/2022,96.8,,,,96.6,2320,,,
SL,10/5/2022,90.4,,,,89.7,2815,,,
FF,10/5/2022,98.7,,,,97.4,2311,,,
FF,10/5/2022,95.5,,,,94.2,2350,,,
FF,10/5/2022,96.7,,,,95.5,2459,,,
FF,10/5/2022,96.3,,,,96.5,2325,,,
SL,10/5/2022,86.5,fly_ball,75.6,47,85.7,2484,0.111,0.124,3
CH,10/5/2022,89,ground_ball,96.9,-9,88.4,2056,0.231,0.216,2
SL,10/5/2022,81.1,,68.2,-50,81.8,2586,,,
FF,10/5/2022,96,,,,94.9,2462,,,
SL,10/5/2022,82.3,,,,83,2611,,,
CU,10/5/2022,80.9,,,,79.7,3073,,,
SL,10/5/2022,87.1,ground_ball,93.4,-6,86.9,2987,0.217,0.205,2
FF,10/5/2022,98,,,,96.2,2278,,,
SL,10/5/2022,81.7,,,,82.3,2603,,,
SL,10/5/2022,88.5,,68.8,-41,88.2,2672,,,
FF,10/5/2022,95.5,,,,94.3,2310,,,
FF,10/5/2022,96.8,,78.8,-19,96.7,2238,,,
FF,10/5/2022,98.5,,,,97,2285,,,
CU,10/5/2022,80,,,,78.5,3053,,,
FF,10/5/2022,95.8,,,,94.2,2360,,,
