pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
CU,10/5/2022,72.5,,,,72.4,2401,,,
SL,10/5/2022,86.8,,91.7,-19,87.7,2561,,,
SL,10/5/2022,85.5,,,,86.5,2588,,,
CU,10/5/2022,73.7,,,,74.1,2420,,,
CU,10/5/2022,74.1,,,,74.2,2389,,,
FF,10/5/2022,90.2,,,,90.9,2425,,,
CU,10/5/2022,72.9,ground_ball,89.7,-5,73.1,2376,0.151,0.136,2
FF,10/5/2022,90.3,,72.5,53,90.6,2325,,,
CU,10/5/2022,72.8,,,,73,2296,,,
FF,10/5/2022,90.6,,,,90.7,2411,,,
SL,10/5/2022,86.2,,58.5,-21,86.8,2646,,,
CU,10/5/2022,71.4,,,,71.3,2201,,,
SL,10/5/2022,86.1,,,,86.6,2563,,,
FF,10/5/2022,96,,,,96,2328,,,
FF,10/5/2022,95.9,,,,95.9,1899,,,
FF,10/5/2022,95.9,,,,95.8,2195,,,
FF,10/5/2022,96.1,,,,96.1,2416,,,
CU,10/5/2022,77.5,,77.4,-28,77,3176,,,
FF,10/5/2022,96.2,,,,96.4,2336,,,
CU,10/5/2022,78.6,,,,78.2,3140,,,
FF,10/5/2022,94.8,,,,95.1,2470,,,
CU,10/5/2022,79.6,,,,79,3230,,,
FF,10/5/2022,94.4,,,,95.2,2323,,,
FF,10/5/2022,95.6,,75.6,48,96.6,2433,,,
FF,10/5/2022,95.1,,84.3,37,95.4,2267,,,
FF,10/5/2022,95.1,,77.7,15,96.1,2341,,,
FF,10/5/2022,94.6,,,,94.9,2235,,,
FF,10/5/2022,95.5,,,,95.8,2272,,,
FF,10/5/2022,96.2,,,,97.5,2345,,,
FF,10/5/2022,94.3,,,,94.8,2238,,,
FF,10/5/2022,95,,,,95.9,2272,,,
FF,10/5/2022,95.6,,,,96.2,2280,,,
FF,10/5/2022,94.8,,,,95.4,2391,,,
CH,10/5/2022,91.6,ground_ball,92.7,-2,92.4,1742,0.274,0.25,2
CU,10/5/2022,79.3,,,,78.9,3269,,,
CH,10/5/2022,90.3,,,,91.4,1809,,,
FF,10/5/2022,95.2,,,,96.6,2298,,,
FF,10/5/2022,97,,,,98.4,2269,,,
FF,10/5/2022,95.5,,,,96.3,2174,,,
KC,10/5/2022,85,,,,86.4,2605,,,
FF,10/5/2022,95.1,,,,95.1,2212,,,
FF,10/5/2022,94.8,,82.6,16,94.9,2070,,,
SI,10/5/2022,95.7,,,,96.3,2148,,,
CU,10/5/2022,79.1,,,,78.5,3234,,,
FF,10/5/2022,96,,,,97,2302,,,
FC,10/5/2022,92.9,,42.6,44,93.1,2154,,,
KC,10/5/2022,85.4,,,,85.9,2550,,,
SL,10/5/2022,83.2,line_drive,88.9,23,83.7,2604,0.214,0.227,3
CU,10/5/2022,78.4,line_drive,101,14,77.6,3132,0.771,0.784,4
FS,10/5/2022,88.8,,100,-29,89.4,1308,,,
SI,10/5/2022,95.9,,,,97.2,2281,,,
FF,10/5/2022,95,,77.8,42,95.5,2373,,,
FF,10/5/2022,95.7,,,,97,2267,,,
CU,10/5/2022,79,,91,-6,78.5,3097,,,
FF,10/5/2022,96.1,,,,97.1,2285,,,
SL,10/5/2022,84.8,,,,85.6,2433,,,
