pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
CU,10/5/2022,80.5,,,,80.2,2580,,,
SI,10/5/2022,92.1,,,,91.3,2364,,,
CH,10/5/2022,84.8,,,,84,2372,,,
FF,10/5/2022,91.9,,,,91.1,2547,,,
FF,10/5/2022,92.1,,,,91.2,2530,,,
CU,10/5/2022,80.7,ground_ball,99.1,-6,80.4,2683,0.26,0.234,2
SI,10/5/2022,93.1,ground_ball,56.9,-22,92.5,2503,0.066,0.064,1
CU,10/5/2022,80.7,,,,80.3,2760,,,
FF,10/5/2022,92.1,line_drive,107,8,91.3,2452,0.689,0.655,4
CH,10/5/2022,83.2,,82.2,68,82.5,2430,,,
CU,10/5/2022,78.2,,,,77.5,2622,,,
SL,10/5/2022,77.3,popup,74,56,76.5,2757,0.08,0.087,3
SI,10/5/2022,97.6,ground_ball,83.7,-39,97.8,2034,0.063,0.057,2
SL,10/5/2022,76.4,,,,75.5,2778,,,
FC,10/5/2022,85.7,,,,85.8,2626,,,
SL,10/5/2022,86.7,,46,-36,86.5,2872,,,
SL,10/5/2022,85.5,,,,85.2,2801,,,
SL,10/5/2022,76.6,,,,75.6,2790,,,
SL,10/5/2022,85.3,,,,85.4,2885,,,
SL,10/5/2022,77.8,,,,77,2730,,,
SL,10/5/2022,85.1,,,,85.4,2918,,,
CU,10/5/2022,74.1,,,,73.4,2390,,,
CU,10/5/2022,73,,,,72.2,2355,,,
SL,10/5/2022,85.8,,,,85.8,2746,,,
SI,10/5/2022,98.8,,,,98.4,2095,,,
FC,10/5/2022,86.9,,88.2,-19,87.1,2480,,,
SL,10/5/2022,77.8,,,,76.8,2699,,,
SI,10/5/2022,98.4,,,,98.3,2063,,,
FC,10/5/2022,87.3,line_drive,112.4,14,87.4,2559,0.754,0.836,6
CH,10/5/2022,92.7,,,,92.9,1964,,,
SI,10/5/2022,97.1,,,,97.3,2034,,,
FC,10/5/2022,87,line_drive,96.6,9,87.2,2555,0.634,0.571,4
SL,10/5/2022,82.2,ground_ball,46.1,-46,81.6,2648,0.197,0.177,1
SL,10/5/2022,77.3,,,,76.8,2739,,,
CH,10/5/2022,92.5,,,,92.5,2005,,,
FF,10/5/2022,95.5,,,,95.7,1872,,,
SI,10/5/2022,98.2,,,,98.1,1945,,,
SI,10/5/2022,96.4,,80,42,96.5,1942,,,
SL,10/5/2022,77,,85.6,55,76.8,2688,,,
SL,10/5/2022,82.9,,83.8,78,83,2651,,,
FC,10/5/2022,87.2,,73.6,58,87.5,2578,,,
SI,10/5/2022,99.3,ground_ball,92.7,-22,99.3,2160,0.086,0.077,2
SI,10/5/2022,96.4,ground_ball,92.4,-26,96.5,2072,0.066,0.059,2
FF,10/5/2022,96,fly_ball,99.8,28,95.6,2033,0.571,1.053,6
SL,10/5/2022,83.4,,,,83.8,2812,,,
SL,10/5/2022,77.1,,,,76.4,2717,,,
SI,10/5/2022,99.5,,,,99.6,2287,,,
SL,10/5/2022,87.3,,,,87.7,2210,,,
SL,10/5/2022,76.9,,,,76.3,2778,,,
SL,10/5/2022,84,,,,83.4,2594,,,
CH,10/5/2022,91.9,fly_ball,83.8,51,92.3,1757,0.02,0.025,3
FC,10/5/2022,87.8,,,,88.1,2677,,,
CH,10/5/2022,93.3,,,,93.7,1778,,,
SL,10/5/2022,87.2,,85.8,54,87.9,2308,,,
SL,10/5/2022,83.2,fly_ball,80.3,62,82.9,2574,0.023,0.025,3
FF,10/5/2022,95.6,,,,95.6,1926,,,
SI,10/5/2022,98.8,line_drive,108.6,11,98.8,2412,0.877,0.896,5
CH,10/5/2022,92.4,,,,92.6,1752,,,
FC,10/5/2022,87.8,line_drive,71.1,23,87.9,2637,0.957,0.914,4
CU,10/5/2022,75.1,,,,74.3,2600,,,
SL,10/5/2022,88.6,,,,88.9,2339,,,
CH,10/5/2022,88.9,,60.8,23,88.8,1929,,,
SL,10/5/2022,82.6,,,,82.1,2856,,,
FF,10/5/2022,99.2,,,,99.4,2298,,,
SL,10/5/2022,82.4,,,,82.1,2570,,,
FC,10/5/2022,88.7,,,,88.9,2678,,,
SL,10/5/2022,85.9,,,,85.2,2805,,,
SI,10/5/2022,98.6,,,,98.6,2282,,,
CU,10/5/2022,73.1,,,,72.5,2395,,,
SL,10/5/2022,84.2,,,,83.7,2517,,,
CH,10/5/2022,93.2,,,,93.5,1775,,,
FF,10/5/2022,95.9,,,,95.2,1856,,,
FF,10/5/2022,99.4,,,,99.5,2399,,,
SI,10/5/2022,97.6,,85.4,42,97.3,2151,,,
SL,10/5/2022,77.2,,,,76.7,2833,,,
KC,10/4/2022,83.8,,,,83.1,2841,,,
FF,10/4/2022,97.6,,,,97.6,2481,,,
FF,10/4/2022,97.6,,,,97.7,2345,,,
FF,10/4/2022,97.7,ground_ball,93.5,-14,98,2438,0.166,0.149,2
SL,10/4/2022,90.1,,,,90.3,2548,,,
KC,10/4/2022,83.8,,66.6,-42,83.2,2732,,,
SL,10/4/2022,87,fly_ball,92.2,41,87.6,2521,0.009,0.008,3
SL,10/4/2022,89.1,,,,89.2,2530,,,
SI,10/4/2022,93.3,line_drive,84.8,28,93.1,2237,0.089,0.1,3
SL,10/4/2022,90.4,,,,90.4,2527,,,
SL,10/4/2022,89.3,,,,89.7,2521,,,
FF,10/4/2022,94.7,line_drive,98.7,11,95.2,2381,0.877,0.854,4
FF,10/4/2022,98.2,line_drive,86.9,20,98.3,2309,0.511,0.496,4
CH,10/4/2022,89.2,,,,89.8,1813,,,
FF,10/4/2022,97.9,,91.6,16,97.5,2408,,,
SL,10/4/2022,85.5,,,,86.1,2484,,,
FF,10/4/2022,94.5,,,,95.1,2303,,,
SL,10/4/2022,89.6,,96.5,-14,89.9,2623,,,
CH,10/4/2022,90.6,,,,91,1686,,,
SL,10/4/2022,84.7,,,,85.2,2536,,,
SI,10/4/2022,93.7,,,,94.2,2324,,,
SL,10/4/2022,89,,,,88.8,2602,,,
FF,10/4/2022,94.1,,,,94.7,2290,,,
FF,10/4/2022,96,,,,95.8,2318,,,
FF,10/4/2022,96.6,,,,96.3,2324,,,
CU,10/4/2022,82.1,,,,82.1,2787,,,
CU,10/4/2022,81.3,,,,80.9,2733,,,
SL,10/4/2022,88.5,ground_ball,101,6,88.9,2626,0.663,0.624,4
FF,10/4/2022,98.2,,,,98.3,2340,,,
FF,10/4/2022,95.2,,,,94.9,2355,,,
CH,10/4/2022,88.1,,,,88.1,1874,,,
FF,10/4/2022,97.6,,,,97.6,2351,,,
SL,10/4/2022,86,,,,86.2,2559,,,
FF,10/4/2022,97.2,,,,97.2,2413,,,
SL,10/4/2022,86,ground_ball,73.7,-9,86.1,2576,0.086,0.087,2
SL,10/4/2022,88.7,,,,88.8,2534,,,
FF,10/4/2022,94.6,,,,95,2299,,,
KC,10/4/2022,83.4,,,,83.1,2716,,,
FF,10/4/2022,97.7,,,,97.9,2399,,,
FF,10/4/2022,93.4,line_drive,107.8,20,94.2,2250,0.817,1.292,6
CU,10/4/2022,81.7,,,,81.9,2693,,,
SL,10/4/2022,87.8,,,,87.6,2511,,,
FF,10/4/2022,93.5,,78.4,12,93.8,2333,,,
SL,10/4/2022,88.9,,,,88.9,2537,,,
KC,10/4/2022,82.2,fly_ball,107.2,27,81.7,2706,0.957,1.954,6
SI,10/4/2022,95.2,,,,95.6,2214,,,
CU,10/4/2022,81.1,,43.7,-28,80.7,2761,,,
SL,10/4/2022,88.8,,,,88.6,2471,,,
FF,10/4/2022,93.7,line_drive,104.2,20,94.3,2354,0.557,0.745,6
KC,10/4/2022,83.6,,,,83.1,2666,,,
KC,10/4/2022,82.7,,,,82.5,2778,,,
FC,10/4/2022,90,fly_ball,62.9,41,90.5,2580,0.417,0.375,3
SL,10/4/2022,90.1,,,,90.4,2553,,,
KC,10/4/2022,83.4,,,,83.3,2659,,,
CH,10/4/2022,88.9,,,,89.3,1659,,,
FF,10/4/2022,97.5,,80.2,38,97.4,2273,,,
CH,10/4/2022,88.5,,,,89.2,1658,,,
KC,10/4/2022,81.9,ground_ball,102.8,-5,81.3,2671,0.337,0.314,2
SL,10/4/2022,89.1,,,,89.2,2427,,,
FF,10/4/2022,96.1,,,,95.7,2445,,,
SL,10/4/2022,87,,,,86.4,3028,,,
KC,10/4/2022,85,,,,83.2,3125,,,
SL,10/4/2022,86.8,,,,86.3,3041,,,
KC,10/4/2022,85.6,,,,84.4,3169,,,
KC,10/4/2022,85.4,fly_ball,94.3,30,84.2,3064,0.134,0.22,3
SL,10/4/2022,88.5,,70.7,69,87.7,2979,,,
SI,10/4/2022,95.3,,,,94.9,2403,,,
SI,10/4/2022,95.1,,,,95,2447,,,
SL,10/4/2022,88.3,,,,87.9,2872,,,
KC,10/4/2022,83.7,,,,82.7,2992,,,
FS,10/4/2022,89,,,,90.3,691,,,
SI,10/4/2022,95.4,,,,94.8,2428,,,
SI,10/4/2022,95.6,line_drive,96,20,94.9,2128,0.269,0.318,4
FF,10/4/2022,97.3,,,,98,2372,,,
SI,10/4/2022,94.4,,,,93.5,2494,,,
SL,10/4/2022,82.1,,,,80.7,2924,,,
SI,10/4/2022,98.6,fly_ball,89.5,21,98.8,2306,0.311,0.318,3
KC,10/4/2022,85.3,ground_ball,82.7,-35,84,3162,0.066,0.061,2
SI,10/4/2022,95.3,,,,94.3,2194,,,
FS,10/4/2022,86.8,,,,88.7,1041,,,
SI,10/4/2022,98.5,,,,98.2,2341,,,
CU,10/4/2022,88.4,,,,88.3,2627,,,
SI,10/4/2022,95,,60.9,-51,93.8,2136,,,
KC,10/4/2022,84.8,,,,84.1,3068,,,
FS,10/4/2022,86.3,,,,87.8,991,,,
SL,10/4/2022,82.3,,,,81.1,2941,,,
CH,10/4/2022,89.9,,,,89.7,2179,,,
SI,10/4/2022,99.2,,,,99.3,2278,,,
FS,10/4/2022,88.1,,,,89.8,949,,,
SL,10/4/2022,87.4,,80.7,-19,87.3,2883,,,
FS,10/4/2022,87.4,,,,88.5,901,,,
FF,10/4/2022,94.8,,72.1,35,94.5,2333,,,
SI,10/4/2022,99,fly_ball,99.9,41,99.3,2268,0.117,0.223,3
SI,10/4/2022,95.9,,86.3,24,95.1,2152,,,
CH,10/4/2022,91.3,,,,91,2236,,,
SI,10/4/2022,99.3,,,,99.2,2314,,,
FF,10/4/2022,95.9,,76.9,42,97,2407,,,
SI,10/4/2022,99.2,line_drive,105.8,11,99.5,2273,0.897,0.933,4
SL,10/4/2022,86.8,,,,87.6,2233,,,
CH,10/4/2022,85.4,,,,85.1,1719,,,
SL,10/4/2022,86.2,fly_ball,103.7,39,85.5,3010,0.389,0.77,6
FF,10/4/2022,97.3,,,,98.4,2429,,,
SL,10/4/2022,87.8,,,,87.6,2852,,,
CH,10/4/2022,85.1,,,,84.6,1677,,,
CH,10/4/2022,90.9,,63,17,90.5,2050,,,
SI,10/4/2022,96.2,,,,94.9,2090,,,
FF,10/4/2022,97.1,,80.4,18,97.6,2416,,,
KC,10/4/2022,84.4,line_drive,70.8,14,83.6,3084,0.451,0.406,4
CH,10/4/2022,90.2,,,,90.2,1867,,,
KC,10/4/2022,85,,,,84,3063,,,
SI,10/4/2022,99.6,,,,99.1,2291,,,
SL,10/4/2022,80.7,fly_ball,94.9,30,79.6,2838,0.151,0.246,5
SL,10/4/2022,87.2,ground_ball,60.2,-22,88.1,2288,0.057,0.058,2
SI,10/4/2022,95.1,,,,94,2036,,,
KC,10/4/2022,84,,,,82.8,3061,,,
SL,10/4/2022,86.4,,,,87.5,2242,,,
CH,10/4/2022,92.4,,,,92,2065,,,
SL,10/4/2022,84.3,,,,84.8,2070,,,
SL,10/4/2022,81.9,,,,80.6,2907,,,
CH,10/4/2022,91.5,,,,90.7,2067,,,
SL,10/4/2022,87.1,,,,87,2841,,,
SL,10/4/2022,86.6,,,,86.5,3058,,,
FF,10/4/2022,94.7,,,,95.1,2392,,,
SL,10/4/2022,80.9,,66.9,29,79.8,2716,,,
SI,10/4/2022,97.9,,,,97.4,2196,,,
FF,10/3/2022,99.5,,,,99.7,2318,,,
FF,10/3/2022,99.8,,,,99.3,2423,,,
FF,10/3/2022,98.6,,,,98.1,2329,,,
FF,10/3/2022,98.7,,,,98.2,2270,,,
FF,10/3/2022,97.3,,,,96.3,2290,,,
FF,10/3/2022,98.2,,,,97.3,2342,,,
CH,10/3/2022,89,ground_ball,88,-6,88.7,1730,0.143,0.137,2
FF,10/3/2022,98.1,,,,97.3,2329,,,
CH,10/3/2022,90.1,,74.4,20,90.3,1754,,,
FF,10/3/2022,99.4,,,,99.1,2410,,,
FF,10/3/2022,98.3,,,,97.6,2446,,,
SL,10/3/2022,86.4,,,,86.2,2724,,,
CH,10/3/2022,85.8,,81.7,-16,85.7,1659,,,
FF,10/3/2022,99.3,fly_ball,90.8,51,98.4,2500,0.017,0.022,3
FF,10/3/2022,100.3,,,,99.2,2451,,,
FF,10/3/2022,98.6,,,,98.5,2474,,,
FF,10/3/2022,99.2,popup,85.9,77,98.6,2400,0.011,0.013,3
FF,10/3/2022,99,,,,98.3,2429,,,
FF,10/3/2022,98.6,,,,98.2,2348,,,
FF,10/3/2022,97.7,,,,97.1,2393,,,
FF,10/3/2022,98,,,,96.9,2448,,,
SL,10/3/2022,86.6,,,,86,2682,,,
CH,10/3/2022,89,,,,88.8,1819,,,
CH,10/3/2022,88.6,,,,88.5,1728,,,
FF,10/3/2022,97.2,,,,96.4,2446,,,
FF,10/3/2022,96.5,,,,95.8,2294,,,
FF,10/3/2022,98.8,,,,98.7,2341,,,
FF,10/3/2022,98.4,,55,-10,98,2276,,,
SL,10/3/2022,85.4,,,,85.2,2711,,,
FF,10/3/2022,98.3,,,,98.4,2417,,,
FF,10/3/2022,98.8,,,,98.8,2392,,,
FF,10/3/2022,98.5,,,,98.5,2362,,,
SL,10/3/2022,86.6,,69.5,21,85.7,2700,,,
FF,10/3/2022,99.4,,,,98.9,2375,,,
FF,10/3/2022,99.4,,,,99,2386,,,
SL,10/3/2022,86.3,,,,86.1,2774,,,
CH,10/3/2022,88.6,,,,88.6,1600,,,
CH,10/3/2022,90.2,,,,90.1,1718,,,
CH,10/3/2022,88.6,,109.8,40,88.9,1623,,,
SL,10/3/2022,86.3,,,,85.7,2690,,,
FF,10/3/2022,99.1,,,,98.3,2459,,,
SI,10/3/2022,96.9,,75,38,96.3,2161,,,
SI,10/3/2022,96.2,,,,95.8,2163,,,
SI,10/3/2022,98.2,fly_ball,100.8,26,98.4,2176,0.6,1.021,6
SL,10/3/2022,79.7,fly_ball,105.7,36,78.5,2502,0.631,1.276,6
SI,10/3/2022,91.2,,,,89.9,2259,,,
CH,10/3/2022,92.8,ground_ball,63.3,-48,93.4,1824,0.211,0.203,2
SI,10/3/2022,98.9,,,,99,2010,,,
CH,10/3/2022,83.7,,,,82.7,2103,,,
CH,10/3/2022,93,ground_ball,107.2,-8,93.7,1868,0.349,0.314,2
SI,10/3/2022,90.5,,,,89,2223,,,
SI,10/3/2022,98.7,,,,99.3,2258,,,
SL,10/3/2022,79.9,ground_ball,80.1,-7,78.3,2442,0.097,0.087,2
SI,10/3/2022,90.7,,64.1,-47,89.3,2255,,,
SI,10/3/2022,98.1,line_drive,94.4,12,98.4,2318,0.874,0.839,4
SL,10/3/2022,86.9,,,,86.9,2892,,,
SL,10/3/2022,80.2,,,,78.5,2589,,,
SL,10/3/2022,86.3,,,,86.3,2830,,,
SL,10/3/2022,80.1,,,,78.5,2478,,,
SI,10/3/2022,90.6,,,,89.2,2263,,,
SI,10/3/2022,98.2,,,,98.5,2375,,,
SI,10/3/2022,97.9,,,,97.9,2342,,,
SI,10/3/2022,89.5,,,,88.4,2207,,,
CH,10/2/2022,82.8,,,,82.5,1734,,,
FF,10/2/2022,89.7,,,,89.5,2045,,,
CU,10/2/2022,79.6,,,,78.7,2363,,,
CU,10/2/2022,80.1,,,,79.3,2064,,,
CH,10/2/2022,81.6,,,,80.3,1550,,,
FF,10/2/2022,91,popup,87.1,60,90.6,2198,0.017,0.02,3
FF,10/2/2022,91.7,,76.4,32,91.5,2181,,,
FF,10/2/2022,91.2,,,,90.5,2259,,,
CU,10/2/2022,81.2,,82.1,51,80.9,2588,,,
FF,10/2/2022,91.6,,,,91.8,2273,,,
SI,10/2/2022,89.9,fly_ball,95.9,36,88.9,2185,0.14,0.27,3
SI,10/2/2022,90.4,,,,90,2176,,,
SL,10/2/2022,86.8,,,,85.9,2314,,,
CU,10/2/2022,81,,64.5,74,79.8,2583,,,
CU,10/2/2022,80.4,line_drive,100.2,25,78.8,2551,0.517,0.807,6
FF,10/2/2022,92,,,,91.1,2180,,,
CU,10/2/2022,80.7,,,,79.9,2494,,,
CH,10/2/2022,82.7,,,,82.2,1794,,,
FF,10/2/2022,90.3,,,,89.4,2252,,,
CU,10/2/2022,79.3,,,,78.4,2489,,,
FC,10/2/2022,85.9,ground_ball,95.8,-13,85.7,2529,0.174,0.157,2
SL,10/2/2022,82.7,,,,82.8,2283,,,
FC,10/2/2022,85.7,,,,85.5,2497,,,
FF,10/2/2022,97,,,,98.1,2488,,,
SL,10/2/2022,75.7,,,,75,2729,,,
SL,10/2/2022,84.1,,55.2,4,84.7,2276,,,
SL,10/2/2022,75.6,,,,75.5,2744,,,
FF,10/2/2022,94.7,,,,95.9,2279,,,
FC,10/2/2022,86.1,,,,86.9,2549,,,
SL,10/2/2022,76,,,,75.2,2761,,,
SL,10/2/2022,85.5,,,,86.6,2359,,,
SL,10/2/2022,84.3,,,,85.6,2123,,,
SL,10/2/2022,74.8,,,,74.1,2724,,,
FF,10/2/2022,94.8,,,,95.7,2241,,,
FC,10/2/2022,85,,68.9,16,84.6,2492,,,
FS,10/2/2022,88.2,,,,90.3,692,,,
FC,10/2/2022,86,,,,85.5,2599,,,
FC,10/2/2022,86.8,line_drive,86.3,20,87.1,2451,0.551,0.534,4
SL,10/2/2022,84.3,,68.6,53,86.3,2146,,,
SI,10/2/2022,94.8,popup,75.3,68,94,2404,0.003,0.003,3
FF,10/2/2022,95.9,,,,96.9,2296,,,
FC,10/2/2022,86.2,,,,86,2531,,,
SL,10/2/2022,75.8,,,,75.7,2632,,,
FF,10/2/2022,95.8,,,,97.2,2371,,,
FF,10/2/2022,94.7,fly_ball,106.5,28,95,2516,0.951,1.968,6
KC,10/2/2022,83.8,,,,82.9,2804,,,
FS,10/2/2022,89.2,,,,90.7,948,,,
FC,10/2/2022,85.7,ground_ball,78.1,-6,85.1,2490,0.1,0.09,2
SL,10/2/2022,76.7,,,,76.5,2788,,,
FF,10/2/2022,94.6,,72.3,45,94.7,2447,,,
FF,10/2/2022,97,,,,97.5,2345,,,
FF,10/2/2022,95.5,,,,97.4,2331,,,
SL,10/2/2022,75.4,,,,75,2729,,,
FF,10/2/2022,95.2,,,,94.7,2552,,,
CH,10/2/2022,90,,,,90.5,1889,,,
CH,10/2/2022,88.6,,62.3,29,88.8,1969,,,
KC,10/2/2022,82.8,,,,82.1,2789,,,
FC,10/2/2022,85.9,,,,86,2474,,,
FF,10/2/2022,93.5,,,,94.8,2231,,,
FF,10/2/2022,93.1,,,,92.9,2220,,,
FF,10/2/2022,96.8,,,,97.9,2463,,,
FF,10/2/2022,92,,75.2,7,92.1,2218,,,
SL,10/2/2022,86.4,,,,85.2,2859,,,
SI,10/2/2022,98.7,,74.5,12,98.6,2401,,,
SL,10/2/2022,75.1,ground_ball,85.4,-8,74.2,2791,0.123,0.115,2
FF,10/2/2022,97.5,,,,98.7,2413,,,
FF,10/2/2022,92.7,,,,92.5,2296,,,
SI,10/2/2022,98.4,,68.4,23,98.1,2325,,,
FC,10/2/2022,87.2,,,,87.6,2433,,,
SL,10/2/2022,86.4,,,,86.1,2922,,,
FF,10/2/2022,92.8,fly_ball,79,33,93.3,2328,0.051,0.046,3
SL,10/2/2022,75.8,,,,75.1,2748,,,
SI,10/2/2022,98,,,,97.4,2337,,,
SI,10/2/2022,94.8,,77.8,7,94.4,2359,,,
FS,10/2/2022,87,,,,88.5,693,,,
CH,10/2/2022,82,,,,82.7,1848,,,
KC,10/2/2022,83.2,,,,82,2788,,,
SI,10/2/2022,97.5,,,,97.8,2348,,,
FC,10/2/2022,87.1,,,,88,2430,,,
FF,10/2/2022,99.4,,,,100.2,2491,,,
FC,10/2/2022,87.1,,68.6,20,87.3,2515,,,
FS,10/2/2022,89.1,,,,91.1,1286,,,
SL,10/2/2022,86.4,,,,86,2855,,,
CH,10/2/2022,83.5,,,,83.8,2038,,,
SI,10/2/2022,98.1,,,,97.9,2351,,,
SI,10/2/2022,98.4,,,,98.7,2323,,,
FF,10/2/2022,97.1,,,,97.8,2405,,,
FC,10/2/2022,86.9,,,,86.9,2505,,,
SL,10/2/2022,85.6,,,,85.1,2828,,,
FF,10/2/2022,92.4,,,,92.8,2202,,,
FC,10/2/2022,87.1,,87.9,65,86.7,2561,,,
KC,10/2/2022,83.9,popup,66.4,65,83,2693,0.006,0.006,3
FF,10/2/2022,93.3,,,,93.6,2251,,,
