pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,10/5/2022,74.8,ground_ball,90.4,-23,74.7,2295,0.097,0.089,2
FF,10/5/2022,88.7,line_drive,84.3,17,88.6,2262,0.951,0.928,4
SL,10/5/2022,75.7,,,,75.1,2255,,,
SL,10/5/2022,76.5,,73.2,-37,75.8,2342,,,
FF,10/5/2022,89.2,fly_ball,103.3,25,89.1,2332,0.729,1.276,6
FF,10/5/2022,87.6,,,,87.2,2348,,,
FF,10/5/2022,89.2,,,,88.9,2304,,,
FF,10/5/2022,87.6,,80.1,-25,87.3,2353,,,
CH,10/5/2022,80.9,ground_ball,93.8,-8,80.5,1660,0.223,0.212,2
SL,10/5/2022,74.6,,,,73.9,2300,,,
FF,10/5/2022,87.3,,,,87,2329,,,
FF,10/5/2022,86.8,,,,86.4,2236,,,
SL,10/5/2022,75.9,ground_ball,,,75.5,2258,,,
SL,10/5/2022,76,,,,75.3,2220,,,
SL,10/5/2022,75.6,,,,75.2,2449,,,
CH,10/5/2022,81.5,,,,81.3,1774,,,
CH,10/5/2022,81.9,,,,81.3,1677,,,
CH,10/5/2022,80.7,,,,79.9,1788,,,
CH,10/5/2022,81.7,,82.2,-4,81.4,1714,,,
FF,10/5/2022,87.1,ground_ball,104.6,7,86.8,2270,0.606,0.548,4
FF,10/5/2022,88.1,,,,87.9,2281,,,
CH,10/5/2022,82,,,,81.3,1629,,,
CH,10/5/2022,81.1,,,,81,1727,,,
FF,10/5/2022,88.2,line_drive,100.1,15,87.7,2345,0.683,0.667,4
SL,10/5/2022,75.6,,,,75.2,2284,,,
SL,10/5/2022,76.3,,,,75.5,2301,,,
FF,10/5/2022,87.4,,77.6,67,87.1,2305,,,
CH,10/5/2022,81.3,,,,81.2,1669,,,
FF,10/5/2022,88,,,,88,2314,,,
SL,10/5/2022,76.2,,,,76,2205,,,
FF,10/5/2022,88,fly_ball,73,40,87.9,2310,0.309,0.319,3
FF,10/5/2022,87.9,,,,87.5,2229,,,
CH,10/5/2022,82.9,ground_ball,98.4,7,82.6,1580,0.626,0.589,4
SL,10/5/2022,75.6,,,,75.2,2267,,,
FF,10/5/2022,88.9,,,,88.9,2286,,,
FF,10/5/2022,88.9,ground_ball,81.1,-14,88.6,2372,0.091,0.082,2
SL,10/5/2022,76.1,,,,75.9,2255,,,
FF,10/5/2022,89.1,,,,89,2323,,,
FF,10/5/2022,88.6,,81.3,38,88.8,2330,,,
CH,10/5/2022,82.9,,,,82.1,1808,,,
FF,10/5/2022,88.9,,,,88.7,2324,,,
CH,10/5/2022,82.3,,,,81.6,1787,,,
SL,10/5/2022,90.1,ground_ball,77.7,-1,89.8,2115,0.137,0.123,2
SL,10/5/2022,87.9,,,,87.2,2073,,,
SL,10/5/2022,90,,80.6,67,89.8,2160,,,
SL,10/5/2022,91.8,,82,-69,91.5,2291,,,
SL,10/5/2022,89.5,,,,89,2215,,,
FF,10/5/2022,95,,,,94.6,1946,,,
CH,10/5/2022,88.7,,,,87.5,1856,,,
FF,10/5/2022,97.1,,,,96,2041,,,
SL,10/5/2022,90.3,,,,89.4,2181,,,
FF,10/5/2022,97.7,fly_ball,98.8,32,96.9,1993,0.366,0.708,5
FF,10/5/2022,97.6,,98.5,44,96.9,1951,,,
FF,10/5/2022,97.6,,76.2,28,97.6,1792,,,
FF,10/5/2022,97.9,,,,98,1819,,,
FF,10/5/2022,97.9,,,,97.8,1761,,,
CH,10/5/2022,88.8,,,,88,1938,,,
SL,10/5/2022,90,,,,89.5,2075,,,
SL,10/4/2022,83.9,ground_ball,95.9,-2,83.6,2210,0.309,0.282,2
FF,10/4/2022,94.8,,75.6,22,93.8,2173,,,
SL,10/4/2022,83.1,,,,82.6,2309,,,
SL,10/4/2022,82.6,,,,81.9,2262,,,
SL,10/4/2022,85.4,,,,85.1,2255,,,
SL,10/4/2022,83.6,,,,83.6,2317,,,
CH,10/4/2022,83.7,ground_ball,97.3,7,83.5,1532,0.617,0.586,4
FF,10/4/2022,94.2,,87.4,66,93.4,2079,,,
CH,10/4/2022,83.8,fly_ball,86.7,33,84.2,2170,0.029,0.04,3
CH,10/4/2022,84.4,,,,85.2,2102,,,
FF,10/4/2022,94.3,,101.5,19,93.2,2188,,,
CH,10/4/2022,83.5,line_drive,90.8,8,83.1,1467,0.543,0.508,4
FC,10/4/2022,89,,,,89.8,2460,,,
FF,10/4/2022,98.9,,,,98.3,2393,,,
FF,10/4/2022,93.9,,,,92.6,2193,,,
SI,10/4/2022,98.6,,,,98.1,2404,,,
CH,10/4/2022,84.4,line_drive,92.6,9,84.8,2025,0.614,0.576,4
FC,10/4/2022,93.8,,,,93.7,2543,,,
FF,10/4/2022,96.5,,81.2,31,96.5,2328,,,
FF,10/4/2022,94.7,ground_ball,105.4,1,94,2106,0.44,0.396,4
CH,10/4/2022,81.6,popup,67.2,70,81,1426,0.006,0.008,3
FC,10/4/2022,92.7,,,,92.8,2490,,,
CH,10/4/2022,83.7,,,,83.8,2198,,,
CH,10/4/2022,84.2,,,,84.4,2062,,,
SI,10/4/2022,98.7,ground_ball,93.9,-41,97.9,2433,0.08,0.072,2
CH,10/4/2022,84.4,,89.6,8,84.9,2201,,,
FC,10/4/2022,95,line_drive,74.5,20,95.4,2500,0.949,0.892,4
CH,10/4/2022,83.6,ground_ball,76.7,9,84.2,1954,0.343,0.324,2
FF,10/4/2022,98.7,,,,98.3,2263,,,
FC,10/4/2022,88.4,popup,92.8,67,89.9,2417,0.02,0.025,3
FF,10/4/2022,99.7,,,,99.2,2355,,,
FC,10/4/2022,92.1,ground_ball,98.1,-7,92.9,2544,0.26,0.24,2
SI,10/4/2022,100.3,line_drive,80.9,23,99.5,2437,0.543,0.508,4
FC,10/4/2022,87.9,,,,89.2,2387,,,
SL,10/4/2022,81.6,,,,81.6,2687,,,
CH,10/4/2022,83.8,ground_ball,112.4,7,84.3,2180,0.76,0.736,5
SL,10/4/2022,91,fly_ball,104.4,33,90.4,2491,0.671,1.369,6
CH,10/4/2022,84.3,,,,84.8,2202,,,
CH,10/4/2022,92.7,,,,92.3,1581,,,
SL,10/4/2022,81.2,,,,81.5,2642,,,
CH,10/4/2022,83.7,,77.6,65,84.3,2030,,,
SL,10/4/2022,81,ground_ball,58.4,-31,80.7,2750,0.057,0.051,1
FF,10/4/2022,99.6,,,,99.1,2422,,,
FF,10/4/2022,99.1,,,,98.4,2332,,,
FC,10/4/2022,91.6,,,,92,2512,,,
CH,10/4/2022,84.7,,,,85.3,2206,,,
SL,10/4/2022,92.9,,,,92.4,2496,,,
FC,10/4/2022,88.6,line_drive,104.1,15,89.3,2364,0.62,0.651,5
FC,10/4/2022,91.6,,75.7,63,92.4,2438,,,
CH,10/4/2022,84.2,,,,84.7,1886,,,
FF,10/4/2022,99,,79.1,22,98.4,2426,,,
FC,10/4/2022,90.7,,,,91.5,2429,,,
SI,10/4/2022,99,,,,98.4,2316,,,
CH,10/4/2022,84.3,,,,84.6,2157,,,
FC,10/4/2022,90.5,,,,91.4,2373,,,
FC,10/4/2022,87.7,ground_ball,98,-11,89,2360,0.22,0.2,2
SI,10/4/2022,98.9,,,,97.9,2299,,,
FC,10/4/2022,90.1,,,,91.4,2396,,,
FC,10/4/2022,90.5,,,,91.2,2423,,,
FC,10/4/2022,88.8,,,,89.5,2391,,,
FF,10/4/2022,98.1,,,,97.6,2353,,,
SI,10/3/2022,92.5,line_drive,91.8,8,92.9,2336,0.571,0.538,4
FF,10/3/2022,92.7,,,,92.8,2380,,,
KC,10/3/2022,78.8,,,,78.4,2604,,,
KC,10/3/2022,79.6,,,,79.2,2665,,,
FF,10/3/2022,93.4,,,,93.4,2416,,,
FF,10/3/2022,93.8,line_drive,105.4,14,93.9,2446,0.714,0.752,5
FF,10/3/2022,93.3,popup,63.2,55,93.8,2226,0.046,0.041,3
KC,10/3/2022,79.2,,57.2,-38,79,2646,,,
SI,10/3/2022,94.7,,,,95,2360,,,
CH,10/3/2022,85.5,,80.5,-24,85.8,1497,,,
KC,10/3/2022,77.2,,,,77.2,2526,,,
SI,10/3/2022,92.3,,,,93,2314,,,
KC,10/3/2022,78.1,,,,78.1,2573,,,
SI,10/3/2022,93.8,,,,94.5,2380,,,
SI,10/3/2022,92.1,,,,92.7,2260,,,
KC,10/3/2022,78.4,,,,78.4,2617,,,
SI,10/3/2022,94.4,,,,95.2,2321,,,
FC,10/3/2022,88.9,,,,89.5,2240,,,
