pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,10/5/2022,89.3,ground_ball,69.7,-55,89,1794,0.266,0.27,2
SI,10/5/2022,90,,74.7,-24,90,1697,,,
SI,10/5/2022,90,,59.8,-35,90.6,1740,,,
CH,10/5/2022,81.2,,,,81.6,1665,,,
SI,10/5/2022,89.6,,74.7,-36,89.1,1744,,,
SI,10/5/2022,89.4,,,,89.3,1760,,,
SI,10/5/2022,89.1,,,,88.8,1711,,,
SI,10/5/2022,88.4,,,,88.1,1714,,,
SI,10/5/2022,89.9,ground_ball,72.8,-66,89.3,1777,0.257,0.233,2
SI,10/5/2022,89.5,,,,89.1,1720,,,
SI,10/5/2022,88.8,,58.8,-63,88.6,1695,,,
CU,10/5/2022,76.7,,,,76.9,1866,,,
SI,10/5/2022,89.5,,,,89.6,1646,,,
SI,10/5/2022,89,,,,89,1659,,,
CH,10/5/2022,80.4,,,,80.6,1579,,,
CH,10/5/2022,80,,69.4,79,80.6,1474,,,
SI,10/5/2022,87.2,,,,87,1582,,,
SI,10/5/2022,93.3,,,,92.5,2314,,,
SI,10/5/2022,92.7,,,,92.3,2225,,,
SL,10/5/2022,81.8,,,,80.7,2908,,,
SI,10/5/2022,93.5,,,,92.6,2242,,,
SI,10/5/2022,93.4,,,,92.7,2286,,,
SL,10/5/2022,79,,77.4,38,78.1,2766,,,
SL,10/5/2022,80.3,,,,79.4,2751,,,
SL,10/5/2022,81,,,,79.8,2689,,,
SL,10/5/2022,80.8,,,,79.7,2731,,,
SI,10/5/2022,94,line_drive,84.5,14,93.5,2260,0.846,0.804,4
SI,10/5/2022,91.8,,,,91.2,2306,,,
SI,10/5/2022,92.1,,,,91.6,2249,,,
SL,10/5/2022,81,,,,79.8,2901,,,
SL,10/5/2022,79.7,,64,42,79.4,2653,,,
SI,10/5/2022,93.9,,,,93.4,2107,,,
SI,10/5/2022,91.3,,,,90.8,2226,,,
SL,10/5/2022,81.5,,,,80.9,2721,,,
SI,10/5/2022,93.1,,,,92.2,2155,,,
SI,10/5/2022,93.1,,,,93,2152,,,
SI,10/5/2022,92.2,,,,91.5,2228,,,
SI,10/5/2022,92.9,,,,92.1,2109,,,
SI,10/5/2022,93.1,,,,92.4,2312,,,
SI,10/5/2022,92,,,,91.7,2176,,,
SI,10/5/2022,98.3,ground_ball,108.7,-1,98.4,2289,0.477,0.429,4
SI,10/5/2022,93.6,fly_ball,89.5,55,92.8,2258,0.017,0.02,3
SI,10/5/2022,96.8,ground_ball,70.4,-7,96,1938,0.077,0.069,2
SI,10/5/2022,93.2,,,,92.1,2275,,,
SL,10/5/2022,87.3,,,,87.7,2545,,,
SI,10/5/2022,94.3,,76.2,62,93.9,2220,,,
SL,10/5/2022,88.3,,,,87.5,2657,,,
SL,10/5/2022,88.6,,,,88.4,2066,,,
SI,10/5/2022,93.1,,,,92.4,2271,,,
SI,10/5/2022,97.8,,86.6,62,97.9,2308,,,
FF,10/5/2022,96.3,,69.5,83,95.5,2308,,,
SL,10/5/2022,80.7,,,,79.7,2758,,,
SI,10/5/2022,97.5,,,,97.3,2281,,,
SL,10/5/2022,88.2,,,,87.8,2275,,,
SI,10/5/2022,92.6,,,,91.6,2232,,,
SI,10/5/2022,97.2,,87.1,42,97.5,2208,,,
SI,10/5/2022,97.6,,,,96.7,2028,,,
SI,10/5/2022,92.7,,,,91.2,2281,,,
SL,10/5/2022,86.6,fly_ball,92.3,40,87.2,2646,0.014,0.013,3
SI,10/5/2022,96.7,,78.9,44,96.3,2017,,,
SI,10/5/2022,92.4,,,,91.3,2088,,,
FF,10/5/2022,98.1,fly_ball,98,53,97,2232,0.009,0.011,3
SI,10/5/2022,97.8,,80.3,7,97.1,2394,,,
FC,10/5/2022,91.5,,,,92.1,2231,,,
SL,10/5/2022,85.8,,,,86.2,2800,,,
FF,10/5/2022,97.5,,,,96.6,2306,,,
FF,10/5/2022,94.5,,,,94.4,2153,,,
SI,10/5/2022,92.1,,,,90.8,2233,,,
