pitch_type,game_date,release_speed,player_name,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,91.4,"Mateo, Jorge",,,,90.8,2281,,,
FF,10/5/2022,92,"Mateo, Jorge",,,,91.8,2259,,,
FF,10/5/2022,89.7,"Mateo, Jorge",,,,89.2,2178,,,
SL,10/5/2022,83.5,"Mateo, Jorge",,,,82.5,2394,,,
FF,10/5/2022,89.6,"Mateo, Jorge",,,,89.1,2143,,,
FF,10/5/2022,90.7,"McKenna, Ryan",ground_ball,98.5,4,90.5,2102,0.557,0.532,4
SL,10/5/2022,83.5,"McKenna, Ryan",,,,82.6,2261,,,
FF,10/5/2022,91.3,"McKenna, Ryan",,,,91.2,2093,,,
FF,10/5/2022,90.9,"McKenna, Ryan",,,,91,2134,,,
SL,10/5/2022,83.7,"McKenna, Ryan",,,,83.4,2261,,,
FF,10/5/2022,91.2,"Vavra, Terrin",fly_ball,102.4,27,91.1,2277,0.7,1.3,6
FF,10/5/2022,90.6,"Hays, Austin",,,,91,2140,,,
FF,10/5/2022,91.3,"Hays, Austin",,,,91.6,2014,,,
SL,10/5/2022,83.8,"Hays, Austin",,70.4,60,83.4,2308,,,
SL,10/5/2022,84.3,"Hays, Austin",,,,83.6,2431,,,
FF,10/5/2022,91.1,"Hays, Austin",,,,90.5,2253,,,
FF,10/5/2022,91,"Hays, Austin",,,,90.4,2303,,,
CU,10/5/2022,77.5,"Henderson, Gunnar",line_drive,101.4,17,76.7,2477,0.423,0.432,4
FF,10/5/2022,91.3,"Henderson, Gunnar",,,,90.8,2220,,,
FF,10/5/2022,91.7,"Santander, Anthony",,,,91.1,2177,,,
FF,10/5/2022,90.8,"Santander, Anthony",,,,90.5,2190,,,
CH,10/5/2022,85.2,"Santander, Anthony",,,,85.2,1411,,,
FF,10/5/2022,89.4,"Santander, Anthony",,,,88.2,2199,,,
FF,10/5/2022,91.3,"Santander, Anthony",,,,91.6,2239,,,
FF,10/5/2022,92.6,"Santander, Anthony",,,,92.7,2222,,,
SI,10/5/2022,92.1,"Mountcastle, Ryan",line_drive,77.8,14,92.1,2133,0.603,0.543,4
CH,10/5/2022,86.4,"Rutschman, Adley",fly_ball,92.7,35,87.4,1375,0.057,0.085,3
FF,10/5/2022,93,"Rutschman, Adley",,87.7,-13,93,2164,,,
SL,10/5/2022,80.4,"Henderson, Gunnar",,,,80,2424,,,
CU,10/5/2022,78.3,"Henderson, Gunnar",,,,77.8,2492,,,
FF,10/5/2022,93.2,"Rutschman, Adley",,,,93.3,2212,,,
CU,10/5/2022,78.6,"Henderson, Gunnar",,,,78.6,2553,,,
FF,10/5/2022,92.8,"Rutschman, Adley",,75.5,-11,93.2,2146,,,
FF,10/5/2022,90.3,"Henderson, Gunnar",,75.8,9,89.2,2253,,,
CH,10/5/2022,86.7,"Rutschman, Adley",,,,87.1,1456,,,
CU,10/5/2022,79.4,"Henderson, Gunnar",,,,78.5,2466,,,
CH,10/5/2022,84.9,"Rutschman, Adley",,,,85.3,1339,,,
CU,10/5/2022,80.4,"Henderson, Gunnar",,,,79.5,2414,,,
FF,10/5/2022,92.1,"Rutschman, Adley",,,,92.3,2183,,,
CU,10/5/2022,81.1,"Rutschman, Adley",,,,80.9,2424,,,
CU,10/5/2022,79.6,"Stowers, Kyle",line_drive,110.1,21,79.4,2591,0.911,1.614,6
CU,10/5/2022,79.5,"Stowers, Kyle",,,,79.1,2660,,,
SL,10/5/2022,86.6,"Mullins, Cedric",popup,81.6,77,87.1,1284,0.017,0.022,3
CU,10/5/2022,79.8,"Mullins, Cedric",,84.6,-19,79.3,2503,,,
CH,10/5/2022,83.3,"Stowers, Kyle",,,,82.7,1798,,,
FF,10/5/2022,91.9,"Mullins, Cedric",,,,92.1,2236,,,
SI,10/5/2022,90.2,"Stowers, Kyle",,,,89.6,2131,,,
FF,10/5/2022,90.5,"Stowers, Kyle",,82.8,52,89.8,2184,,,
SL,10/5/2022,84.7,"Mateo, Jorge",line_drive,102.1,17,84.8,2224,0.489,0.57,5
SL,10/5/2022,80.2,"Aguilar, Jesús",line_drive,96.9,21,79.9,2556,0.254,0.311,4
FF,10/5/2022,91.5,"Mateo, Jorge",,,,92,2058,,,
SL,10/5/2022,79.6,"Aguilar, Jesús",,,,79.2,2502,,,
SI,10/5/2022,92,"Mateo, Jorge",,,,92.2,2075,,,
SL,10/5/2022,82.5,"McKenna, Ryan",,,,82.2,2371,,,
SL,10/5/2022,80.3,"Aguilar, Jesús",,,,79.8,2528,,,
CH,10/5/2022,82.1,"Santander, Anthony",fly_ball,103.2,32,81.9,1728,0.609,1.208,6
CH,10/5/2022,84.6,"McKenna, Ryan",,,,84.8,1386,,,
FF,10/5/2022,90.4,"Santander, Anthony",,,,89.8,2150,,,
SL,10/5/2022,84,"McKenna, Ryan",,68.2,11,83.5,2329,,,
FF,10/5/2022,89.2,"McKenna, Ryan",,71.2,51,89.6,2151,,,
CH,10/5/2022,83.3,"Santander, Anthony",,87.4,22,83.1,1742,,,
CH,10/5/2022,83.2,"Santander, Anthony",,,,82.9,1672,,,
CH,10/5/2022,85.9,"Vavra, Terrin",fly_ball,94,36,86.3,1433,0.083,0.139,3
FF,10/5/2022,94.1,"Mateo, Jorge",ground_ball,91.4,-15,93.3,2485,0.16,0.168,2
FF,10/5/2022,94.3,"Mateo, Jorge",,87.5,52,93.9,2574,,,
FF,10/5/2022,90.3,"Santander, Anthony",,,,89.5,2198,,,
FF,10/5/2022,91,"Vavra, Terrin",,68.7,-34,91.2,2104,,,
FF,10/5/2022,91.4,"Vavra, Terrin",,,,91.5,2056,,,
CH,10/5/2022,83.2,"Santander, Anthony",,,,82.6,1674,,,
FF,10/5/2022,93.9,"Mateo, Jorge",,73.1,56,94.1,2504,,,
SL,10/5/2022,80.8,"Mateo, Jorge",,,,80.1,2965,,,
CU,10/5/2022,75.8,"Hays, Austin",line_drive,102,9,75.6,2472,0.737,0.684,4
FF,10/5/2022,92.4,"Henderson, Gunnar",ground_ball,92.8,-14,93,2069,0.163,0.15,2
SL,10/5/2022,81.5,"Hays, Austin",,,,80.5,2955,,,
SL,10/5/2022,84.3,"Henderson, Gunnar",,,,85,2522,,,
CU,10/5/2022,80.6,"Hays, Austin",,,,79.8,2884,,,
SL,10/5/2022,84,"Henderson, Gunnar",,,,84,2413,,,
SL,10/5/2022,82.2,"Hays, Austin",,,,81.5,2817,,,
FF,10/5/2022,93.1,"Hays, Austin",,,,92.3,2412,,,
CH,10/5/2022,86,"Henderson, Gunnar",,,,86,1553,,,
CH,10/5/2022,86.1,"Henderson, Gunnar",,,,86.8,1435,,,
FF,10/5/2022,93.7,"Odor, Rougned",,,,92.9,2487,,,
FF,10/5/2022,93.6,"Odor, Rougned",,,,92.5,2475,,,
CU,10/5/2022,77.4,"Henderson, Gunnar",,63.2,39,76.9,2123,,,
FF,10/5/2022,93.3,"Odor, Rougned",,,,92.6,2495,,,
FF,10/5/2022,91.6,"Santander, Anthony",ground_ball,46.8,27,91.6,2146,0.257,0.231,1
CH,10/5/2022,86.5,"Santander, Anthony",,,,87.1,1627,,,
CU,10/5/2022,80.5,"Odor, Rougned",,,,79.9,2888,,,
SL,10/5/2022,84.4,"Vavra, Terrin",fly_ball,91.5,31,85.3,2472,0.057,0.072,3
FF,10/5/2022,93.1,"Henderson, Gunnar",ground_ball,107.6,-5,93,2472,0.429,0.405,2
FF,10/5/2022,93.2,"Santander, Anthony",,,,93,2224,,,
FF,10/5/2022,96.2,"Vavra, Terrin",,,,96.9,2259,,,
SL,10/5/2022,84.8,"Vavra, Terrin",,76.1,44,84.9,2532,,,
FF,10/5/2022,94.3,"Stowers, Kyle",ground_ball,93.5,-7,93.9,2572,0.217,0.198,2
CH,10/5/2022,86.6,"Santander, Anthony",,,,86.7,1257,,,
FF,10/5/2022,96,"Vavra, Terrin",,71.9,-4,96.3,2402,,,
FF,10/5/2022,94,"Aguilar, Jesús",ground_ball,85.3,-27,93.8,2518,0.043,0.039,2
FF,10/5/2022,92.1,"Santander, Anthony",,,,92.2,2158,,,
SL,10/5/2022,83.3,"Mountcastle, Ryan",ground_ball,94.3,8,82.8,2227,0.537,0.483,4
CU,10/5/2022,80.5,"Aguilar, Jesús",,,,80,2857,,,
SL,10/5/2022,86.1,"Vavra, Terrin",,,,86.3,2356,,,
SI,10/5/2022,92.6,"Mountcastle, Ryan",,75.9,-26,93,1999,,,
SL,10/5/2022,84.9,"Chirinos, Robinson",line_drive,103.3,10,85.4,2522,0.837,0.822,4
SI,10/5/2022,92.3,"Aguilar, Jesús",,,,92,2307,,,
SL,10/5/2022,83.5,"Chirinos, Robinson",,,,84,2471,,,
CU,10/5/2022,78.9,"Aguilar, Jesús",,,,78.2,2898,,,
FF,10/5/2022,92.5,"Rutschman, Adley",,,,92.4,2113,,,
FF,10/5/2022,95.2,"Chirinos, Robinson",,,,95.3,2420,,,
FF,10/5/2022,92.4,"Rutschman, Adley",,,,92.6,2193,,,
SL,10/5/2022,81.8,"Aguilar, Jesús",,65,49,80.4,3015,,,
SL,10/5/2022,85.7,"Chirinos, Robinson",,,,86.1,2535,,,
SL,10/5/2022,81.4,"Aguilar, Jesús",,64.1,30,80.3,3071,,,
FF,10/5/2022,91.6,"Rutschman, Adley",,84.9,23,91.7,2170,,,
CH,10/5/2022,85.6,"Rutschman, Adley",,,,85.9,1420,,,
CH,10/5/2022,87.1,"Mateo, Jorge",,,,88,1591,,,
SL,10/5/2022,82.9,"Aguilar, Jesús",,,,82.3,2954,,,
CH,10/5/2022,84.9,"Mateo, Jorge",,,,85.4,1490,,,
SL,10/5/2022,81.9,"Aguilar, Jesús",,87.3,36,81,2969,,,
CU,10/5/2022,78.4,"Rutschman, Adley",,,,78.1,2380,,,
SL,10/5/2022,82.6,"Aguilar, Jesús",,,,82,2866,,,
FF,10/5/2022,90.2,"Rutschman, Adley",,,,90.9,2120,,,
FF,10/5/2022,94.3,"Mateo, Jorge",,,,94.8,2377,,,
FF,10/5/2022,94.6,"Santander, Anthony",fly_ball,93.8,31,94.3,2461,0.123,0.21,3
SL,10/5/2022,84.6,"Nevin, Tyler",fly_ball,94.2,37,85,2406,0.083,0.134,3
CU,10/5/2022,79.6,"Santander, Anthony",,,,79.5,2998,,,
FF,10/5/2022,96.1,"Nevin, Tyler",,,,96.3,2399,,,
SL,10/5/2022,84.7,"Odor, Rougned",,,,85.2,2490,,,
FF,10/5/2022,95,"Santander, Anthony",,,,95.2,2503,,,
FF,10/5/2022,94.2,"Santander, Anthony",,,,94.3,2444,,,
SL,10/5/2022,85.9,"Odor, Rougned",,,,86.2,2462,,,
SL,10/5/2022,87.3,"Odor, Rougned",,,,88.5,2274,,,
FF,10/5/2022,95.1,"Santander, Anthony",,70.5,44,94.8,2476,,,
FF,10/5/2022,94.2,"Odor, Rougned",,,,94.6,2240,,,
FF,10/5/2022,94.7,"Santander, Anthony",,,,94.5,2417,,,
CU,10/3/2022,81.7,"Vavra, Terrin",fly_ball,98.3,38,80.7,2349,0.143,0.273,3
CU,10/3/2022,81.8,"Vavra, Terrin",,,,80.9,2284,,,
CU,10/3/2022,81,"Vavra, Terrin",,,,79.9,2246,,,
SI,10/3/2022,91.5,"Henderson, Gunnar",ground_ball,109.3,-4,90.8,2070,0.431,0.393,4
CU,10/3/2022,83.4,"Mountcastle, Ryan",fly_ball,90.1,58,83.1,2298,0.009,0.009,3
CU,10/3/2022,82.3,"Mountcastle, Ryan",,,,81.9,2294,,,
CU,10/3/2022,81.7,"Mountcastle, Ryan",,,,81.5,2159,,,
CU,10/3/2022,82.5,"Mountcastle, Ryan",,,,82,2145,,,
SI,10/3/2022,91.4,"Mountcastle, Ryan",,,,91.3,1937,,,
SL,10/3/2022,84.3,"Mateo, Jorge",line_drive,102.1,19,84.1,2158,0.451,0.575,5
SI,10/3/2022,92.7,"Mateo, Jorge",,,,92.2,1958,,,
SI,10/3/2022,92.6,"Mateo, Jorge",,,,92.3,1976,,,
SI,10/3/2022,92.7,"Stowers, Kyle",ground_ball,98.5,-10,92.4,2051,0.251,0.238,2
SL,10/3/2022,85.2,"Stowers, Kyle",,,,84.5,2112,,,
SI,10/3/2022,93.5,"Stowers, Kyle",,61.2,31,92.7,1909,,,
SI,10/3/2022,93,"Stowers, Kyle",,,,92.4,1950,,,
SL,10/3/2022,83.9,"Stowers, Kyle",,90.2,47,83.9,2105,,,
