pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,10/5/2022,74.8,"Díaz, Aledmys",ground_ball,7,90.4,-23,74.7,2295,0.097,0.089,2
FF,10/5/2022,88.7,"McCormick, Chas",line_drive,181,84.3,17,88.6,2262,0.951,0.928,4
FF,10/5/2022,89.2,"Vázquez, Christian",fly_ball,404,103.3,25,89.1,2332,0.729,1.276,6
CH,10/5/2022,80.9,"Dubón, Mauricio",ground_ball,9,93.8,-8,80.5,1660,0.223,0.212,2
SL,10/5/2022,90.1,"Mancini, Trey",ground_ball,29,77.7,-1,89.8,2115,0.137,0.123,2
FF,10/5/2022,97.7,"Hensley, David",fly_ball,339,98.8,32,96.9,1993,0.366,0.708,5
SI,10/4/2022,98.7,"Mancini, Trey",ground_ball,2,93.9,-41,97.9,2433,0.08,0.072,2
FC,10/4/2022,95,"Meyers, Jake",line_drive,198,74.5,20,95.4,2500,0.949,0.892,4
FC,10/4/2022,92.1,"Dubón, Mauricio",ground_ball,26,98.1,-7,92.9,2544,0.26,0.24,2
SI,10/4/2022,100.3,"Bregman, Alex",line_drive,273,80.9,23,99.5,2437,0.543,0.508,4
SL,10/4/2022,91,"Alvarez, Yordan",fly_ball,372,104.4,33,90.4,2491,0.671,1.369,6
SL,10/4/2022,81,"Vázquez, Christian",ground_ball,3,58.4,-31,80.7,2750,0.057,0.051,1
SI,10/3/2022,92.5,"Hensley, David",line_drive,155,91.8,8,92.9,2336,0.571,0.538,4
FF,10/3/2022,93.8,"Alvarez, Yordan",line_drive,236,105.4,14,93.9,2446,0.714,0.752,5
FF,10/3/2022,93.3,"Dubón, Mauricio",popup,158,63.2,55,93.8,2226,0.046,0.041,3
SI,10/3/2022,93.2,"Dubón, Mauricio",fly_ball,248,72.3,33,93.5,2083,0.571,0.559,3
SI,10/3/2022,98.8,"Gurriel, Yuli",ground_ball,7,91.8,-24,99.1,2059,0.086,0.077,2
SI,10/3/2022,94.2,"Díaz, Aledmys",line_drive,134,70.9,11,94.4,2046,0.294,0.265,2
SI,10/3/2022,93.6,"Vázquez, Christian",ground_ball,10,89.5,-15,93.5,2142,0.12,0.112,2
SL,10/2/2022,79.6,"Vázquez, Christian",fly_ball,307,82.9,33,79.8,2304,0.034,0.047,3
SL,10/2/2022,79.8,"Mancini, Trey",line_drive,232,104.6,11,79.9,2221,0.889,0.912,4
SI,10/2/2022,91.1,"Gurriel, Yuli",fly_ball,261,81.9,38,91.2,2174,0.02,0.024,3
FF,10/2/2022,91.5,"Tucker, Kyle",line_drive,310,104.1,17,91.4,2313,0.509,0.606,5
SL,10/2/2022,78.5,"Bregman, Alex",fly_ball,328,97.5,24,78.4,2016,0.3,0.392,5
FC,10/2/2022,88.7,"Alvarez, Yordan",fly_ball,248,78.7,46,89.4,2424,0.049,0.05,3
SI,10/2/2022,92.8,"Peña, Jeremy",ground_ball,72,94.4,3,92.8,2373,0.411,0.387,4
SL,10/2/2022,79.7,"Altuve, Jose",ground_ball,42,73.6,0,79.3,2302,0.103,0.093,2
SL,10/2/2022,79.3,"McCormick, Chas",ground_ball,70,72.8,7,79.1,2169,0.226,0.205,2
FC,10/2/2022,88.6,"Vázquez, Christian",fly_ball,274,84,28,88.9,2140,0.103,0.11,3
SI,10/1/2022,97.3,"Bregman, Alex",popup,93,60.6,68,96.7,2244,0,0,3
SL,10/1/2022,88,"Altuve, Jose",ground_ball,35,74.9,-1,87.8,2646,0.109,0.098,2
SI,10/1/2022,96.9,"Meyers, Jake",ground_ball,82,104.3,3,96.3,2273,0.517,0.471,4
SI,10/1/2022,96.4,"Díaz, Aledmys",ground_ball,69,47.9,12,95.7,2195,0.154,0.139,1
FC,9/30/2022,90.3,"Vázquez, Christian",fly_ball,325,91.6,31,90.7,2632,0.086,0.148,3
FC,9/30/2022,89.4,"Peña, Jeremy",ground_ball,4,87.4,-14,89.4,2609,0.117,0.106,2
SI,9/30/2022,94.1,"Gurriel, Yuli",ground_ball,6,80.8,-25,94.1,2241,0.037,0.033,2
CU,9/30/2022,82.9,"Peña, Jeremy",fly_ball,284,94.5,47,83.5,2387,0.003,0.004,3
FF,9/30/2022,93.4,"Gurriel, Yuli",line_drive,169,108.4,8,93.2,2241,0.729,0.711,4
FF,9/30/2022,93.8,"Mancini, Trey",popup,104,79.4,72,94.9,2160,0.006,0.005,3
CU,9/30/2022,82.4,"Alvarez, Yordan",line_drive,153,70.6,16,82.9,2439,0.591,0.532,4
SI,9/30/2022,99,"Altuve, Jose",line_drive,300,82.2,28,97.9,2111,0.143,0.159,3
SI,9/30/2022,98,"McCormick, Chas",fly_ball,336,97.3,25,97,2206,0.351,0.512,5
FF,9/28/2022,94.6,"McCormick, Chas",ground_ball,4,38.4,-34,94.4,2439,0.24,0.237,1
FC,9/28/2022,89,"Mancini, Trey",line_drive,157,79,14,89.4,2496,0.617,0.555,4
FF,9/28/2022,94.1,"Vázquez, Christian",ground_ball,3,99.3,-28,93.9,2478,0.109,0.099,2
FF,9/28/2022,96.9,"Altuve, Jose",line_drive,156,67.1,17,97.2,2384,0.543,0.489,4
FF,9/28/2022,96.4,"Maldonado, Martín",ground_ball,61,94.4,1,96.9,2259,0.386,0.361,2
FC,9/28/2022,89.2,"Díaz, Aledmys",ground_ball,7,100.5,-18,88.9,2148,0.16,0.144,2
FC,9/28/2022,89.5,"Peña, Jeremy",line_drive,337,108.7,16,89,2240,0.694,0.832,6
FF,9/28/2022,95.7,"Bregman, Alex",line_drive,353,97.4,22,95,2355,0.231,0.271,5
FC,9/28/2022,88.6,"Diaz, Yainer",ground_ball,4,103.8,-26,88.7,2040,0.123,0.111,2
SL,9/28/2022,80.7,"Tucker, Kyle",ground_ball,15,47,-4,80.5,2545,0.134,0.121,1
FF,9/27/2022,90.1,"Maldonado, Martín",fly_ball,284,83.2,43,88.4,2437,0.02,0.024,3
FF,9/27/2022,98,"Gurriel, Yuli",ground_ball,25,109.6,-4,97,2225,0.437,0.399,4
FF,9/27/2022,97.1,"Tucker, Kyle",line_drive,221,107.7,11,97.8,2238,0.903,0.929,5
CH,9/27/2022,81,"McCormick, Chas",line_drive,305,98.7,19,79.4,1886,0.366,0.44,4
FF,9/27/2022,98.1,"Bregman, Alex",popup,39,82,84,98,2396,0.014,0.015,3
CH,9/27/2022,79.6,"Mancini, Trey",popup,29,78.8,79,78,1911,0.014,0.016,3
FF,9/27/2022,96.9,"Hensley, David",fly_ball,328,99.8,35,96,2187,0.331,0.647,5
SL,9/27/2022,84.5,"Peña, Jeremy",fly_ball,348,100.3,38,83.6,1719,0.211,0.427,5
FC,9/25/2022,86.3,"Díaz, Aledmys",fly_ball,257,84,44,87.3,2376,0.009,0.008,3
FF,9/25/2022,96,"Altuve, Jose",line_drive,335,95.8,22,96.6,2250,0.209,0.252,3
SL,9/25/2022,87.7,"Alvarez, Yordan",fly_ball,290,88.8,46,86.6,2244,0.011,0.017,3
FC,9/25/2022,87.9,"Dubón, Mauricio",fly_ball,280,81.1,33,88.9,2353,0.034,0.031,3
SL,9/25/2022,78.2,"Mancini, Trey",fly_ball,382,100.4,33,78.1,2345,0.406,0.802,6
CH,9/25/2022,85,"McCormick, Chas",ground_ball,4,80.6,-23,85.3,1476,0.04,0.036,2
FF,9/25/2022,95.1,"Díaz, Aledmys",line_drive,164,107.3,7,94.4,2240,0.637,0.604,4
SL,9/25/2022,78.9,"McCormick, Chas",fly_ball,235,90.3,52,79.1,2349,0.02,0.025,3
SI,9/25/2022,96.5,"Tucker, Kyle",ground_ball,12,101.2,-14,96.1,2250,0.231,0.222,2
FF,9/25/2022,96.3,"Vázquez, Christian",line_drive,174,99,6,96.1,2205,0.62,0.579,4
SI,9/25/2022,90,"Vázquez, Christian",fly_ball,318,93.8,21,90.8,1824,0.226,0.263,3
FF,9/25/2022,95.8,"Bregman, Alex",ground_ball,74,67,7,95,2234,0.177,0.159,2
SL,9/25/2022,82.3,"Alvarez, Yordan",fly_ball,368,103.5,34,81.5,2589,0.629,1.274,6
SI,9/25/2022,93.1,"Gurriel, Yuli",ground_ball,35,100.2,-2,93.7,1990,0.351,0.326,2
FF,9/25/2022,93.6,"Gurriel, Yuli",line_drive,364,103.8,17,93.8,2272,0.509,0.606,5
FS,9/24/2022,87.3,"Tucker, Kyle",line_drive,297,94.1,22,87.3,709,0.194,0.228,3
FF,9/24/2022,100.9,"Bregman, Alex",ground_ball,3,72.4,-30,100.9,2395,0.049,0.044,2
FS,9/24/2022,89.2,"Alvarez, Yordan",line_drive,255,98.7,14,89.2,1058,0.829,0.818,4
SL,9/24/2022,77,"Bregman, Alex",fly_ball,228,87.7,55,76.5,2426,0.009,0.008,3
FF,9/24/2022,99.7,"Díaz, Aledmys",fly_ball,282,91.7,48,99.4,2413,0,0,3
SL,9/24/2022,88.9,"Vázquez, Christian",line_drive,220,75.5,22,89.5,2490,0.92,0.884,4
SI,9/24/2022,93.4,"Díaz, Aledmys",line_drive,126,101.6,5,93.1,1859,0.603,0.562,4
SI,9/24/2022,95.8,"Altuve, Jose",ground_ball,3,53.9,-45,95.6,2038,0.157,0.141,1
FS,9/24/2022,88.2,"Gurriel, Yuli",fly_ball,314,88.1,33,88.2,894,0.02,0.018,3
SL,9/24/2022,83,"McCormick, Chas",fly_ball,288,83.5,32,81.8,2461,0.034,0.038,3
SI,9/24/2022,91.9,"Gurriel, Yuli",ground_ball,15,84.7,-9,90.3,2202,0.12,0.108,2
SI,9/23/2022,92.9,"Bregman, Alex",ground_ball,8,65.3,-12,92.9,2192,0.06,0.054,2
CH,9/23/2022,83.9,"Altuve, Jose",line_drive,208,69.5,23,84.2,1535,0.934,0.88,4
FC,9/23/2022,89.3,"Maldonado, Martín",ground_ball,6,85.1,-19,89.5,2507,0.103,0.11,2
CH,9/23/2022,82.3,"McCormick, Chas",ground_ball,2,66.8,-30,82.3,1634,0.046,0.041,2
CH,9/23/2022,82.5,"Mancini, Trey",ground_ball,9,77.6,-16,82.4,1785,0.057,0.051,2
CU,9/23/2022,77.7,"Díaz, Aledmys",fly_ball,287,81.8,35,76.9,2729,0.029,0.038,3
