pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,10/5/2022,81.6,"Smith, Will",fly_ball,215,92.9,57,81.5,2506,0.006,0.005,3
SL,10/5/2022,81.1,"Freeman, Freddie",ground_ball,128,99.4,7,80.4,2453,0.629,0.577,4
SI,10/5/2022,94.7,"Turner, Trea",ground_ball,95,109.7,4,94.9,2409,0.634,0.592,4
FC,10/5/2022,86,"Gallo, Joey",ground_ball,61,98.7,2,84.9,2399,0.426,0.384,4
FC,10/5/2022,84.8,"Lux, Gavin",ground_ball,11,89.4,-14,83.4,2410,0.117,0.105,2
CH,10/5/2022,80,"Alberto, Hanser",fly_ball,228,66.9,36,78.2,2065,0.723,0.721,4
SL,10/5/2022,81.6,"Bellinger, Cody",fly_ball,374,97.9,36,80.7,2368,0.211,0.426,5
FF,10/4/2022,95.9,"Freeman, Freddie",fly_ball,302,88,38,95.2,2669,0.011,0.014,3
SL,10/4/2022,87.6,"Alberto, Hanser",line_drive,196,100.7,11,86.3,2404,0.886,0.865,4
SI,10/4/2022,96.2,"Lux, Gavin",ground_ball,3,61.6,-33,95.3,2495,0.054,0.049,2
SI,10/4/2022,97.4,"Vargas, Miguel",fly_ball,353,98.9,40,96.6,2552,0.114,0.216,3
SI,10/4/2022,95.7,"Turner, Justin",fly_ball,331,90.4,40,94.6,2500,0.011,0.013,3
FF,10/4/2022,95.2,"Lux, Gavin",fly_ball,318,93.3,30,94.9,2628,0.109,0.176,3
SI,10/3/2022,95.6,"Gallo, Joey",ground_ball,12,105.9,-10,95.3,1915,0.32,0.304,2
SI,10/3/2022,95.1,"Muncy, Max",line_drive,334,106.7,16,94.8,2285,0.637,0.76,5
SI,10/3/2022,95.1,"Bellinger, Cody",ground_ball,21,95.8,-5,94,2084,0.277,0.265,2
SL,10/3/2022,83.2,"Smith, Will",fly_ball,290,98.5,46,82.8,2726,0.009,0.008,3
SI,10/3/2022,92.5,"Freeman, Freddie",fly_ball,349,101.5,25,92,2336,0.56,0.884,6
SI,10/3/2022,95.5,"Lux, Gavin",ground_ball,4,107,-23,94.1,1836,0.166,0.149,2
SI,10/3/2022,93.1,"Turner, Trea",ground_ball,26,106.2,-3,92.3,2254,0.403,0.363,4
SI,10/3/2022,94.9,"Muncy, Max",fly_ball,280,93.3,49,94.3,1883,0.003,0.003,3
SI,10/2/2022,96.9,"Turner, Justin",ground_ball,44,100,0,96.6,2535,0.429,0.413,4
SI,10/2/2022,95.8,"Gallo, Joey",ground_ball,2,39.3,-46,95.2,2306,0.24,0.231,1
SI,10/2/2022,93.2,"Turner, Justin",ground_ball,12,98.8,-13,93,2232,0.22,0.202,2
SL,10/2/2022,93.8,"Bellinger, Cody",ground_ball,3,71.5,-33,93.7,2748,0.089,0.104,2
SL,10/2/2022,85.8,"Thompson, Trayce",ground_ball,12,84,-8,85.4,2722,0.114,0.103,2
SI,10/1/2022,93.6,"Bellinger, Cody",line_drive,248,75,26,94.6,2361,0.711,0.683,4
SL,10/1/2022,82.5,"Barnes, Austin",popup,123,75.4,68,83.8,2194,0.003,0.003,3
FF,10/1/2022,93.1,"Gallo, Joey",fly_ball,349,89,33,94.8,2573,0.023,0.021,3
SI,10/1/2022,95.5,"Bellinger, Cody",line_drive,282,80.1,25,95.1,2316,0.406,0.388,3
FF,10/1/2022,92.7,"Freeman, Freddie",fly_ball,272,81.1,30,94.3,2613,0.077,0.069,3
FF,10/1/2022,90.3,"Turner, Trea",line_drive,258,86.5,19,91.5,2552,0.703,0.68,4
SI,10/1/2022,95.6,"Betts, Mookie",ground_ball,25,95.4,-5,96.8,2523,0.291,0.303,2
SI,10/1/2022,91.4,"Lux, Gavin",fly_ball,271,83.8,42,89.1,2182,0.026,0.037,3
CU,9/30/2022,80.7,"Alberto, Hanser",fly_ball,341,100,23,79.1,2408,0.46,0.673,5
SI,9/30/2022,91.3,"Smith, Will",line_drive,183,95.3,10,89.2,2174,0.7,0.646,4
CU,9/30/2022,79.7,"Gallo, Joey",fly_ball,305,85.6,39,78.1,2406,0.011,0.012,3
SI,9/30/2022,91.9,"Bellinger, Cody",ground_ball,66,87.5,4,89.8,2216,0.36,0.324,2
SI,9/30/2022,91.1,"Taylor, Chris",fly_ball,270,82.9,45,89.2,2155,0.009,0.008,3
SI,9/30/2022,91.3,"Lux, Gavin",ground_ball,22,89.3,-5,89.1,2290,0.174,0.168,2
FF,9/29/2022,96.7,"Taylor, Chris",ground_ball,28,44.4,1,97.3,2450,0.166,0.16,1
SI,9/29/2022,90.8,"Betts, Mookie",ground_ball,5,68.9,-22,92,2219,0.04,0.036,2
CH,9/29/2022,84.3,"Smith, Will",fly_ball,360,99.2,27,84.5,855,0.483,0.806,6
CU,9/29/2022,80.2,"Freeman, Freddie",fly_ball,292,92.4,44,80.2,2500,0.003,0.003,3
SI,9/29/2022,91.6,"Bellinger, Cody",ground_ball,15,70.8,-7,92.4,2222,0.069,0.062,2
FF,9/29/2022,97.8,"Turner, Trea",line_drive,371,105,21,98,2537,0.729,1.102,6
FF,9/29/2022,97.9,"Betts, Mookie",line_drive,301,93.8,17,97.9,2549,0.583,0.575,4
FF,9/29/2022,96.5,"Bellinger, Cody",fly_ball,292,80.5,31,96.7,2533,0.089,0.088,3
SL,9/28/2022,84.7,"Muncy, Max",fly_ball,289,101,54,84.9,2714,0.011,0.013,3
FF,9/28/2022,93.4,"Lux, Gavin",ground_ball,20,97.6,-8,91.7,2217,0.271,0.263,2
SI,9/28/2022,98.7,"Betts, Mookie",line_drive,294,94.5,21,99.3,2038,0.226,0.263,3
SL,9/28/2022,80.8,"Freeman, Freddie",fly_ball,361,96.9,35,80.5,2455,0.18,0.355,3
SL,9/28/2022,84.4,"Freeman, Freddie",fly_ball,189,61.7,30,85.1,3059,0.694,0.625,4
SI,9/28/2022,97.2,"Turner, Trea",fly_ball,309,86.6,31,97.4,2197,0.043,0.053,3
CH,9/28/2022,80.3,"Smith, Will",popup,45,67.4,85,79.8,1867,0.006,0.005,3
SL,9/28/2022,79.7,"Betts, Mookie",popup,91,74.7,76,79.7,2274,0.003,0.003,3
FF,9/27/2022,101.4,"Turner, Justin",ground_ball,14,91.3,-11,102.2,1988,0.154,0.149,2
FF,9/27/2022,101.1,"Smith, Will",fly_ball,245,80.7,47,101.8,2331,0.023,0.022,3
SI,9/27/2022,99.3,"Betts, Mookie",fly_ball,353,93.2,32,99.7,2130,0.091,0.162,3
SI,9/27/2022,95.1,"Taylor, Chris",fly_ball,263,98.3,56,96.1,1876,0.017,0.025,3
SI,9/27/2022,98.3,"Barnes, Austin",line_drive,212,73.8,20,98.9,2255,0.937,0.884,4
SI,9/27/2022,98.2,"Turner, Trea",ground_ball,30,101.4,-3,98.9,2157,0.303,0.273,2
SI,9/27/2022,98.2,"Turner, Justin",fly_ball,250,95.4,54,99.1,1962,0.006,0.005,3
SI,9/27/2022,98.3,"Smith, Will",ground_ball,55,107.6,0,99.4,2106,0.494,0.457,4
SI,9/27/2022,96.9,"Taylor, Chris",popup,171,90.4,62,97,2172,0.003,0.003,3
CU,9/27/2022,83.9,"Barnes, Austin",popup,101,73.7,69,82.8,2795,0.003,0.003,3
CU,9/27/2022,82.7,"Bellinger, Cody",ground_ball,16,96.3,-8,82.4,2755,0.234,0.224,2
SI,9/27/2022,97.7,"Turner, Trea",line_drive,293,110.8,12,98.4,2002,0.857,0.91,5
SI,9/25/2022,90.8,"Turner, Justin",line_drive,229,96.2,14,92.1,1980,0.923,0.931,4
SL,9/25/2022,81.7,"Smith, Will",fly_ball,378,101.9,41,81.8,2617,0.203,0.404,5
FF,9/25/2022,92.5,"Freeman, Freddie",line_drive,182,97.8,14,93.4,2240,0.869,0.854,4
CU,9/25/2022,74.4,"Gallo, Joey",line_drive,329,91.5,25,74.4,2806,0.151,0.19,3
FF,9/25/2022,94,"Muncy, Max",line_drive,293,82.9,27,94.5,2264,0.134,0.13,3
