pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,10/5/2022,97.1,"Gore, Terrance",ground_ball,7,86.4,-18,97.2,2181,0.1,0.096,2
SI,10/5/2022,96.3,"McCann, James",ground_ball,127,107.4,7,95.6,1916,0.637,0.604,4
SI,10/5/2022,96.7,"Vientos, Mark",ground_ball,15,106.9,-7,96.7,1879,0.4,0.389,2
FF,10/5/2022,98.4,"Lindor, Francisco",ground_ball,18,100.7,-8,97.6,2097,0.257,0.231,2
CH,10/4/2022,87.4,"Nimmo, Brandon",ground_ball,8,81.8,-12,87.5,1441,0.126,0.127,2
SI,10/4/2022,97,"McCann, James",ground_ball,9,107.1,-10,96.4,2105,0.311,0.283,2
SI,10/4/2022,93.3,"Nido, Tomás",fly_ball,390,103.2,33,92.6,2056,0.597,1.203,6
FF,10/4/2022,94.2,"Naquin, Tyler",line_drive,334,100.3,17,94,2074,0.451,0.482,4
SI,10/4/2022,97.1,"Canha, Mark",line_drive,192,101.4,9,97.1,2196,0.726,0.678,4
SI,10/4/2022,94.1,"Canha, Mark",ground_ball,1,67.5,-59,94.7,2050,0.26,0.237,2
SI,10/4/2022,96.2,"Gore, Terrance",fly_ball,292,84.4,36,96.1,2349,0.011,0.01,3
SI,10/4/2022,92.7,"Naquin, Tyler",ground_ball,12,74,-10,91.9,2206,0.069,0.062,2
SI,10/4/2022,94.4,"Vogelbach, Daniel",line_drive,197,73.3,21,94.3,2056,0.949,0.901,4
SI,10/4/2022,93.5,"McNeil, Jeff",line_drive,321,91.4,22,93.7,2392,0.237,0.264,3
FC,10/4/2022,90.4,"Vientos, Mark",line_drive,327,94,24,90.1,2447,0.163,0.196,3
FC,10/4/2022,89.1,"Álvarez, Francisco",line_drive,354,107.8,17,89,2470,0.669,0.836,6
SL,10/4/2022,87.5,"Alonso, Pete",line_drive,192,99.4,10,88.3,1982,0.743,0.681,4
SI,10/4/2022,92.7,"McNeil, Jeff",fly_ball,363,93.2,29,92.9,2016,0.114,0.165,3
SI,10/2/2022,93.2,"Álvarez, Francisco",ground_ball,138,62,16,92.8,2363,0.349,0.314,2
CH,10/2/2022,88.5,"Escobar, Eduardo",fly_ball,272,80.9,36,88.1,1922,0.026,0.027,3
CH,10/2/2022,87.9,"Nido, Tomás",ground_ball,16,63.8,-3,87.8,1681,0.109,0.098,2
FF,10/2/2022,94,"Alonso, Pete",popup,222,73.2,47,93.8,2349,0.166,0.171,3
FC,10/2/2022,91.7,"McNeil, Jeff",line_drive,357,99.8,22,92.9,2693,0.374,0.482,5
CH,10/2/2022,88.2,"McNeil, Jeff",line_drive,143,81.7,8,88.2,1805,0.4,0.37,4
FC,10/2/2022,91.9,"Lindor, Francisco",ground_ball,5,71.7,-23,93.4,2642,0.029,0.026,2
SI,10/2/2022,93.7,"Nimmo, Brandon",ground_ball,22,105.5,-5,95.1,2159,0.369,0.334,2
FC,10/2/2022,91.2,"Canha, Mark",ground_ball,111,70.5,10,91.5,2544,0.249,0.224,2
FC,10/1/2022,89.3,"Lindor, Francisco",ground_ball,5,100.9,-21,89.7,2279,0.174,0.173,2
FC,10/1/2022,89.4,"Alonso, Pete",fly_ball,347,93,35,89.8,2305,0.057,0.085,3
FC,10/1/2022,90.7,"Nimmo, Brandon",ground_ball,139,84.2,8,90.9,2240,0.457,0.442,4
FC,10/1/2022,90.9,"Naquin, Tyler",ground_ball,10,73.6,-13,92,2535,0.051,0.046,2
CH,10/1/2022,88.9,"McNeil, Jeff",ground_ball,69,88.4,3,88.6,1865,0.323,0.291,2
FF,9/30/2022,96.3,"Alonso, Pete",popup,41,63.7,83,96.7,2352,0.006,0.006,3
SI,9/30/2022,97.3,"Álvarez, Francisco",fly_ball,375,100.2,33,97.3,2416,0.406,0.802,6
FF,9/30/2022,96,"Escobar, Eduardo",fly_ball,312,90.2,28,95.7,2396,0.094,0.116,3
FF,9/30/2022,96.1,"Nido, Tomás",fly_ball,406,102.6,27,96.1,2487,0.76,1.451,6
FC,9/30/2022,90.3,"McNeil, Jeff",line_drive,163,88.8,10,91.6,2426,0.591,0.534,4
FF,9/30/2022,95.2,"McNeil, Jeff",fly_ball,351,93.8,28,95.2,2243,0.137,0.188,3
FF,9/30/2022,96.5,"Vientos, Mark",ground_ball,11,98.5,-12,96.4,2495,0.214,0.199,2
CH,9/28/2022,88.1,"Escobar, Eduardo",fly_ball,403,105.6,29,86,1955,0.894,1.843,6
CH,9/28/2022,84.6,"McNeil, Jeff",line_drive,223,84.8,17,82.8,1916,0.934,0.908,4
FF,9/28/2022,96.2,"Nido, Tomás",ground_ball,124,52.7,27,94.3,2210,0.334,0.301,1
SL,9/28/2022,86.3,"Lindor, Francisco",fly_ball,271,94,44,85.9,2607,0.011,0.017,3
FF,9/28/2022,95.5,"Lindor, Francisco",popup,133,92.1,66,94.2,2364,0.017,0.021,3
FF,9/28/2022,97.2,"Guillorme, Luis",fly_ball,295,93.9,47,96.2,2245,0.003,0.004,3
SL,9/28/2022,84.6,"Nido, Tomás",fly_ball,413,103.6,27,84.8,2466,0.837,1.641,6
FC,9/28/2022,86.8,"Vientos, Mark",fly_ball,281,92,45,85.5,2403,0.003,0.003,3
FF,9/28/2022,93,"Escobar, Eduardo",ground_ball,111,72.2,9,92.4,2183,0.229,0.206,2
SL,9/28/2022,86.1,"Guillorme, Luis",ground_ball,4,82.8,-34,85.6,2444,0.063,0.06,2
SI,9/28/2022,90.1,"Escobar, Eduardo",ground_ball,10,105.2,-11,90.7,2063,0.263,0.237,2
FF,9/28/2022,93.6,"Canha, Mark",line_drive,275,86.2,23,92.8,2091,0.28,0.261,3
SI,9/28/2022,90.2,"McNeil, Jeff",popup,184,66.6,46,90.2,2026,0.289,0.297,3
FC,9/27/2022,89.6,"McCann, James",ground_ball,1,54.9,-57,88.9,2367,0.217,0.195,1
SI,9/27/2022,89.7,"Alonso, Pete",ground_ball,3,74.2,-27,90.2,2019,0.049,0.053,2
CH,9/27/2022,90,"Naquin, Tyler",fly_ball,280,91.3,44,88.6,1697,0.006,0.007,3
SL,9/27/2022,78.1,"McNeil, Jeff",ground_ball,41,81.7,1,78.6,2007,0.2,0.18,2
SI,9/27/2022,90.3,"Lindor, Francisco",line_drive,333,97.6,23,90.8,2003,0.337,0.453,5
SI,9/27/2022,96,"Escobar, Eduardo",ground_ball,9,70.9,-10,95.2,2295,0.071,0.067,2
FC,9/27/2022,89.1,"Canha, Mark",line_drive,190,71.9,19,88.3,2206,0.854,0.797,4
SI,9/27/2022,89.5,"Nimmo, Brandon",ground_ball,9,100.4,-14,89.8,2041,0.214,0.203,2
SI,9/25/2022,90.5,"Vientos, Mark",ground_ball,56,107.4,0,91,2261,0.483,0.447,4
FF,9/25/2022,88.6,"Gore, Terrance",popup,79,80.6,74,89.7,2129,0.011,0.014,3
SI,9/25/2022,90.1,"Guillorme, Luis",ground_ball,4,77.7,-36,90.8,2111,0.086,0.086,2
SI,9/25/2022,90.9,"Nido, Tomás",line_drive,388,102,21,91.6,2269,0.529,0.705,5
FC,9/25/2022,79.4,"Naquin, Tyler",line_drive,184,83.1,17,79.4,2218,0.94,0.906,4
SI,9/25/2022,90.4,"Ruf, Darin",ground_ball,6,89.7,-23,90.6,2249,0.097,0.089,2
SI,9/25/2022,90,"Escobar, Eduardo",ground_ball,6,83.2,-18,90.6,2190,0.086,0.086,2
