pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,10/5/2022,97.1,"Higashioka, Kyle",ground_ball,8,97.3,-20,97.5,2518,0.114,0.103,2
CH,10/5/2022,91.6,"Cabrera, Oswaldo",fly_ball,300,84.2,30,91.2,2122,0.063,0.075,3
FF,10/5/2022,93.4,"Trevino, Jose",fly_ball,243,72.8,40,93.1,2321,0.309,0.319,3
FF,10/5/2022,98.8,"Gonzalez, Marwin",ground_ball,64,104.6,1,98.9,2443,0.44,0.396,4
SI,10/5/2022,97.7,"Trevino, Jose",line_drive,296,84.4,22,97.8,2471,0.471,0.458,3
CH,10/5/2022,85.7,"Donaldson, Josh",ground_ball,5,84.6,-31,85.1,2057,0.046,0.041,2
FF,10/4/2022,96.8,"Peraza, Oswald",line_drive,158,71.5,15,97.3,2329,0.543,0.489,4
SL,10/4/2022,88.7,"Donaldson, Josh",line_drive,301,102.9,14,88.8,2158,0.766,0.813,4
CH,10/4/2022,89.3,"Bader, Harrison",ground_ball,106,105.9,6,89.6,2008,0.609,0.587,4
FF,10/4/2022,93.9,"Cabrera, Oswaldo",ground_ball,1,66.7,-66,94.7,2368,0.254,0.229,2
FF,10/4/2022,96.8,"Judge, Aaron",line_drive,209,84.2,15,97.8,2446,0.917,0.877,4
FF,10/4/2022,94.6,"Higashioka, Kyle",fly_ball,417,105.4,26,95.2,2422,0.911,1.818,6
CH,10/4/2022,83.1,"Hicks, Aaron",fly_ball,288,84.6,43,82.3,1818,0.014,0.018,3
SI,10/4/2022,99.5,"Judge, Aaron",ground_ball,9,99.2,-18,99.3,2304,0.126,0.113,2
FF,10/4/2022,93.2,"Gonzalez, Marwin",popup,109,85.8,72,93.7,2362,0.006,0.005,3
CH,10/4/2022,89.4,"Kiner-Falefa, Isiah",ground_ball,14,72,-7,89.5,2148,0.08,0.072,2
CH,10/4/2022,87.8,"Hicks, Aaron",ground_ball,21,61.8,-3,87.7,1725,0.129,0.129,2
FF,10/4/2022,94.6,"Peraza, Oswald",ground_ball,10,102.7,-14,95,2178,0.246,0.233,2
SL,10/4/2022,88.7,"Peraza, Oswald",ground_ball,56,73.7,3,87.7,2701,0.151,0.136,2
FF,10/4/2022,93.6,"Trevino, Jose",line_drive,308,100.9,16,93.5,2193,0.566,0.598,4
SI,10/4/2022,100.3,"Kiner-Falefa, Isiah",ground_ball,3,102.3,-34,100.1,2346,0.097,0.087,2
SL,10/3/2022,87.8,"Gonzalez, Marwin",popup,166,89.8,65,87.5,2255,0.009,0.009,3
SL,10/3/2022,86.1,"Donaldson, Josh",ground_ball,3,59.3,-36,86.4,2589,0.077,0.069,1
SI,10/3/2022,98.9,"Cabrera, Oswaldo",line_drive,360,102.8,18,98.9,2262,0.449,0.537,5
SL,10/3/2022,87.2,"Kiner-Falefa, Isiah",ground_ball,8,100.6,-12,87.1,2339,0.223,0.201,2
SI,10/3/2022,96.4,"Higashioka, Kyle",ground_ball,5,96.4,-18,95.6,2325,0.131,0.118,2
SI,10/3/2022,99.3,"Stanton, Giancarlo",fly_ball,457,113.3,24,98.8,2311,0.98,1.965,6
SI,10/3/2022,96,"Kiner-Falefa, Isiah",fly_ball,351,98.8,21,95.2,2362,0.323,0.406,5
CH,10/3/2022,91.4,"Gonzalez, Marwin",fly_ball,400,105.9,27,91.2,2217,0.923,1.869,6
SL,10/3/2022,88.1,"Peraza, Oswald",ground_ball,139,98.2,6,88.2,2227,0.6,0.568,4
FC,10/2/2022,83.9,"LeMahieu, DJ",popup,178,76.4,54,83.9,2305,0.094,0.108,3
SI,10/2/2022,94.8,"Kiner-Falefa, Isiah",line_drive,310,99.8,16,95.4,2033,0.571,0.59,4
SL,10/2/2022,79,"Bader, Harrison",ground_ball,66,65.6,5,78.5,2520,0.171,0.161,2
SI,10/1/2022,90.8,"Torres, Gleyber",popup,199,85.9,57,91.2,2092,0.017,0.015,3
FC,10/1/2022,89.2,"Rizzo, Anthony",ground_ball,71,93.7,4,89.1,2469,0.426,0.4,4
FC,10/1/2022,86.8,"Peraza, Oswald",ground_ball,36,85.9,-1,86.4,2398,0.237,0.225,2
FC,10/1/2022,88.2,"Higashioka, Kyle",line_drive,299,93.7,18,88.5,2359,0.474,0.479,4
SL,10/1/2022,78.2,"Bader, Harrison",line_drive,272,87.6,20,77.1,2652,0.489,0.496,4
SL,10/1/2022,77.2,"Stanton, Giancarlo",ground_ball,90,83.6,6,76.2,2638,0.389,0.364,4
FF,10/1/2022,92.5,"Donaldson, Josh",line_drive,271,111.4,12,92.6,2273,0.857,0.91,5
FC,10/1/2022,88.5,"Torres, Gleyber",line_drive,262,98.7,17,88.3,2512,0.466,0.486,4
FF,10/1/2022,91.9,"Rizzo, Anthony",ground_ball,122,100.8,6,92.1,2131,0.663,0.624,4
SI,9/30/2022,89,"Kiner-Falefa, Isiah",ground_ball,134,84.2,10,90,2033,0.497,0.452,4
CU,9/30/2022,79.4,"Bader, Harrison",ground_ball,19,99,-7,79,2487,0.271,0.244,2
SL,9/30/2022,80.4,"LeMahieu, DJ",fly_ball,223,74.1,43,80.3,2664,0.197,0.214,3
FF,9/30/2022,100,"Torres, Gleyber",line_drive,277,100.2,16,99.7,2346,0.571,0.59,4
CH,9/30/2022,85.3,"Stanton, Giancarlo",popup,147,80.4,68,84.9,2224,0.006,0.005,3
SI,9/28/2022,87.9,"Bader, Harrison",ground_ball,3,68.1,-38,87.8,2088,0.094,0.085,2
SI,9/28/2022,86.3,"Peraza, Oswald",ground_ball,1,40.9,-67,85.8,2076,0.191,0.172,1
FF,9/28/2022,95.5,"Gonzalez, Marwin",popup,88,52.3,70,94.4,2443,0,0,1
SI,9/28/2022,94.8,"Cabrera, Oswaldo",ground_ball,1,66.8,-58,94.4,2161,0.263,0.245,2
FF,9/28/2022,85.7,"Cabrera, Oswaldo",line_drive,273,87.4,18,85.2,2168,0.834,0.804,4
SI,9/28/2022,94.5,"Judge, Aaron",fly_ball,394,117.4,22,94.1,2078,0.929,1.715,6
SI,9/28/2022,86.2,"Judge, Aaron",ground_ball,90,107,3,85.9,2171,0.543,0.5,4
SL,9/28/2022,92.5,"Bader, Harrison",ground_ball,88,95.6,5,91.6,2468,0.509,0.495,4
SL,9/28/2022,78.1,"Hicks, Aaron",line_drive,264,92.3,13,77.3,2503,0.911,0.879,4
FF,9/28/2022,87,"Locastro, Tim",ground_ball,21,89.4,-6,86.8,2086,0.154,0.147,2
SI,9/28/2022,95.6,"Peraza, Oswald",ground_ball,2,81.9,-46,94.6,2195,0.12,0.119,2
SI,9/28/2022,94.9,"Hicks, Aaron",line_drive,195,81.9,13,94.5,2115,0.671,0.632,4
SL,9/28/2022,84.1,"Gonzalez, Marwin",ground_ball,33,104.6,-2,84.6,2500,0.4,0.36,4
FC,9/27/2022,89.4,"Higashioka, Kyle",line_drive,260,89,18,87.9,2459,0.706,0.677,4
CH,9/27/2022,86.2,"Cabrera, Oswaldo",ground_ball,6,61.5,-23,84.5,2213,0.043,0.039,2
SL,9/27/2022,88.2,"Torres, Gleyber",ground_ball,54,70.3,4,88.2,2306,0.146,0.131,2
FS,9/26/2022,85.4,"Cabrera, Oswaldo",ground_ball,121,95.6,5,85.5,1388,0.509,0.495,4
SI,9/26/2022,87.3,"Trevino, Jose",ground_ball,15,103.7,-8,86.4,2286,0.346,0.339,2
SI,9/26/2022,95.7,"Rizzo, Anthony",ground_ball,26,83.7,-3,95,2109,0.166,0.149,2
SL,9/26/2022,76.8,"Kiner-Falefa, Isiah",ground_ball,1,50.4,-58,76.3,2524,0.209,0.188,1
FF,9/24/2022,92.9,"Cabrera, Oswaldo",fly_ball,267,78.7,40,93.6,2294,0.034,0.031,3
SI,9/24/2022,92.4,"Torres, Gleyber",ground_ball,1,60.7,-64,92.3,2170,0.269,0.258,2
CH,9/24/2022,88.2,"Rizzo, Anthony",fly_ball,434,108.4,25,88.2,1560,0.966,1.951,6
SI,9/24/2022,94.5,"Trevino, Jose",ground_ball,6,102.1,-16,93.8,2115,0.217,0.205,2
SL,9/24/2022,83.9,"Kiner-Falefa, Isiah",ground_ball,7,65.7,-11,82.7,2658,0.08,0.084,2
SL,9/24/2022,81.9,"Bader, Harrison",ground_ball,130,70.3,12,80.6,2656,0.326,0.293,2
CU,9/23/2022,83,"Trevino, Jose",line_drive,244,101.6,9,83.3,2565,0.737,0.684,4
FF,9/23/2022,99,"Judge, Aaron",line_drive,242,110.7,11,97.8,2448,0.869,0.896,5
FF,9/23/2022,95.6,"Donaldson, Josh",ground_ball,76,98.9,3,95.3,2393,0.463,0.417,4
FF,9/23/2022,97.5,"Gonzalez, Marwin",popup,139,84.3,67,97.1,2319,0.003,0.003,3
SI,9/22/2022,92.3,"Donaldson, Josh",ground_ball,6,104.6,-13,92.5,2144,0.226,0.203,2
SI,9/22/2022,95.4,"Kiner-Falefa, Isiah",ground_ball,8,46.2,-19,96.1,2384,0.189,0.213,1
CH,9/22/2022,88.1,"Rizzo, Anthony",ground_ball,17,94.7,-6,88.8,1502,0.24,0.219,2
FF,9/22/2022,95.8,"Bader, Harrison",fly_ball,293,95.9,46,96.9,2276,0.006,0.006,3
FF,9/22/2022,95.8,"Judge, Aaron",fly_ball,403,113,35,96.8,2288,0.84,1.749,6
FF,9/22/2022,95.9,"Cabrera, Oswaldo",ground_ball,10,103.8,-11,96.8,2348,0.277,0.252,2
SL,9/22/2022,87.7,"Stanton, Giancarlo",ground_ball,24,101.8,-4,88.9,2600,0.329,0.31,2
KC,9/22/2022,82.6,"Trevino, Jose",fly_ball,210,78.8,52,82.9,2121,0.057,0.059,3
FF,9/22/2022,91.9,"Higashioka, Kyle",line_drive,333,107.1,17,92.7,2253,0.591,0.706,6
FF,9/22/2022,97.3,"Donaldson, Josh",ground_ball,15,90.6,-11,97.1,2309,0.154,0.149,2
FF,9/21/2022,93.5,"Cabrera, Oswaldo",line_drive,247,100.1,12,92.9,2317,0.917,0.904,4
FF,9/21/2022,89.5,"Peraza, Oswald",fly_ball,378,98.7,28,88.7,2286,0.446,0.774,6
FF,9/21/2022,91.2,"Torres, Gleyber",fly_ball,398,106.7,38,90.7,2364,0.574,1.167,6
SL,9/21/2022,78.8,"Rizzo, Anthony",fly_ball,263,87.5,52,78,2507,0.014,0.016,3
FF,9/21/2022,93.9,"Torres, Gleyber",fly_ball,355,102.2,25,93.4,2293,0.649,1.08,6
CU,9/21/2022,84.1,"Rizzo, Anthony",ground_ball,31,94.6,-2,83.5,2790,0.311,0.296,2
SL,9/21/2022,78.7,"Trevino, Jose",line_drive,175,93.1,12,78,2549,0.871,0.837,4
CU,9/21/2022,83.1,"Judge, Aaron",ground_ball,51,73,3,82.4,2702,0.16,0.153,2
SL,9/21/2022,78.5,"Bader, Harrison",ground_ball,101,103,5,77.6,2612,0.557,0.504,4
CH,9/20/2022,89,"Stanton, Giancarlo",line_drive,410,118,16,89.5,2078,0.791,1.074,6
SI,9/20/2022,96.2,"Donaldson, Josh",fly_ball,260,75.1,33,96.5,2324,0.294,0.278,3
SI,9/20/2022,96.6,"Trevino, Jose",ground_ball,2,75.7,-55,97.6,2305,0.234,0.224,2
SI,9/20/2022,95.3,"Kiner-Falefa, Isiah",ground_ball,9,101,-16,97.2,2204,0.189,0.17,2
CH,9/20/2022,88.6,"Rizzo, Anthony",line_drive,230,99.2,10,88.7,2053,0.743,0.681,4
SL,9/20/2022,85.3,"Donaldson, Josh",ground_ball,30,75.7,-1,85,2892,0.117,0.106,2
SI,9/20/2022,95.3,"Judge, Aaron",fly_ball,430,111.6,24,95.9,2286,0.983,1.982,6
SI,9/20/2022,95.6,"Bader, Harrison",line_drive,71,35.3,31,96.7,2226,0.174,0.157,1
SL,9/20/2022,85.2,"Torres, Gleyber",line_drive,193,74.7,17,85.2,3014,0.803,0.751,4
SL,9/18/2022,87,"Judge, Aaron",fly_ball,443,110.3,30,86.6,2444,0.971,2.029,6
SI,9/18/2022,95.8,"Hicks, Aaron",fly_ball,410,106.8,25,95.3,2089,0.96,1.935,6
CH,9/18/2022,83.2,"Rizzo, Anthony",fly_ball,190,82.4,59,83.5,2083,0.031,0.034,3
SI,9/18/2022,95.1,"Higashioka, Kyle",ground_ball,12,97.8,-13,94.9,2018,0.226,0.228,2
CU,9/18/2022,80.6,"Judge, Aaron",line_drive,354,111.8,19,81.3,2573,0.846,1.344,6
SI,9/18/2022,91.1,"Hicks, Aaron",line_drive,245,81.7,24,91.5,2397,0.38,0.372,3
SI,9/18/2022,91.7,"Higashioka, Kyle",fly_ball,267,93.1,48,92,2263,0,0,3
SI,9/18/2022,96.3,"Kiner-Falefa, Isiah",ground_ball,11,90.5,-15,95.3,1957,0.129,0.12,2
SI,9/18/2022,90.4,"Kiner-Falefa, Isiah",ground_ball,126,88,7,91,2275,0.469,0.444,4
SI,9/18/2022,94.7,"Cabrera, Oswaldo",ground_ball,101,103.6,5,94.4,1979,0.571,0.534,4
SI,9/18/2022,91.5,"Donaldson, Josh",ground_ball,11,57.6,-10,91.5,2284,0.094,0.095,1
SI,9/18/2022,90.8,"Torres, Gleyber",ground_ball,8,83.7,-16,91.2,2265,0.123,0.136,2
SI,9/18/2022,90.3,"Rizzo, Anthony",ground_ball,11,97.8,-14,90.5,2180,0.206,0.198,2
SL,9/17/2022,86.1,"Torres, Gleyber",ground_ball,21,90.8,-4,87,2353,0.203,0.186,2
SI,9/17/2022,95.9,"Hicks, Aaron",ground_ball,99,94.6,5,96.9,2233,0.477,0.461,4
SL,9/17/2022,85.6,"Higashioka, Kyle",ground_ball,3,75.4,-37,86.3,2192,0.089,0.08,2
FF,9/17/2022,92.5,"Donaldson, Josh",ground_ball,18,95.3,-9,94.8,2270,0.206,0.185,2
SI,9/16/2022,94.1,"Higashioka, Kyle",fly_ball,328,98.2,40,92.9,2307,0.08,0.146,3
SI,9/16/2022,93.9,"Kiner-Falefa, Isiah",ground_ball,3,38.4,-34,92.9,2123,0.24,0.237,1
FF,9/16/2022,93.3,"Higashioka, Kyle",ground_ball,7,72.3,-21,92.2,2354,0.043,0.039,2
SL,9/16/2022,81,"Cabrera, Oswaldo",line_drive,301,93.9,17,79.9,2700,0.583,0.575,4
