pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,89.9,"Marsh, Brandon",fly_ball,327,97.9,24,91,2573,0.374,0.513,5
SL,10/5/2022,84.9,"Vierling, Matt",ground_ball,28,88.9,-3,84,2440,0.197,0.177,2
FF,10/5/2022,91.3,"Maton, Nick",line_drive,182,78.8,17,92.5,2617,0.889,0.841,4
FF,10/5/2022,98.7,"Segura, Jean",ground_ball,3,98.9,-32,97.7,2173,0.103,0.093,2
CH,10/5/2022,90.6,"Hall, Darick",ground_ball,10,103.9,-13,87.7,1945,0.246,0.221,2
CH,10/5/2022,90.9,"Hoskins, Rhys",line_drive,295,99.2,17,90.1,1864,0.466,0.486,4
CH,10/5/2022,89,"Stott, Bryson",ground_ball,12,96.9,-9,88.4,2056,0.231,0.216,2
SL,10/5/2022,86.5,"Castellanos, Nick",fly_ball,232,75.6,47,85.7,2484,0.111,0.124,3
KC,10/4/2022,83.5,"Stott, Bryson",ground_ball,3,84.3,-42,83.1,2364,0.086,0.078,2
SI,10/4/2022,94.1,"Guthrie, Dalton",fly_ball,292,82.7,33,93.4,2434,0.034,0.047,3
SL,10/4/2022,83,"Bohm, Alec",ground_ball,22,101.5,-4,82.3,2224,0.329,0.31,2
FF,10/4/2022,93.1,"Harper, Bryce",ground_ball,89,109.3,4,92.5,2239,0.606,0.56,4
SL,10/4/2022,82.8,"Stubbs, Garrett",line_drive,229,90,15,82.9,2245,0.94,0.911,4
SI,10/4/2022,94.3,"Vierling, Matt",ground_ball,11,105.7,-10,93.4,2474,0.32,0.304,2
FF,10/3/2022,94.2,"Bohm, Alec",popup,13,69.5,86,93,2331,0,0,3
SL,10/3/2022,80.1,"Realmuto, J.T.",ground_ball,1,61.9,-51,79.2,2723,0.211,0.19,2
CU,10/3/2022,79.8,"Harper, Bryce",ground_ball,2,64.1,-49,78.6,2538,0.22,0.213,2
FF,10/3/2022,93.5,"Schwarber, Kyle",fly_ball,389,110.6,38,92.3,2337,0.654,1.337,6
FF,10/3/2022,93.4,"Stott, Bryson",line_drive,347,107.4,20,92.6,2237,0.757,1.136,6
FF,10/3/2022,94.4,"Segura, Jean",fly_ball,298,92.3,40,92.9,2238,0.014,0.013,3
FF,10/3/2022,93.9,"Marsh, Brandon",fly_ball,240,91.1,54,92.6,2148,0.014,0.016,3
FF,10/3/2022,91.5,"Marsh, Brandon",line_drive,258,83.1,27,93.1,2576,0.134,0.13,3
SL,10/3/2022,82.2,"Castellanos, Nick",fly_ball,354,95.9,31,82.9,2796,0.209,0.391,5
FF,10/1/2022,95.4,"Hall, Darick",fly_ball,328,88.6,30,96.8,2064,0.06,0.072,3
SI,10/1/2022,95.1,"Guthrie, Dalton",ground_ball,47,46.4,7,95.2,2025,0.163,0.147,1
FS,10/1/2022,89.5,"Harper, Bryce",fly_ball,256,77,41,89.5,1061,0.08,0.078,3
FF,10/1/2022,95.2,"Vierling, Matt",line_drive,328,100.7,21,95.9,2065,0.454,0.604,5
FF,10/1/2022,98,"Hoskins, Rhys",ground_ball,101,102.3,5,97.5,2145,0.603,0.562,4
FF,10/1/2022,98.5,"Schwarber, Kyle",fly_ball,373,102.4,39,98.4,2179,0.286,0.562,5
CH,10/1/2022,91.4,"Harper, Bryce",fly_ball,323,91,30,91.9,1643,0.08,0.122,3
FF,10/1/2022,94.1,"Hoskins, Rhys",fly_ball,302,99.5,46,94.7,2581,0.029,0.051,3
SI,10/1/2022,90,"Vierling, Matt",line_drive,334,104.1,14,91.3,2285,0.74,0.776,4
SI,10/1/2022,93.5,"Bohm, Alec",ground_ball,50,81.9,2,94.2,2016,0.223,0.201,2
EP,10/1/2022,38.6,"Maton, Nick",ground_ball,7,63.3,-31,37.1,841,0.051,0.049,2
SI,10/1/2022,88.2,"Stott, Bryson",ground_ball,17,99.8,-6,89.9,2255,0.28,0.252,2
