pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
CU,10/5/2022,81.6,"Dixon, Brandon",ground_ball,52,98.4,1,81.1,2559,0.406,0.365,4
SL,10/5/2022,87.2,"Alfaro, Jorge",ground_ball,65,75.1,4,86.6,2422,0.211,0.201,2
FF,10/5/2022,81.9,"Profar, Jurickson",ground_ball,16,102.2,-6,80.6,1834,0.294,0.265,2
SI,10/5/2022,92.9,"Machado, Manny",ground_ball,15,107.9,-7,92.1,2070,0.4,0.386,2
SL,10/5/2022,71.8,"Grisham, Trent",line_drive,165,95.1,11,70.8,2330,0.791,0.756,4
FF,10/4/2022,95.3,"Dixon, Brandon",line_drive,236,98.9,13,94.6,2022,0.891,0.862,4
SL,10/4/2022,85.7,"Azocar, José",ground_ball,78,88.3,4,87,2187,0.36,0.324,2
SI,10/4/2022,94.4,"Kim, Ha-Seong",ground_ball,4,103,-21,93.4,2093,0.189,0.186,2
FF,10/4/2022,98.3,"Myers, Wil",fly_ball,401,102,28,99.3,2314,0.694,1.332,6
FF,10/4/2022,97.3,"Profar, Jurickson",ground_ball,75,47.1,14,98.3,2373,0.186,0.167,1
SL,10/3/2022,81.5,"Kim, Ha-Seong",ground_ball,9,86.7,-14,82.6,2430,0.117,0.106,2
SL,10/3/2022,81.2,"Dixon, Brandon",line_drive,191,91.5,13,82.5,2500,0.923,0.905,4
SL,10/3/2022,81.2,"Grisham, Trent",line_drive,125,100,7,82.4,2494,0.651,0.601,4
FF,10/3/2022,93.5,"Grisham, Trent",popup,188,76.4,56,93.3,2206,0.091,0.111,3
SL,10/3/2022,82.1,"Campusano, Luis",fly_ball,248,83.3,47,83.3,2363,0.009,0.008,3
SL,10/3/2022,82,"Myers, Wil",fly_ball,375,98.6,24,83.6,2475,0.44,0.634,5
SL,10/3/2022,82.9,"Myers, Wil",fly_ball,423,103.8,27,83.2,2272,0.837,1.641,6
FF,10/3/2022,95,"Cronenworth, Jake",line_drive,214,70.3,23,95,2332,0.934,0.88,4
FF,10/2/2022,93.8,"Nola, Austin",ground_ball,4,87.8,-26,93.9,2497,0.06,0.054,2
