pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,98.6,"France, Ty",ground_ball,19,92.4,-9,98.9,2414,0.206,0.213,2
CH,10/5/2022,91.4,"Haniger, Mitch",popup,175,71,55,90.4,2003,0.091,0.098,3
SI,10/5/2022,100,"Crawford, J.P.",ground_ball,2,71.6,-47,101,2411,0.157,0.141,2
SL,10/5/2022,82.8,"Trammell, Taylor",ground_ball,47,86.1,1,82.3,2535,0.289,0.272,2
CH,10/5/2022,88.9,"Kelenic, Jarred",ground_ball,8,74.6,-14,87.9,1927,0.057,0.051,2
FF,10/5/2022,96.4,"Torrens, Luis",ground_ball,36,102.3,-2,95.7,2465,0.329,0.296,2
SL,10/5/2022,88.6,"Toro, Abraham",fly_ball,305,88.2,38,89.9,2552,0.011,0.014,3
FF,10/5/2022,95.8,"Santana, Carlos",ground_ball,60,84.3,1,95.4,2420,0.26,0.247,2
CU,10/4/2022,87.5,"Suárez, Eugenio",line_drive,208,95.8,13,87.6,2308,0.92,0.892,4
SI,10/4/2022,97.5,"France, Ty",ground_ball,93,90.4,4,97.5,2228,0.411,0.405,4
CU,10/4/2022,86.7,"Crawford, J.P.",ground_ball,68,97.5,3,86.7,2276,0.491,0.458,4
CH,10/4/2022,89.7,"Crawford, J.P.",ground_ball,3,73.8,-26,88.9,1724,0.037,0.034,2
SI,10/4/2022,97.3,"Suárez, Eugenio",ground_ball,2,69.3,-40,98.1,2009,0.111,0.1,2
SI,10/4/2022,96,"Casali, Curt",fly_ball,234,74.4,41,95.3,2239,0.22,0.222,3
SL,10/4/2022,87.2,"Toro, Abraham",fly_ball,280,86,41,88.8,2421,0.017,0.024,3
SI,10/4/2022,96.6,"Casali, Curt",popup,134,97,69,96.7,2132,0.023,0.028,3
FF,10/4/2022,95.8,"Frazier, Adam",fly_ball,327,92.4,35,94.9,2213,0.046,0.064,3
SL,10/4/2022,79.3,"Kelenic, Jarred",popup,52,75.6,86,78.2,2668,0.009,0.008,3
CU,10/4/2022,86.7,"Frazier, Adam",line_drive,285,95.4,15,86.7,2100,0.817,0.826,4
SI,10/4/2022,98.1,"Kelenic, Jarred",ground_ball,33,104.6,-3,98.9,2326,0.394,0.365,2
SI,10/4/2022,98.5,"France, Ty",ground_ball,49,109,0,99,2071,0.503,0.463,4
SI,10/4/2022,96.5,"Santana, Carlos",ground_ball,35,108,-3,97.4,2354,0.443,0.408,4
CH,10/4/2022,86.9,"Rodríguez, Julio",ground_ball,138,95.9,9,85.8,1577,0.643,0.598,4
SI,10/3/2022,92,"Frazier, Adam",line_drive,225,82,17,91.2,1835,0.94,0.902,4
SI,10/3/2022,92.2,"Moore, Dylan",fly_ball,330,97.2,38,91.4,1936,0.12,0.235,3
CH,10/3/2022,84.3,"Kelenic, Jarred",fly_ball,294,81.1,33,83.2,2060,0.034,0.031,3
SI,10/3/2022,94.2,"Haggerty, Sam",ground_ball,131,83,8,94.7,2208,0.423,0.392,4
SL,10/3/2022,82.8,"Haniger, Mitch",fly_ball,333,95.8,42,82.5,2535,0.023,0.03,3
FF,10/3/2022,92.7,"Kelenic, Jarred",ground_ball,82,84.9,6,93,2107,0.403,0.38,4
SL,10/3/2022,82.8,"Rodríguez, Julio",line_drive,278,96,16,82.5,2718,0.677,0.711,4
SL,10/2/2022,79.6,"France, Ty",fly_ball,315,100.4,45,80.5,2276,0.026,0.033,3
FF,10/2/2022,95.5,"Suárez, Eugenio",ground_ball,5,101.4,-22,97.4,1082,0.166,0.164,2
SL,10/2/2022,78.2,"Frazier, Adam",line_drive,305,97.4,18,78.4,2336,0.403,0.427,4
SL,10/2/2022,78.8,"Winker, Jesse",fly_ball,410,102.5,27,79.7,2314,0.7,1.3,6
FF,10/2/2022,96.8,"Haniger, Mitch",line_drive,282,104,12,98.6,2124,0.889,0.893,4
FF,10/2/2022,89.8,"Haniger, Mitch",line_drive,218,106.6,14,90.7,2100,0.717,0.773,5
SL,10/1/2022,77.3,"Moore, Dylan",ground_ball,4,83.5,-19,77.7,2563,0.06,0.054,2
