pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,95.3,"Molina, Yadier",line_drive,155,65.7,18,95.3,2366,0.537,0.483,4
CU,10/5/2022,79.9,"Burleson, Alec",ground_ball,3,80.3,-36,80.9,2245,0.074,0.069,2
SL,10/5/2022,86.3,"Yepez, Juan",popup,142,79.8,64,87.4,2378,0.009,0.008,3
FF,10/5/2022,96.8,"Dickerson, Corey",fly_ball,240,79.4,45,98,2277,0.043,0.042,3
SI,10/5/2022,96.4,"DeJong, Paul",line_drive,89,98.7,3,97.3,2235,0.463,0.417,4
SI,10/5/2022,97.7,"Knizner, Andrew",ground_ball,62,104,2,98.4,2298,0.474,0.427,4
SI,10/5/2022,96.3,"Carlson, Dylan",ground_ball,9,94.2,-15,97.3,2221,0.169,0.152,2
SL,10/5/2022,85.3,"Edman, Tommy",line_drive,265,85.5,20,86.3,2396,0.551,0.534,4
CH,10/4/2022,83.8,"Donovan, Brendan",ground_ball,9,95.6,-8,84,1385,0.234,0.224,2
FF,10/4/2022,90.8,"Knizner, Andrew",line_drive,185,106.8,10,90.3,1962,0.837,0.84,4
CU,10/4/2022,75.4,"DeLuzio, Ben",line_drive,166,95.9,10,74.8,2453,0.703,0.661,4
CU,10/4/2022,78.2,"DeJong, Paul",fly_ball,239,86,49,77.6,2555,0.003,0.003,3
FC,10/4/2022,91.5,"Burleson, Alec",ground_ball,64,84.4,3,91.7,1975,0.294,0.268,2
FF,10/4/2022,92.7,"Knizner, Andrew",line_drive,187,81.3,13,92.2,2404,0.614,0.561,4
FS,10/4/2022,89.6,"Dickerson, Corey",ground_ball,32,104.7,-1,90.4,1626,0.437,0.404,4
FF,10/4/2022,92.2,"Carlson, Dylan",ground_ball,7,87.6,-20,91.7,2502,0.109,0.109,2
CU,10/4/2022,76.1,"Nootbaar, Lars",ground_ball,5,67.7,-23,76.2,2452,0.037,0.033,2
CU,10/4/2022,79.3,"Yepez, Juan",line_drive,223,96.9,13,78.5,2590,0.926,0.909,4
FC,10/4/2022,91.8,"Dickerson, Corey",ground_ball,135,93.7,9,91.6,2134,0.62,0.577,4
SL,10/4/2022,85.6,"Knizner, Andrew",ground_ball,2,73.6,-30,85,3082,0.054,0.053,2
SL,10/4/2022,84.6,"Carlson, Dylan",fly_ball,298,88.4,40,84.7,2989,0.009,0.008,3
FF,10/4/2022,95.9,"Donovan, Brendan",popup,158,76,64,96.5,2318,0.009,0.008,3
FF,10/3/2022,99.6,"Nootbaar, Lars",ground_ball,46,94.8,-1,100,2215,0.357,0.356,2
SL,10/3/2022,88.6,"Donovan, Brendan",ground_ball,141,95.9,9,88.9,2174,0.643,0.598,4
SI,10/3/2022,93.5,"DeLuzio, Ben",ground_ball,1,51.9,-77,93.8,1916,0.169,0.152,1
SI,10/3/2022,97.1,"Donovan, Brendan",ground_ball,4,103,-26,98,2379,0.137,0.127,2
FF,10/3/2022,96.6,"Yepez, Juan",ground_ball,88,102,3,97.6,2301,0.56,0.546,4
FS,10/2/2022,89.9,"Dickerson, Corey",ground_ball,13,85.5,-8,91.3,1471,0.126,0.119,2
SL,10/2/2022,84.9,"Donovan, Brendan",fly_ball,366,98.8,33,84.5,2931,0.32,0.624,5
FF,10/2/2022,97.2,"DeLuzio, Ben",popup,152,66.7,57,96.8,2405,0.046,0.041,3
SI,10/2/2022,95.3,"Dickerson, Corey",popup,217,77.6,49,97.2,2151,0.06,0.057,3
FF,10/2/2022,96,"Yepez, Juan",popup,190,69.7,51,96.4,2283,0.134,0.132,3
SI,10/2/2022,94.3,"Knizner, Andrew",ground_ball,20,99.6,-6,95.5,2182,0.28,0.252,2
SI,10/2/2022,95.7,"Nootbaar, Lars",ground_ball,38,76.6,1,96.8,2119,0.143,0.129,2
FF,10/2/2022,96.7,"Burleson, Alec",fly_ball,381,99.5,26,97.1,2301,0.463,0.718,6
SI,10/2/2022,95.4,"Yepez, Juan",ground_ball,4,81.1,-29,98.1,2148,0.051,0.053,2
CU,10/1/2022,82.8,"Dickerson, Corey",ground_ball,129,71.9,11,82.7,2494,0.294,0.265,2
SL,10/1/2022,88.9,"Knizner, Andrew",ground_ball,8,88.8,-15,89,2102,0.12,0.112,2
SL,10/1/2022,84.6,"Burleson, Alec",ground_ball,1,62.7,-65,84.3,2484,0.266,0.253,2
CU,10/1/2022,82.2,"Carlson, Dylan",line_drive,157,97.9,9,82.2,2433,0.666,0.611,4
SL,10/1/2022,83,"Yepez, Juan",popup,87,70.9,69,82.8,2504,0,0,3
SI,10/1/2022,100,"DeLuzio, Ben",ground_ball,1,76.7,-75,100.6,2041,0.237,0.213,2
FF,10/1/2022,93,"Nootbaar, Lars",line_drive,187,90.2,11,93.1,1993,0.7,0.64,4
SL,10/1/2022,89.4,"Yepez, Juan",fly_ball,282,88.4,41,89.9,2183,0.006,0.005,3
SI,9/30/2022,96.4,"Yepez, Juan",ground_ball,45,33.3,15,97,2125,0.203,0.183,1
FC,9/30/2022,92.1,"Nootbaar, Lars",ground_ball,27,91,-6,92,2078,0.169,0.152,2
SI,9/30/2022,97.7,"Arenado, Nolan",ground_ball,2,65.5,-53,99.2,2192,0.254,0.253,2
FF,9/30/2022,95.3,"Donovan, Brendan",fly_ball,301,91.3,27,95.3,2302,0.114,0.139,3
CU,9/28/2022,80.4,"Carlson, Dylan",ground_ball,8,69.1,-12,80.4,2525,0.071,0.073,2
CH,9/28/2022,81.3,"Nootbaar, Lars",line_drive,263,75.7,30,80.7,1283,0.363,0.358,3
CH,9/28/2022,81.9,"Burleson, Alec",line_drive,135,82.3,12,83.1,2777,0.566,0.513,4
CH,9/28/2022,83,"Carlson, Dylan",line_drive,216,66,31,81.6,1470,0.851,0.809,4
CU,9/28/2022,79.8,"DeLuzio, Ben",line_drive,251,100.6,12,79.9,2511,0.917,0.903,4
CH,9/28/2022,82.2,"Yepez, Juan",ground_ball,27,71.4,-2,83.2,2580,0.097,0.087,2
FF,9/28/2022,97.3,"Knizner, Andrew",fly_ball,408,108.4,22,97.1,2548,0.926,1.687,6
CU,9/27/2022,80.7,"Pujols, Albert",fly_ball,164,61,47,80.4,2006,0.18,0.162,3
SL,9/27/2022,83.3,"DeLuzio, Ben",line_drive,264,81.3,23,83.6,3038,0.543,0.508,4
SI,9/27/2022,89.7,"Dickerson, Corey",ground_ball,4,92.8,-25,89.5,1990,0.071,0.064,2
SL,9/27/2022,80.1,"Edman, Tommy",line_drive,287,104.2,16,79.3,2761,0.54,0.594,5
CH,9/27/2022,81.1,"Goldschmidt, Paul",line_drive,227,96.6,13,80.5,1759,0.926,0.909,4
SL,9/27/2022,80.7,"Knizner, Andrew",ground_ball,1,32.3,-53,79.2,2817,0.254,0.246,1
SL,9/27/2022,78.7,"Carlson, Dylan",fly_ball,213,65.5,36,77.3,2794,0.671,0.623,4
SL,9/25/2022,89.9,"Carlson, Dylan",fly_ball,251,76.2,32,91.1,2225,0.263,0.254,3
FF,9/25/2022,96.9,"Yepez, Juan",line_drive,286,89.7,19,97.8,2178,0.526,0.52,4
FF,9/25/2022,95,"Arenado, Nolan",fly_ball,231,84.9,53,95.7,2199,0.014,0.013,3
CH,9/25/2022,85.2,"Goldschmidt, Paul",ground_ball,52,96,1,85.3,1715,0.411,0.384,4
CH,9/25/2022,86.2,"Nootbaar, Lars",ground_ball,24,92.8,-4,86.8,1771,0.243,0.229,2
CH,9/25/2022,85.5,"Donovan, Brendan",ground_ball,26,99.4,-4,86,1751,0.289,0.26,2
CH,9/25/2022,85.6,"Edman, Tommy",ground_ball,8,90,-18,86.1,1595,0.109,0.104,2
CH,9/25/2022,84.4,"Dickerson, Corey",fly_ball,290,82.8,39,84.6,1735,0.02,0.025,3
SI,9/24/2022,95.7,"Yepez, Juan",ground_ball,6,102.5,-23,96.1,2020,0.157,0.143,2
FC,9/24/2022,92.7,"Edman, Tommy",ground_ball,6,64.3,-18,93.8,2216,0.04,0.036,2
CH,9/24/2022,91.3,"Dickerson, Corey",fly_ball,330,90.3,33,91.5,1153,0.046,0.073,3
CH,9/24/2022,91.6,"Donovan, Brendan",ground_ball,4,107,-20,92.6,1316,0.177,0.159,2
CH,9/24/2022,92.6,"Carlson, Dylan",ground_ball,12,97.4,-11,93.6,1285,0.203,0.183,2
FA,9/23/2022,59.3,"Knizner, Andrew",ground_ball,5,77.6,-33,57.6,1390,0.054,0.049,2
FA,9/23/2022,62.1,"Nootbaar, Lars",line_drive,321,85.5,27,60.9,1396,0.111,0.144,3
FA,9/23/2022,61.6,"Carlson, Dylan",fly_ball,236,96.6,58,60.3,1301,0.02,0.031,3
FF,9/23/2022,94.8,"Donovan, Brendan",line_drive,148,101,5,94.6,2211,0.64,0.613,4
FA,9/23/2022,53,"Yepez, Juan",fly_ball,354,95.9,33,51.8,1137,0.134,0.227,5
FA,9/23/2022,54.6,"Arenado, Nolan",fly_ball,330,87.9,39,53.6,1138,0.011,0.016,3
FF,9/23/2022,93.8,"Knizner, Andrew",fly_ball,235,71.1,42,93.7,2386,0.349,0.36,3
FA,9/23/2022,61.4,"DeLuzio, Ben",popup,54,61.5,74,60.2,1286,0.006,0.006,3
CU,9/23/2022,78.1,"Nootbaar, Lars",ground_ball,51,86.2,2,77.7,3044,0.326,0.32,2
FF,9/23/2022,95.3,"Carlson, Dylan",line_drive,270,91.2,20,95.5,2302,0.36,0.362,4
FF,9/23/2022,95,"Yepez, Juan",fly_ball,389,98.9,31,95.2,2380,0.4,0.762,6
FA,9/23/2022,61.8,"Burleson, Alec",fly_ball,405,102.8,32,60.6,1292,0.609,1.208,6
CU,9/23/2022,78.4,"Arenado, Nolan",fly_ball,279,81.4,37,77.6,3167,0.02,0.018,3
SI,9/22/2022,93.4,"Yepez, Juan",ground_ball,110,46.7,25,92.4,2358,0.24,0.216,1
CH,9/22/2022,81.2,"Arenado, Nolan",ground_ball,46,44.8,8,80.9,1765,0.171,0.154,1
CH,9/22/2022,81.3,"Goldschmidt, Paul",ground_ball,26,91.7,-2,80.7,1721,0.274,0.258,2
FF,9/22/2022,95.4,"Knizner, Andrew",popup,47,72,78,95.3,2507,0.006,0.005,3
FF,9/22/2022,92.2,"Donovan, Brendan",fly_ball,197,74.6,53,91.8,2270,0.103,0.116,3
SL,9/22/2022,83.7,"Carlson, Dylan",line_drive,211,78.4,19,84,2576,0.969,0.932,4
FC,9/22/2022,89.6,"Donovan, Brendan",fly_ball,418,103.8,29,88.8,2191,0.791,1.6,6
CU,9/22/2022,82.6,"Knizner, Andrew",ground_ball,5,71.9,-23,81.5,2887,0.029,0.026,2
SI,9/22/2022,90.1,"Edman, Tommy",ground_ball,2,78,-54,90.4,2198,0.217,0.206,2
CU,9/22/2022,82.2,"Pujols, Albert",fly_ball,356,97.4,28,81.2,2782,0.314,0.511,5
FF,9/22/2022,92,"Nootbaar, Lars",line_drive,333,102.7,19,91.1,2288,0.466,0.583,5
FF,9/21/2022,97,"Yepez, Juan",ground_ball,74,93.3,2,97.7,2448,0.374,0.337,2
FF,9/21/2022,98.2,"Pujols, Albert",ground_ball,46,80.8,-1,99.1,2469,0.186,0.177,2
SL,9/21/2022,90.7,"Goldschmidt, Paul",ground_ball,115,96.6,7,91.4,2305,0.617,0.586,4
SL,9/21/2022,86.5,"Arenado, Nolan",ground_ball,6,68.1,-19,86.9,2417,0.046,0.041,2
CH,9/21/2022,90.3,"Edman, Tommy",fly_ball,365,98.8,25,91,1661,0.477,0.725,6
FF,9/21/2022,98.8,"Dickerson, Corey",ground_ball,6,81.9,-25,99.7,2237,0.043,0.039,2
CH,9/21/2022,90.8,"Goldschmidt, Paul",line_drive,346,100.8,20,92.1,1670,0.42,0.526,5
