pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,10/5/2022,94.2,"Moreno, Gabriel",line_drive,264,97.3,16,93.1,2136,0.663,0.67,4
SL,10/5/2022,86.4,"Tapia, Raimel",ground_ball,6,93.8,-18,85.5,2235,0.134,0.123,2
FF,10/5/2022,94.8,"Moreno, Gabriel",ground_ball,8,78.9,-10,94.7,2036,0.117,0.128,2
CH,10/5/2022,84.8,"Merrifield, Whit",ground_ball,13,87.5,-6,83.9,2072,0.143,0.137,2
FF,10/5/2022,96.1,"Merrifield, Whit",ground_ball,10,92.8,-17,97.1,2293,0.146,0.139,2
FC,10/5/2022,87.8,"Merrifield, Whit",ground_ball,54,72.3,3,87.7,2317,0.151,0.144,2
FC,10/5/2022,86.6,"Hernández, Teoscar",line_drive,274,86.4,23,86.8,2216,0.28,0.261,3
CH,10/5/2022,80.8,"Biggio, Cavan",fly_ball,225,75.9,50,81.5,1771,0.089,0.088,3
FF,10/5/2022,91.9,"Tapia, Raimel",ground_ball,68,108.5,1,91.5,2215,0.514,0.477,4
SI,10/5/2022,97,"Lopez, Otto",line_drive,167,99.8,8,95.6,2262,0.671,0.622,4
CH,10/5/2022,84.2,"Lopez, Otto",line_drive,145,72.9,13,84.2,2065,0.377,0.339,4
CH,10/5/2022,82.8,"Lopez, Otto",fly_ball,223,76.8,48,83,1326,0.077,0.077,3
SI,10/5/2022,93,"Kirk, Alejandro",ground_ball,2,58.8,-54,93,1987,0.22,0.198,1
SL,10/5/2022,86.5,"Zimmer, Bradley",ground_ball,3,35.8,-48,85.9,2588,0.26,0.259,1
SL,10/5/2022,86.5,"Bradley Jr., Jackie",line_drive,143,66.7,16,87.3,2340,0.486,0.437,2
SI,10/5/2022,93.1,"Merrifield, Whit",ground_ball,1,73,-63,93.2,1979,0.263,0.241,2
KC,10/5/2022,79.5,"Zimmer, Bradley",line_drive,164,57.3,37,79.2,2336,0.363,0.327,1
SL,10/3/2022,86,"Chapman, Matt",ground_ball,16,71.5,-5,84.5,2368,0.089,0.082,2
CH,10/3/2022,88.9,"Kirk, Alejandro",line_drive,161,73,14,87.7,1824,0.483,0.435,4
CH,10/3/2022,81.4,"Merrifield, Whit",ground_ball,14,86.1,-5,80.2,2018,0.126,0.113,2
FF,10/3/2022,93,"Tapia, Raimel",line_drive,194,74.7,19,91.7,2405,0.92,0.858,4
SI,10/3/2022,93.2,"Bichette, Bo",ground_ball,8,98.1,-15,91.8,2244,0.177,0.159,2
FF,10/2/2022,99.9,"Guerrero Jr., Vladimir",line_drive,280,81.7,25,99.4,2454,0.283,0.276,3
SL,10/2/2022,86.6,"Merrifield, Whit",ground_ball,13,96.4,-10,86.9,2139,0.191,0.172,2
CH,10/2/2022,91.2,"Bichette, Bo",ground_ball,2,84.9,-29,91.3,2035,0.043,0.039,2
SL,10/2/2022,85.8,"Springer, George",ground_ball,7,66.6,-16,85.6,2327,0.037,0.033,2
FF,10/2/2022,96.8,"Bradley Jr., Jackie",ground_ball,13,101.6,-11,96.1,2441,0.257,0.231,2
SL,10/2/2022,87,"Hernández, Teoscar",ground_ball,83,102.7,4,87.4,2119,0.549,0.507,4
FF,10/2/2022,96.5,"Merrifield, Whit",fly_ball,203,70.2,43,95.8,2065,0.354,0.374,3
SL,10/1/2022,84.7,"Zimmer, Bradley",ground_ball,6,87.2,-24,84.9,2327,0.089,0.084,2
FF,10/1/2022,94.2,"Jansen, Danny",fly_ball,363,100.9,37,94.6,2262,0.323,0.639,5
SL,10/1/2022,84.1,"Tapia, Raimel",ground_ball,26,104.2,-2,84.4,2336,0.377,0.339,4
SI,10/1/2022,94.7,"Hernández, Teoscar",fly_ball,353,102.5,22,94.6,2031,0.571,0.8,6
SI,10/1/2022,94.5,"Chapman, Matt",ground_ball,5,77.1,-26,94.2,1945,0.034,0.031,2
FC,10/1/2022,88.8,"Moreno, Gabriel",line_drive,173,108.2,9,89,2166,0.777,0.749,4
SI,10/1/2022,94.8,"Lopez, Otto",ground_ball,35,100.5,-2,94.9,2117,0.351,0.326,2
FC,10/1/2022,88.8,"Merrifield, Whit",ground_ball,139,96.2,9,88.7,2196,0.643,0.598,4
SI,10/1/2022,95,"Jansen, Danny",fly_ball,292,97.8,47,94.4,2130,0.006,0.005,3
CU,9/30/2022,81.6,"Jansen, Danny",ground_ball,27,54.7,0,80.4,2351,0.117,0.105,1
CH,9/30/2022,84.9,"Tapia, Raimel",ground_ball,101,97.6,6,83.6,1509,0.6,0.568,4
SI,9/30/2022,91.7,"Hernández, Teoscar",ground_ball,9,103.3,-14,90.3,1943,0.246,0.233,2
FF,9/30/2022,98.1,"Kirk, Alejandro",line_drive,153,105.9,6,98.6,2121,0.609,0.587,4
SL,9/30/2022,86.8,"Guerrero Jr., Vladimir",ground_ball,2,69.8,-60,86.9,2006,0.251,0.226,2
FF,9/30/2022,98.2,"Bichette, Bo",ground_ball,9,109.2,-10,98.7,2043,0.309,0.278,2
