pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,97.5,"Straw, Myles",line_drive,162,89,10,0,,0.591,0.534,4
SL,10/5/2022,90,"Maile, Luke",ground_ball,16,93.1,-9,0,,0.206,0.197,2
FF,10/5/2022,99.2,"Brennan, Will",fly_ball,296,88.1,33,0,,0.02,0.018,3
CH,10/5/2022,89.3,"Brennan, Will",ground_ball,4,86.5,-17,0,,0.103,0.099,2
CH,10/5/2022,87.6,"Gonzalez, Oscar",popup,200,79.4,53,0,,0.06,0.066,3
CH,10/5/2022,86.7,"Naylor, Josh",ground_ball,83,87.7,5,0,,0.4,0.367,4
SL,10/5/2022,86.8,"Rosario, Amed",ground_ball,9,96.4,-11,0,,0.2,0.192,2
FF,10/3/2022,96.3,"Naylor, Bo",line_drive,303,104.2,15,96.9,2481,0.62,0.651,5
SL,10/3/2022,87.9,"Gonzalez, Oscar",fly_ball,325,94.1,35,87.7,2025,0.091,0.174,3
FF,10/3/2022,96.6,"Ramírez, José",ground_ball,19,107,-8,97,2318,0.349,0.314,2
SL,10/3/2022,86.7,"Brennan, Will",line_drive,329,90.2,23,86.7,2121,0.226,0.255,3
CH,10/3/2022,88.6,"Ramírez, José",ground_ball,13,90.3,-8,87.8,1328,0.166,0.159,2
CU,10/2/2022,78.4,"Brennan, Will",fly_ball,341,98.9,25,78.3,2646,0.477,0.725,6
FF,10/1/2022,97.8,"Kwan, Steven",line_drive,273,85.4,27,99,2423,0.106,0.114,3
FF,9/30/2022,95.5,"Brennan, Will",ground_ball,9,61.9,-13,95,2517,0.06,0.054,2
SI,9/29/2022,95,"Giménez, Andrés",fly_ball,312,95.5,35,95.2,2087,0.12,0.22,3
SI,9/29/2022,94.1,"Gonzalez, Oscar",ground_ball,14,49.3,-10,94.6,1994,0.129,0.124,1
FF,9/29/2022,94.5,"Rosario, Amed",ground_ball,4,63.1,-34,95.2,2335,0.06,0.054,2
FF,9/29/2022,94.4,"Kwan, Steven",line_drive,158,86.7,9,95,2170,0.454,0.409,4
SI,9/29/2022,94,"Straw, Myles",ground_ball,4,29.3,-25,94.6,2150,0.271,0.275,1
CH,9/28/2022,91,"Freeman, Tyler",ground_ball,4,87.2,-23,91.7,1997,0.094,0.089,2
SI,9/28/2022,96.7,"Rosario, Amed",line_drive,323,106.3,14,95.5,2029,0.7,0.752,5
SL,9/28/2022,86.2,"Arias, Gabriel",ground_ball,4,26.7,-27,86.3,2212,0.277,0.279,1
SL,9/27/2022,80.6,"Rosario, Amed",ground_ball,1,72,-58,80.9,2894,0.263,0.251,2
FF,9/27/2022,99,"Kwan, Steven",fly_ball,264,76.4,34,97.3,2326,0.197,0.193,3
CH,9/27/2022,89,"Straw, Myles",ground_ball,10,96.4,-13,89,2277,0.174,0.157,2
CH,9/27/2022,89.2,"Benson, Will",ground_ball,6,76.8,-24,89.9,2162,0.034,0.032,2
FF,9/27/2022,98.8,"Straw, Myles",ground_ball,7,91.5,-18,98.3,2356,0.097,0.087,2
FF,9/27/2022,93.1,"Ramírez, José",popup,136,55.3,53,94.9,2280,0.037,0.033,1
SL,9/27/2022,89.9,"Gonzalez, Oscar",ground_ball,1,,-57,89,2829,,,
CU,9/27/2022,80.3,"Rosario, Amed",line_drive,248,82.7,18,81.6,2631,0.897,0.864,4
SL,9/27/2022,87.8,"Naylor, Josh",fly_ball,256,80.1,43,86.8,2727,0.029,0.026,3
SI,9/27/2022,96.3,"Arias, Gabriel",ground_ball,7,74.2,-21,95.4,2051,0.049,0.052,2
FF,9/27/2022,91.2,"Naylor, Josh",ground_ball,3,86.9,-41,90.2,2267,0.066,0.059,2
SL,9/27/2022,87.8,"Ramírez, José",line_drive,152,54,31,86.8,2756,0.346,0.311,1
SL,9/27/2022,86.8,"Rosario, Amed",ground_ball,11,92.8,-11,86.3,2660,0.157,0.141,2
SL,9/25/2022,87.2,"Kwan, Steven",fly_ball,375,101.5,24,86.4,2280,0.683,1.115,6
CH,9/25/2022,83.3,"Gonzalez, Oscar",ground_ball,4,72.1,-21,82.9,1588,0.043,0.039,2
CH,9/25/2022,83.3,"Ramírez, José",line_drive,123,78.9,10,82.8,1522,0.38,0.342,4
SL,9/25/2022,85.4,"Arias, Gabriel",popup,173,64.5,49,84.2,2609,0.169,0.152,3
SL,9/25/2022,88.3,"Freeman, Tyler",ground_ball,18,100.1,-6,88.7,2350,0.28,0.252,2
SL,9/25/2022,88.6,"Arias, Gabriel",ground_ball,3,89.9,-26,88.3,2337,0.071,0.064,2
FF,9/24/2022,95.6,"Rosario, Amed",line_drive,366,98,20,96.9,2372,0.274,0.305,4
FF,9/24/2022,93.8,"Kwan, Steven",ground_ball,1,35.8,-66,95.6,2300,0.22,0.203,1
