pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,10/5/2022,97.1,"Gore, Terrance",ground_ball,7,86.4,-18,97.2,2181,0.1,0.096,2
SI,10/4/2022,97,"McCann, James",ground_ball,9,107.1,-10,96.4,2105,0.311,0.283,2
SI,10/4/2022,94.1,"Canha, Mark",ground_ball,1,67.5,-59,94.7,2050,0.26,0.237,2
SI,10/4/2022,92.7,"Naquin, Tyler",ground_ball,12,74,-10,91.9,2206,0.069,0.062,2
SI,10/4/2022,93.5,"McNeil, Jeff",line_drive,321,91.4,22,93.7,2392,0.237,0.264,3
SI,10/4/2022,94.4,"Vogelbach, Daniel",line_drive,197,73.3,21,94.3,2056,0.949,0.901,4
FC,10/4/2022,90.4,"Vientos, Mark",line_drive,327,94,24,90.1,2447,0.163,0.196,3
SI,10/2/2022,93.2,"Álvarez, Francisco",ground_ball,138,62,16,92.8,2363,0.349,0.314,2
CH,10/2/2022,88.5,"Escobar, Eduardo",fly_ball,272,80.9,36,88.1,1922,0.026,0.027,3
CH,10/2/2022,87.9,"Nido, Tomás",ground_ball,16,63.8,-3,87.8,1681,0.109,0.098,2
FF,10/2/2022,94,"Alonso, Pete",popup,222,73.2,47,93.8,2349,0.166,0.171,3
FC,10/1/2022,89.3,"Lindor, Francisco",ground_ball,5,100.9,-21,89.7,2279,0.174,0.173,2
FC,10/1/2022,89.4,"Alonso, Pete",fly_ball,347,93,35,89.8,2305,0.057,0.085,3
SI,9/30/2022,97.3,"Álvarez, Francisco",fly_ball,375,100.2,33,97.3,2416,0.406,0.802,6
FC,9/30/2022,90.3,"McNeil, Jeff",line_drive,163,88.8,10,91.6,2426,0.591,0.534,4
CH,9/28/2022,88.1,"Escobar, Eduardo",fly_ball,403,105.6,29,86,1955,0.894,1.843,6
SL,9/28/2022,86.3,"Lindor, Francisco",fly_ball,271,94,44,85.9,2607,0.011,0.017,3
FF,9/28/2022,95.5,"Lindor, Francisco",popup,133,92.1,66,94.2,2364,0.017,0.021,3
FF,9/28/2022,93,"Escobar, Eduardo",ground_ball,111,72.2,9,92.4,2183,0.229,0.206,2
FF,9/28/2022,93.6,"Canha, Mark",line_drive,275,86.2,23,92.8,2091,0.28,0.261,3
SI,9/28/2022,90.1,"Escobar, Eduardo",ground_ball,10,105.2,-11,90.7,2063,0.263,0.237,2
SI,9/28/2022,90.2,"McNeil, Jeff",popup,184,66.6,46,90.2,2026,0.289,0.297,3
FC,9/27/2022,89.6,"McCann, James",ground_ball,1,54.9,-57,88.9,2367,0.217,0.195,1
CH,9/27/2022,90,"Naquin, Tyler",fly_ball,280,91.3,44,88.6,1697,0.006,0.007,3
SI,9/27/2022,96,"Escobar, Eduardo",ground_ball,9,70.9,-10,95.2,2295,0.071,0.067,2
SI,9/25/2022,90.5,"Vientos, Mark",ground_ball,56,107.4,0,91,2261,0.483,0.447,4
FF,9/25/2022,88.6,"Gore, Terrance",popup,79,80.6,74,89.7,2129,0.011,0.014,3
SI,9/25/2022,90.1,"Guillorme, Luis",ground_ball,4,77.7,-36,90.8,2111,0.086,0.086,2
SI,9/25/2022,90.9,"Nido, Tomás",line_drive,388,102,21,91.6,2269,0.529,0.705,5
SI,9/25/2022,90,"Escobar, Eduardo",ground_ball,6,83.2,-18,90.6,2190,0.086,0.086,2
FC,9/25/2022,82.6,"McNeil, Jeff",ground_ball,8,97.2,-15,82.2,2162,0.197,0.194,2
CH,9/25/2022,84.2,"Alonso, Pete",fly_ball,348,101.6,24,84.7,1666,0.683,1.115,6
SI,9/25/2022,90.9,"Lindor, Francisco",ground_ball,104,97.4,3,91.1,2287,0.506,0.493,4
CU,9/25/2022,76.6,"Canha, Mark",line_drive,142,88.2,10,76.8,2136,0.571,0.514,4
FC,9/25/2022,82.5,"Nimmo, Brandon",line_drive,160,59.1,26,82.9,2292,0.517,0.465,1
FF,9/24/2022,93.9,"McNeil, Jeff",line_drive,190,94.8,7,94.6,2150,0.517,0.466,4
FF,9/24/2022,90.9,"Nido, Tomás",ground_ball,8,61,-21,90.1,2272,0.046,0.041,2
FF,9/24/2022,90.9,"Vientos, Mark",fly_ball,257,93.9,54,90,2264,0.006,0.005,3
FF,9/24/2022,97.7,"Alonso, Pete",fly_ball,328,99.1,39,99.1,2317,0.146,0.284,3
SL,9/24/2022,87.5,"Lindor, Francisco",line_drive,273,102.2,15,89.4,2287,0.626,0.641,4
CU,9/23/2022,76.9,"McNeil, Jeff",ground_ball,45,77.2,2,77.8,2359,0.163,0.147,2
FC,9/23/2022,85.3,"Escobar, Eduardo",line_drive,349,101,21,87,2191,0.454,0.604,5
FF,9/23/2022,89.7,"Lindor, Francisco",popup,181,81,60,91.1,1892,0.034,0.038,3
FC,9/23/2022,86.6,"McNeil, Jeff",fly_ball,378,100.3,24,87.9,2191,0.497,0.745,6
FC,9/23/2022,86.8,"Escobar, Eduardo",ground_ball,6,79.1,-18,88.1,2235,0.06,0.062,2
SL,9/21/2022,86.2,"Lindor, Francisco",popup,30,62.7,80,85.1,2562,0.006,0.005,3
SL,9/21/2022,83.6,"Nido, Tomás",ground_ball,95,65.8,11,84.6,2701,0.286,0.268,2
SI,9/20/2022,93.9,"Lindor, Francisco",fly_ball,413,104.4,32,92.8,2153,0.709,1.442,6
SI,9/19/2022,95.3,"McNeil, Jeff",ground_ball,4,94.6,-31,95.9,2062,0.114,0.115,2
SL,9/19/2022,83.2,"Lindor, Francisco",fly_ball,340,95.4,29,84.1,2574,0.177,0.298,5
SI,9/19/2022,94.2,"Nimmo, Brandon",ground_ball,5,106.9,-21,93.4,2023,0.177,0.159,2
SL,9/19/2022,81.2,"Nido, Tomás",line_drive,148,86.2,11,80.5,2654,0.577,0.519,4
FF,9/19/2022,94,"Alonso, Pete",fly_ball,215,73.4,46,94.1,2475,0.171,0.173,3
SI,9/19/2022,95.4,"Naquin, Tyler",ground_ball,5,109.6,-17,94.3,2140,0.197,0.177,2
SL,9/19/2022,80.7,"Canha, Mark",fly_ball,266,79.2,38,79.9,2727,0.046,0.044,3
