pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,10/5/2022,96.4,"DeJong, Paul",line_drive,89,98.7,3,97.3,2235,0.463,0.417,4
CH,10/4/2022,83.8,"Donovan, Brendan",ground_ball,9,95.6,-8,84,1385,0.234,0.224,2
CU,10/4/2022,75.4,"DeLuzio, Ben",line_drive,166,95.9,10,74.8,2453,0.703,0.661,4
CU,10/4/2022,78.2,"DeJong, Paul",fly_ball,239,86,49,77.6,2555,0.003,0.003,3
FC,10/4/2022,91.5,"Burleson, Alec",ground_ball,64,84.4,3,91.7,1975,0.294,0.268,2
FF,10/4/2022,92.7,"Knizner, Andrew",line_drive,187,81.3,13,92.2,2404,0.614,0.561,4
FF,10/4/2022,92.2,"Carlson, Dylan",ground_ball,7,87.6,-20,91.7,2502,0.109,0.109,2
CU,10/4/2022,79.3,"Yepez, Juan",line_drive,223,96.9,13,78.5,2590,0.926,0.909,4
FC,10/4/2022,91.8,"Dickerson, Corey",ground_ball,135,93.7,9,91.6,2134,0.62,0.577,4
FF,10/3/2022,99.6,"Nootbaar, Lars",ground_ball,46,94.8,-1,100,2215,0.357,0.356,2
SI,10/3/2022,93.5,"DeLuzio, Ben",ground_ball,1,51.9,-77,93.8,1916,0.169,0.152,1
FS,10/2/2022,89.9,"Dickerson, Corey",ground_ball,13,85.5,-8,91.3,1471,0.126,0.119,2
SL,10/2/2022,84.9,"Donovan, Brendan",fly_ball,366,98.8,33,84.5,2931,0.32,0.624,5
FF,10/2/2022,97.2,"DeLuzio, Ben",popup,152,66.7,57,96.8,2405,0.046,0.041,3
SI,10/2/2022,95.3,"Dickerson, Corey",popup,217,77.6,49,97.2,2151,0.06,0.057,3
CU,10/1/2022,82.8,"Dickerson, Corey",ground_ball,129,71.9,11,82.7,2494,0.294,0.265,2
SL,10/1/2022,88.9,"Knizner, Andrew",ground_ball,8,88.8,-15,89,2102,0.12,0.112,2
SL,10/1/2022,84.6,"Burleson, Alec",ground_ball,1,62.7,-65,84.3,2484,0.266,0.253,2
CU,10/1/2022,82.2,"Carlson, Dylan",line_drive,157,97.9,9,82.2,2433,0.666,0.611,4
SL,10/1/2022,83,"Yepez, Juan",popup,87,70.9,69,82.8,2504,0,0,3
FF,10/1/2022,93,"Nootbaar, Lars",line_drive,187,90.2,11,93.1,1993,0.7,0.64,4
SI,10/1/2022,100,"DeLuzio, Ben",ground_ball,1,76.7,-75,100.6,2041,0.237,0.213,2
