pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,10/5/2022,88.7,"Siri, Jose",line_drive,300,99.4,16,89.7,2390,0.586,0.578,4
FF,10/5/2022,94.5,"Aranda, Jonathan",fly_ball,260,84.3,43,94.4,2249,0.02,0.027,3
SI,10/3/2022,92.8,"Paredes, Isaac",ground_ball,9,102.6,-12,92.6,2191,0.266,0.248,2
KC,10/3/2022,85.3,"Margot, Manuel",ground_ball,4,71.9,-19,85.7,2113,0.049,0.044,2
KC,10/3/2022,82.9,"Ramírez, Harold",ground_ball,9,100.5,-13,82.8,2113,0.22,0.198,2
CH,10/2/2022,91.6,"Walls, Taylor",ground_ball,14,76.6,-4,91.1,2119,0.109,0.098,2
FF,10/2/2022,96.9,"Mastrobuoni, Miles",fly_ball,299,86.4,36,96.3,2311,0.011,0.014,3
SI,10/2/2022,95.6,"Bethancourt, Christian",ground_ball,84,96.8,5,94.7,2240,0.537,0.515,4
SL,10/1/2022,89.3,"Ramírez, Harold",line_drive,250,76.3,26,89,2840,0.629,0.598,4
CU,10/1/2022,81.3,"Díaz, Yandy",ground_ball,5,96.4,-20,80,3345,0.117,0.105,2
KC,10/1/2022,83.2,"Aranda, Jonathan",ground_ball,9,87.7,-14,82.6,1926,0.114,0.103,2
SI,9/30/2022,94.2,"Ramírez, Harold",popup,110,53.4,59,93.5,2416,0.017,0.015,1
FF,9/29/2022,95.2,"Paredes, Isaac",popup,183,64,43,95.6,2453,0.354,0.319,3
FC,9/29/2022,92.4,"Paredes, Isaac",fly_ball,249,87.5,49,92.3,2433,0.009,0.008,3
FC,9/29/2022,93.2,"Margot, Manuel",ground_ball,7,82,-22,92.2,2316,0.046,0.041,2
SL,9/28/2022,88.9,"Siri, Jose",ground_ball,9,97.1,-8,88.3,2423,0.229,0.206,2
FS,9/27/2022,87.7,"Ramírez, Harold",ground_ball,59,106.5,1,88.3,1110,0.466,0.419,4
FF,9/27/2022,94.9,"Walls, Taylor",fly_ball,248,91.8,53,93.9,2307,0.009,0.008,3
FF,9/27/2022,95.5,"Díaz, Yandy",ground_ball,3,109.6,-23,94.9,2493,0.169,0.152,2
FF,9/27/2022,95.4,"Margot, Manuel",line_drive,177,91.5,9,95.3,2523,0.617,0.572,4
CH,9/25/2022,86.8,"Bethancourt, Christian",line_drive,123,100.3,5,88.2,1643,0.623,0.586,4
SI,9/24/2022,94,"Choi, Ji-Man",ground_ball,9,65.3,-14,94.7,2287,0.043,0.039,2
SI,9/24/2022,93.6,"Mejía, Francisco",ground_ball,9,65.7,-19,94.1,2357,0.046,0.042,2
SI,9/24/2022,94.8,"Arozarena, Randy",ground_ball,14,97.9,-4,94.3,2115,0.317,0.308,2
