pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,94.8,"Moreno, Gabriel",ground_ball,8,78.9,-10,94.7,2036,0.117,0.128,2
FF,10/5/2022,96.1,"Merrifield, Whit",ground_ball,10,92.8,-17,97.1,2293,0.146,0.139,2
FC,10/5/2022,87.8,"Merrifield, Whit",ground_ball,54,72.3,3,87.7,2317,0.151,0.144,2
FC,10/5/2022,86.6,"Hernández, Teoscar",line_drive,274,86.4,23,86.8,2216,0.28,0.261,3
CH,10/5/2022,84.2,"Lopez, Otto",line_drive,145,72.9,13,84.2,2065,0.377,0.339,4
SI,10/5/2022,97,"Lopez, Otto",line_drive,167,99.8,8,95.6,2262,0.671,0.622,4
CH,10/5/2022,82.8,"Lopez, Otto",fly_ball,223,76.8,48,83,1326,0.077,0.077,3
SL,10/5/2022,86.5,"Zimmer, Bradley",ground_ball,3,35.8,-48,85.9,2588,0.26,0.259,1
KC,10/5/2022,79.5,"Zimmer, Bradley",line_drive,164,57.3,37,79.2,2336,0.363,0.327,1
SL,10/3/2022,86,"Chapman, Matt",ground_ball,16,71.5,-5,84.5,2368,0.089,0.082,2
CH,10/3/2022,88.9,"Kirk, Alejandro",line_drive,161,73,14,87.7,1824,0.483,0.435,4
CH,10/3/2022,81.4,"Merrifield, Whit",ground_ball,14,86.1,-5,80.2,2018,0.126,0.113,2
FF,10/2/2022,99.9,"Guerrero Jr., Vladimir",line_drive,280,81.7,25,99.4,2454,0.283,0.276,3
SL,10/2/2022,86.6,"Merrifield, Whit",ground_ball,13,96.4,-10,86.9,2139,0.191,0.172,2
CH,10/2/2022,91.2,"Bichette, Bo",ground_ball,2,84.9,-29,91.3,2035,0.043,0.039,2
SL,10/2/2022,85.8,"Springer, George",ground_ball,7,66.6,-16,85.6,2327,0.037,0.033,2
FF,10/2/2022,96.8,"Bradley Jr., Jackie",ground_ball,13,101.6,-11,96.1,2441,0.257,0.231,2
