pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,10/5/2022,91,,,,91.1,2326,,,
FF,10/5/2022,90.7,,,,90.5,2300,,,
FF,10/5/2022,90.9,,,,91.6,2205,,,
SL,10/5/2022,84.3,,,,84.7,2332,,,
FF,10/5/2022,90.9,line_drive,99.2,8,90.2,2358,0.637,0.576,4
FF,10/5/2022,90.1,,,,90.7,2179,,,
CH,10/5/2022,83,,,,82.8,1614,,,
CH,10/5/2022,84.7,,75,-26,85.3,1887,,,
CU,10/5/2022,77.3,,,,77.6,2410,,,
FF,10/5/2022,91.2,,,,91.4,2332,,,
SL,10/5/2022,83.3,,,,83.5,2327,,,
SL,10/5/2022,83,,,,83.6,2272,,,
FF,10/5/2022,90.8,,62.6,46,91.1,2211,,,
CH,10/5/2022,86.8,,,,86.3,1863,,,
FF,10/5/2022,89.8,,,,89.6,2228,,,
CH,10/5/2022,84.1,fly_ball,74.6,44,84.1,1753,0.143,0.151,3
FF,10/5/2022,90.4,,,,90.9,2181,,,
FF,10/5/2022,90.6,ground_ball,89.2,-2,90.3,2250,0.234,0.223,2
FF,10/5/2022,89.6,,77.8,32,89.9,2280,,,
CH,10/5/2022,83.6,,,,83.9,1678,,,
CH,10/5/2022,82.6,,,,82.7,1650,,,
FF,10/5/2022,91.1,ground_ball,86.3,-5,91.3,2311,0.126,0.113,2
SI,10/5/2022,88.5,,,,88.1,1885,,,
FF,10/5/2022,91.1,,,,91,2327,,,
SL,10/5/2022,81.3,,,,81.7,2320,,,
FF,10/5/2022,90.5,,73.6,39,90.1,2251,,,
FF,10/5/2022,91.5,,,,91.5,2241,,,
FF,10/5/2022,89.9,,75.5,9,90.1,2229,,,
CH,10/5/2022,84,,,,84.3,1550,,,
CH,10/5/2022,82.8,line_drive,82.4,26,83.2,1763,0.229,0.235,3
CU,10/5/2022,78.5,,,,78,2258,,,
FF,10/5/2022,91.2,ground_ball,96.4,3,91.8,2224,0.474,0.455,4
FF,10/5/2022,91.4,,84.6,52,91.6,2328,,,
FF,10/5/2022,90.3,,,,90.2,2348,,,
SL,10/5/2022,82.6,line_drive,84.7,10,82.7,2170,0.503,0.454,4
FF,10/5/2022,90.8,,,,91,2352,,,
FF,10/5/2022,91.5,,,,91.8,2276,,,
FF,10/5/2022,91.1,,80.9,21,91.4,2223,,,
CH,10/5/2022,85.5,,,,85.6,1743,,,
CH,10/5/2022,84.5,,,,85.1,1772,,,
FF,10/5/2022,91.2,,,,91.1,2256,,,
FF,10/5/2022,91.2,,,,91.6,2267,,,
FF,10/5/2022,91.3,fly_ball,97.3,40,91,2307,0.063,0.112,3
CU,10/5/2022,78.2,ground_ball,86.2,7,79,2267,0.423,0.381,4
FF,10/5/2022,91.4,fly_ball,78.3,48,90.9,2233,0.071,0.078,3
FF,10/5/2022,92.9,,86.9,35,92.4,2284,,,
CH,10/5/2022,83.6,,,,83.9,1712,,,
FF,10/5/2022,90.8,,,,90.5,2257,,,
CH,10/5/2022,84.1,,,,84.6,1837,,,
CU,10/5/2022,79,,,,78.8,2206,,,
FF,10/5/2022,97.1,,,,97.8,2294,,,
SL,10/5/2022,86.7,,,,87.7,2294,,,
SL,10/5/2022,87.4,,,,88.4,2420,,,
CH,10/5/2022,88.6,,63.8,-34,89.3,1721,,,
SL,10/5/2022,86.4,,,,87.3,2394,,,
FF,10/5/2022,96.4,,,,96.9,2506,,,
FF,10/5/2022,95.5,,,,96.4,2361,,,
CH,10/5/2022,87.8,,,,88.4,1531,,,
SI,10/5/2022,92.5,ground_ball,65.8,-58,91.9,1986,0.26,0.24,2
FF,10/5/2022,95.9,,,,96.6,2392,,,
SI,10/5/2022,91.9,,,,90.5,1999,,,
SL,10/5/2022,87.9,,,,88.2,2367,,,
SI,10/5/2022,91.7,,,,90,2069,,,
SL,10/5/2022,85.7,,,,86.1,2387,,,
SL,10/5/2022,82.3,line_drive,81,28,81.2,2449,0.146,0.133,3
CH,10/5/2022,87.8,ground_ball,71.3,-6,88.3,1459,0.083,0.076,2
SI,10/5/2022,91.7,,,,90.2,2069,,,
CH,10/5/2022,88.2,,72.1,23,89.2,1682,,,
CH,10/5/2022,87.3,,89.9,-24,86.6,1332,,,
FF,10/5/2022,95.4,,86.7,85,95.5,2352,,,
CH,10/5/2022,87,,,,86.2,1237,,,
SI,10/5/2022,92,,,,90.6,2092,,,
FF,10/5/2022,97.3,,,,97.6,2421,,,
CH,10/5/2022,85.6,ground_ball,67.8,-1,86.4,1845,0.12,0.114,2
SI,10/5/2022,92.2,,,,90.5,2019,,,
SI,10/5/2022,91.6,ground_ball,81.2,-35,90.3,1948,0.069,0.064,2
CH,10/5/2022,86.6,,,,87.7,2006,,,
SI,10/5/2022,91.8,line_drive,86.1,19,90.3,2009,0.703,0.68,4
FF,10/5/2022,94.3,,,,94.8,2402,,,
FF,10/5/2022,95.9,,,,96.3,2434,,,
SI,10/5/2022,91.5,,,,89.8,2011,,,
FS,10/4/2022,86.2,,,,84.7,1374,,,
SL,10/4/2022,85.9,,69.8,58,84.1,2226,,,
FC,10/4/2022,87.2,,,,86.7,2146,,,
FF,10/4/2022,89.9,,,,88.4,2003,,,
SL,10/4/2022,83.1,fly_ball,101.7,37,82.3,2528,0.377,0.746,5
CH,10/4/2022,85.6,,,,85.2,1523,,,
SL,10/4/2022,83.9,,68.3,22,83.9,2415,,,
SI,10/4/2022,89,,,,88.3,2050,,,
FF,10/4/2022,89.6,line_drive,101.1,14,89.2,2236,0.771,0.784,4
FF,10/4/2022,92.4,,,,92.2,2223,,,
FF,10/4/2022,91,,,,90.6,2243,,,
SI,10/4/2022,90.5,,,,90.3,2131,,,
SL,10/4/2022,85.5,,,,85.2,2438,,,
FF,10/4/2022,94.8,,,,95,2302,,,
FF,10/4/2022,93.9,,,,94.2,2253,,,
SL,10/4/2022,78.9,,51.3,-11,78.5,2451,,,
FF,10/4/2022,94.4,,,,93.7,2382,,,
SL,10/4/2022,79.2,,,,78.6,2511,,,
FF,10/4/2022,94.5,,,,94.4,2323,,,
SL,10/4/2022,79,fly_ball,80.4,47,78.6,2383,0.034,0.033,3
FF,10/4/2022,92.8,,79.7,84,93,2142,,,
SL,10/4/2022,80.2,,,,79.6,2353,,,
FF,10/4/2022,94,line_drive,104,12,93.5,2228,0.889,0.893,4
FF,10/4/2022,94.7,,,,94,2274,,,
FF,10/4/2022,94.5,line_drive,83.5,13,94.3,2294,0.749,0.703,4
SL,10/4/2022,79,,,,78.3,2327,,,
FF,10/4/2022,94.7,,,,94.2,2209,,,
CH,10/4/2022,87.5,,,,87.3,1797,,,
FF,10/4/2022,94,,73.8,17,93.4,2199,,,
FF,10/4/2022,93.1,,70.5,66,92.7,2290,,,
FF,10/4/2022,92.8,,,,92.7,2248,,,
FF,10/4/2022,93.3,,,,93.5,2302,,,
CH,10/4/2022,88.2,ground_ball,77,10,88.4,1808,0.323,0.291,4
SL,10/4/2022,82,,,,81.8,2664,,,
FF,10/4/2022,95.4,,73.7,32,97.6,2272,,,
FF,10/4/2022,95,,,,94.5,2397,,,
SL,10/4/2022,83.5,,,,83.6,2729,,,
FF,10/4/2022,95.1,,,,96.3,2201,,,
FF,10/4/2022,95.3,,80.5,8,94.4,2422,,,
FF,10/4/2022,94.2,,,,95.2,2261,,,
SI,10/4/2022,94.4,,,,94.8,2354,,,
SL,10/4/2022,81.4,,,,80.2,2509,,,
SL,10/4/2022,85.1,,,,86,2274,,,
SL,10/4/2022,82.6,,,,82.4,2651,,,
FF,10/4/2022,94.5,,,,93.3,2387,,,
FF,10/4/2022,93.9,,,,92.4,2353,,,
SL,10/4/2022,82.9,,,,82.2,2667,,,
FF,10/4/2022,96.3,,,,97.1,2355,,,
SL,10/4/2022,78.6,,74.1,77,77.6,2422,,,
SI,10/4/2022,93.9,,79,12,94,2296,,,
FF,10/4/2022,95.4,fly_ball,88.1,39,96.3,2207,0.011,0.016,3
SI,10/4/2022,94.1,ground_ball,75.7,-57,95,2206,0.234,0.212,2
FF,10/4/2022,95.5,,,,94.7,2385,,,
FF,10/4/2022,95.7,,,,96.7,2409,,,
SL,10/4/2022,85.6,ground_ball,55.8,-15,84.8,2800,0.083,0.081,1
CH,10/4/2022,87.6,,,,87.3,1771,,,
SL,10/4/2022,86,,,,87.4,2295,,,
SL,10/4/2022,81.5,,69.4,47,81.8,2644,,,
SL,10/4/2022,85.2,,,,83.4,2781,,,
CH,10/4/2022,88.1,,,,87.2,1828,,,
FF,10/4/2022,95.1,,74.3,48,96.8,2268,,,
SI,10/4/2022,93.3,,,,93.7,2154,,,
SL,10/4/2022,84.7,,,,82.9,2857,,,
CH,10/4/2022,88.9,ground_ball,84.8,-23,89.2,1596,0.083,0.085,2
FF,10/4/2022,94.9,,,,96.1,2335,,,
FF,10/4/2022,94.8,,,,94.3,2273,,,
SL,10/4/2022,84.9,,,,83.4,2968,,,
CH,10/4/2022,87.6,,,,88.3,1917,,,
FF,10/4/2022,94.2,line_drive,102.1,9,94,2237,0.737,0.684,4
SL,10/4/2022,87.1,,,,88.2,2418,,,
FF,10/4/2022,94.4,ground_ball,98.9,0,93,2489,0.414,0.399,4
SL,10/4/2022,85.3,popup,73.6,74,86.6,2286,0,0,3
SL,10/4/2022,79.4,,,,79.5,2658,,,
FF,10/4/2022,94.2,,75.8,40,93.8,2271,,,
FF,10/4/2022,95.8,,,,97.2,2231,,,
SI,10/4/2022,94.6,line_drive,93.8,18,94.5,2117,0.474,0.479,4
FF,10/4/2022,95.8,line_drive,56.5,18,97.2,2325,0.311,0.28,1
FF,10/4/2022,94.1,,104,-32,92.8,2336,,,
SL,10/4/2022,79.9,,,,79,2349,,,
SL,10/4/2022,84.1,,,,82.9,2811,,,
SL,10/4/2022,91.1,ground_ball,96.7,-11,92.2,2497,0.203,0.183,2
FF,10/4/2022,94.9,,51.9,-57,95.9,2206,,,
SI,10/4/2022,94.9,,,,95.1,2295,,,
FF,10/4/2022,93.7,popup,89.7,61,92.9,2269,0.006,0.006,3
SL,10/4/2022,84.9,,,,83.9,2779,,,
SL,10/4/2022,84,,,,84.7,2203,,,
FF,10/4/2022,93.7,,,,92.6,2254,,,
SI,10/4/2022,94,,78.4,51,94,2305,,,
FF,10/4/2022,99.5,,,,99.1,2616,,,
SL,10/4/2022,85.9,,,,84.8,2764,,,
SI,10/4/2022,95.8,ground_ball,77.4,-52,96.6,2163,0.189,0.17,2
FF,10/4/2022,95.4,,,,95,2313,,,
SL,10/4/2022,91,,,,91.7,2431,,,
SL,10/4/2022,82.1,,,,81.6,2682,,,
FF,10/4/2022,93.2,,,,93.7,2054,,,
CH,10/4/2022,87.6,,75.1,-20,88.2,1643,,,
FF,10/4/2022,95.2,,,,94.6,2310,,,
FF,10/4/2022,93.7,line_drive,92.9,16,94.7,2159,0.746,0.741,4
FF,10/4/2022,94.5,,,,93.4,2484,,,
FF,10/4/2022,97.3,,,,96.9,2395,,,
SL,10/4/2022,82.1,,,,82.6,2624,,,
FF,10/4/2022,93.9,,82.3,66,92.9,2423,,,
FF,10/4/2022,94.4,,,,94.3,2351,,,
SL,10/4/2022,89.8,fly_ball,99.2,28,89.6,2427,0.446,0.774,6
SL,10/4/2022,87.5,,98.2,-4,87.7,2403,,,
SL,10/4/2022,82.7,,,,82.4,2606,,,
FF,10/4/2022,97,,,,98.3,2371,,,
SI,10/4/2022,93.6,,72,13,94.1,2226,,,
FF,10/4/2022,94.3,,77,17,93.8,2319,,,
FF,10/4/2022,95.3,,,,95.4,2396,,,
FF,10/4/2022,95.3,ground_ball,99.1,2,94.2,2536,0.426,0.384,4
CU,10/4/2022,81.6,,,,81.8,2425,,,
SL,10/4/2022,91.4,,,,91.8,2520,,,
FF,10/4/2022,94.2,,,,92.8,2656,,,
CH,10/4/2022,89.3,fly_ball,90.9,36,89.6,1526,0.037,0.054,3
SL,10/4/2022,85.7,,,,87.1,2264,,,
SL,10/4/2022,89.9,,,,90.4,2435,,,
SI,10/4/2022,93.5,,,,93.8,2196,,,
CU,10/4/2022,74.1,,,,73.5,2397,,,
FF,10/4/2022,97.3,,,,98,2458,,,
SL,10/4/2022,82.1,,,,82.5,2598,,,
FF,10/4/2022,94.9,,,,94.4,2360,,,
CH,10/4/2022,87.6,,,,88.4,1451,,,
SL,10/4/2022,83.8,,,,82,2894,,,
FF,10/4/2022,94.5,ground_ball,99.9,-12,95.2,2358,0.251,0.245,2
SL,10/4/2022,86.7,,,,88.4,2351,,,
SI,10/4/2022,95.1,,65.1,3,96.2,2040,,,
FF,10/4/2022,95.1,,70.5,32,94.6,2257,,,
FF,10/4/2022,93.4,,,,91.5,2617,,,
FF,10/4/2022,96.7,,,,96.1,2401,,,
SL,10/4/2022,79.8,,65.8,39,80.1,2591,,,
FF,10/4/2022,93.7,,,,91.5,2435,,,
FF,10/4/2022,95.4,,,,95.7,2339,,,
SL,10/4/2022,90.1,,,,90.9,2301,,,
FF,10/4/2022,94.1,popup,80.6,64,95.5,2235,0.006,0.005,3
SL,10/4/2022,80.3,,,,79.2,2488,,,
SL,10/4/2022,80,,,,80.5,2610,,,
FF,10/4/2022,95,,,,96.1,2236,,,
SL,10/4/2022,81.5,,,,80.8,2546,,,
FF,10/4/2022,95.8,,,,96.6,2384,,,
SL,10/4/2022,80.3,,,,79.8,2673,,,
SL,10/4/2022,84.4,,58.8,68,83.4,2573,,,
SL,10/4/2022,90.4,,,,91,2301,,,
SL,10/4/2022,86.4,,,,86.8,2564,,,
FF,10/4/2022,93,,78.3,64,91.9,2313,,,
FF,10/4/2022,95.1,ground_ball,92.4,-47,96,2312,0.083,0.075,2
SI,10/4/2022,92.4,,,,92.4,2160,,,
FF,10/4/2022,93.5,,,,92.3,2345,,,
SL,10/4/2022,89.9,,,,90.2,2297,,,
FF,10/4/2022,94.1,,,,93.1,2286,,,
FF,10/4/2022,93.5,,77.8,51,92.1,2544,,,
SL,10/4/2022,79.5,,,,78.9,2606,,,
FF,10/4/2022,92.8,,,,93.7,2205,,,
CH,10/4/2022,89,,,,89.7,1892,,,
SL,10/4/2022,89.3,,,,90.5,2357,,,
SL,10/4/2022,88.6,,,,89.9,2304,,,
FF,10/4/2022,94.8,,,,95.4,2287,,,
SL,10/4/2022,79.1,,,,78.8,2589,,,
FF,10/4/2022,91.5,,,,90.1,2499,,,
FF,10/4/2022,94.5,,,,94,2276,,,
SL,10/4/2022,85.2,,,,85.6,2541,,,
CU,10/2/2022,79.5,ground_ball,49.2,-66,77.9,3210,0.214,0.193,1
SI,10/2/2022,94.3,,,,94.3,2351,,,
CU,10/2/2022,82.1,,,,80.9,3367,,,
SI,10/2/2022,95.6,,,,95.5,2427,,,
SL,10/2/2022,87.7,,,,87.6,2368,,,
CU,10/2/2022,78.6,,,,77.2,3165,,,
FF,10/2/2022,92.7,,,,92.3,2264,,,
SI,10/2/2022,94.5,,,,94.2,2381,,,
SI,10/2/2022,95,,,,94.5,2361,,,
SI,10/2/2022,91.9,,60.5,-34,91.4,2302,,,
SL,10/2/2022,85.8,,,,85.1,2380,,,
CU,10/2/2022,78.6,fly_ball,108,32,77.1,3196,0.889,1.856,6
FF,10/2/2022,92.4,,,,91.6,2244,,,
CU,10/2/2022,78.1,,,,76.3,3178,,,
FF,10/2/2022,95.5,,,,94.5,2484,,,
CH,10/2/2022,86.6,,,,86.2,2022,,,
CU,10/2/2022,80.9,ground_ball,108.9,6,79.8,3272,0.669,0.628,4
CH,10/2/2022,87,,,,86.7,1903,,,
CU,10/2/2022,82.1,,,,81.1,3241,,,
SI,10/2/2022,93.2,,,,93.1,1964,,,
SL,10/2/2022,87.4,,,,87.3,2829,,,
SI,10/2/2022,95,,,,94.9,2320,,,
CH,10/2/2022,86.6,,,,86.1,1995,,,
CH,10/2/2022,88,,,,87.9,1169,,,
CU,10/2/2022,79.6,,,,78,3177,,,
FF,10/2/2022,94,,,,93.6,2345,,,
SL,10/2/2022,87.7,,,,87.6,2809,,,
SL,10/2/2022,84.9,,,,84.9,2290,,,
CH,10/2/2022,88,,,,88,1176,,,
FF,10/2/2022,94,,,,93.2,2365,,,
FF,10/2/2022,97,,,,96.5,2500,,,
FF,10/2/2022,95.7,,78.5,58,94.8,2463,,,
SL,10/2/2022,82.5,,,,82.2,2171,,,
FF,10/2/2022,96.2,ground_ball,108,-13,96,2243,0.24,0.216,2
CU,10/2/2022,79.9,,,,78.5,3209,,,
CH,10/2/2022,84.9,,77.4,-26,84.6,1976,,,
SI,10/2/2022,92.8,,,,92.3,2024,,,
FF,10/2/2022,95.8,line_drive,87,13,95,2561,0.823,0.758,4
CH,10/2/2022,88.3,ground_ball,92.6,-26,88.2,1109,0.071,0.064,2
CU,10/2/2022,79.3,,,,78.1,3277,,,
CU,10/2/2022,78.6,,,,77.1,3221,,,
SL,10/2/2022,84.1,,80.1,25,83.6,2781,,,
SI,10/2/2022,92,,,,91.7,2001,,,
CH,10/2/2022,84.6,,,,84.4,1760,,,
CH,10/2/2022,87.5,,,,87.7,1155,,,
CU,10/2/2022,78,,,,76.4,3211,,,
SL,10/2/2022,86.7,,70.5,63,86,2594,,,
CH,10/2/2022,87.8,,,,87.8,1072,,,
CU,10/2/2022,79.8,ground_ball,95.1,-6,78.6,3284,0.24,0.219,2
SI,10/2/2022,91.8,,,,91.8,1922,,,
FF,10/2/2022,95.6,,77.6,64,95,2625,,,
SL,10/2/2022,92.8,,,,94.8,2373,,,
CU,10/2/2022,81.1,,,,80.4,3197,,,
FF,10/2/2022,93.8,,80.4,57,93.1,2132,,,
FF,10/2/2022,94.5,,,,94.1,2524,,,
FF,10/2/2022,100.4,,,,101.4,2372,,,
CH,10/2/2022,87.9,,,,87.9,1042,,,
CH,10/2/2022,87.8,,,,87.4,1136,,,
SL,10/2/2022,91.4,,,,92.8,2216,,,
CH,10/2/2022,84.1,,,,83.8,1829,,,
SL,10/2/2022,87.8,,70.7,-24,87.4,2417,,,
SI,10/2/2022,92.1,,,,92.2,1888,,,
SL,10/2/2022,91,line_drive,91.8,23,92,2288,0.183,0.218,3
CU,10/2/2022,77.6,,,,76,3132,,,
SL,10/2/2022,84.9,,,,84.1,2759,,,
SL,10/1/2022,84.6,ground_ball,77.8,-4,84.4,2274,0.114,0.103,2
CU,10/1/2022,74,,,,73.6,2806,,,
FF,10/1/2022,94.6,,75,22,94.2,2412,,,
CH,10/1/2022,84.9,,64.8,-45,85.1,1259,,,
FF,10/1/2022,94,,,,93.4,2221,,,
SL,10/1/2022,84.4,,55.2,4,84.1,2400,,,
SL,10/1/2022,83.3,,,,83.3,2339,,,
SL,10/1/2022,84.2,,,,83.8,2353,,,
SL,10/1/2022,83.8,,,,83.6,2272,,,
CU,10/1/2022,74.5,ground_ball,94,-12,73.8,2815,0.163,0.149,2
CH,10/1/2022,83.1,fly_ball,95.9,34,83.3,1144,0.134,0.247,3
CU,10/1/2022,74.3,,,,73.6,3013,,,
FF,10/1/2022,94.8,,,,94.2,2352,,,
SL,10/1/2022,84,,104.6,23,83.7,2277,,,
FF,10/1/2022,93.5,,,,93,2353,,,
FF,10/1/2022,93.9,fly_ball,101.1,49,93.5,2383,0.014,0.018,3
CH,10/1/2022,82.2,,,,82,1355,,,
FC,10/1/2022,88.8,,,,88.6,2418,,,
CU,10/1/2022,75.2,,,,74.7,2808,,,
FF,10/1/2022,92.9,fly_ball,107.7,29,92.6,2402,0.966,2.009,6
SL,10/1/2022,84.9,,,,85.2,2409,,,
SL,10/1/2022,84.8,,,,85,2406,,,
CH,10/1/2022,82.9,,,,83.1,1225,,,
SL,10/1/2022,84.6,,,,84.5,2403,,,
SL,10/1/2022,85.2,,,,85.3,2509,,,
SL,10/1/2022,84.1,fly_ball,67.5,38,83.8,2424,0.646,0.652,4
FF,10/1/2022,93,,,,93,2396,,,
SL,10/1/2022,85.2,,70.8,66,85.3,2631,,,
SL,10/1/2022,84.4,,,,84.2,2546,,,
FF,10/1/2022,94,,74.7,34,93.6,2522,,,
FF,10/1/2022,93.3,,,,93,2589,,,
CU,10/1/2022,83.1,,,,84.3,2576,,,
SI,10/1/2022,94.2,,53.7,-28,95.9,1992,,,
SI,10/1/2022,95.3,ground_ball,78.6,-9,96,2334,0.103,0.1,2
FF,10/1/2022,95.4,,,,96.9,2199,,,
FF,10/1/2022,95.6,,,,97.3,2199,,,
SI,10/1/2022,94.6,,,,95.3,2296,,,
FC,10/1/2022,87.1,ground_ball,95.3,-3,87.6,2629,0.294,0.276,2
SL,10/1/2022,85.8,,,,87.1,2363,,,
FF,10/1/2022,94.9,,,,96.5,2181,,,
SI,10/1/2022,93.7,,78.7,46,94.3,2339,,,
FF,10/1/2022,95.7,ground_ball,87.4,-4,97.5,2293,0.154,0.139,2
SL,10/1/2022,84.7,,,,85,2745,,,
SL,10/1/2022,82.8,,,,83,2857,,,
CU,10/1/2022,82.3,,,,83.3,2504,,,
SI,10/1/2022,95,,,,95.8,2489,,,
