pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
CH,10/5/2022,83.2,ground_ball,70.4,-21,84.6,1634,0.049,0.047,2
CH,10/5/2022,82.5,fly_ball,107.3,26,83.7,1585,0.963,1.957,6
CH,10/5/2022,82.8,,,,83.8,1432,,,
FF,10/5/2022,91.8,,,,93,2165,,,
CU,10/5/2022,75.2,ground_ball,96.4,5,75.5,2230,0.509,0.495,4
FF,10/5/2022,92.2,,,,93.4,2100,,,
FF,10/5/2022,91.7,,,,92.8,2242,,,
CH,10/5/2022,82.4,,,,83.7,1701,,,
CH,10/5/2022,82.9,ground_ball,24.8,-10,84.2,1688,0.263,0.27,1
CH,10/5/2022,83.5,ground_ball,51,-47,85,1527,0.166,0.149,1
FF,10/5/2022,90.8,,,,92.3,2129,,,
FF,10/5/2022,91.8,,,,93.5,2214,,,
FF,10/5/2022,91.2,,,,92.8,2157,,,
CU,10/5/2022,74.1,,71.5,-17,74.6,2156,,,
CU,10/5/2022,73.2,,,,73.6,2104,,,
FF,10/5/2022,92,,,,93.3,2009,,,
CH,10/5/2022,82.6,,,,83.4,1619,,,
FF,10/5/2022,91.2,,,,92.3,2070,,,
CH,10/5/2022,81.6,,,,82.8,1636,,,
CH,10/5/2022,83.2,ground_ball,89.7,-7,84.3,1745,0.149,0.134,2
CH,10/5/2022,83,,,,83.5,1864,,,
CH,10/5/2022,82.8,,,,83.7,1675,,,
FF,10/5/2022,91.6,,,,92.5,2193,,,
CU,10/5/2022,84.2,,,,83.5,2911,,,
FF,10/5/2022,89.8,ground_ball,82.9,-3,90.7,2147,0.171,0.162,2
FF,10/5/2022,94.2,,65.8,83,93.4,2117,,,
FF,10/5/2022,90.6,popup,96.8,62,91.7,2125,0.017,0.024,3
FF,10/5/2022,91.4,,,,92.1,2242,,,
CU,10/5/2022,85,,57.2,-43,84.6,2887,,,
FF,10/5/2022,87.8,,,,88.6,2263,,,
CU,10/5/2022,85,,,,84.7,2967,,,
CU,10/5/2022,83.7,line_drive,95,14,83.5,2881,0.914,0.901,4
CH,10/5/2022,86.6,ground_ball,89,-12,87.4,2260,0.137,0.128,2
FF,10/5/2022,95.2,,,,95.9,2414,,,
FF,10/5/2022,95,,,,94.4,2169,,,
FF,10/5/2022,94.8,,,,95.1,2347,,,
FF,10/5/2022,94.5,,,,93.8,2094,,,
SL,10/5/2022,87.2,,,,87.3,2927,,,
CU,10/5/2022,83,,72.1,35,82.4,2825,,,
FF,10/5/2022,93.3,line_drive,101.2,15,93.9,2274,0.637,0.626,4
FF,10/5/2022,95.2,,,,94,2224,,,
CH,10/5/2022,84.1,,,,85.3,2134,,,
CU,10/5/2022,83.3,,,,82.6,2851,,,
SL,10/5/2022,86,ground_ball,55.6,-2,86.4,2896,0.111,0.1,1
CU,10/5/2022,85.1,,64,-37,84.3,2773,,,
FF,10/5/2022,95.4,,,,94.1,2264,,,
FF,10/5/2022,95.4,,,,96.1,2446,,,
SL,10/5/2022,83.2,,91,42,83.3,2791,,,
FF,10/5/2022,94.2,,,,92.6,2276,,,
SL,10/5/2022,82.5,,,,82.5,2951,,,
CU,10/5/2022,83,,,,81.9,2902,,,
CU,10/5/2022,83.8,,,,82.7,2917,,,
CH,10/5/2022,84.5,line_drive,102.6,8,85.6,2183,0.683,0.628,4
CU,10/5/2022,83,,,,82.4,2766,,,
CH,10/5/2022,82.8,,,,83.9,2146,,,
FF,10/5/2022,94.5,ground_ball,92.2,-11,93.7,2135,0.16,0.153,2
FF,10/5/2022,93.1,,,,93.7,2476,,,
CU,10/5/2022,82.6,fly_ball,98.2,40,82.2,2799,0.08,0.146,3
FF,10/5/2022,94.3,,,,95.1,2373,,,
CU,10/5/2022,82.5,,,,81.8,2814,,,
FF,10/5/2022,93.5,,,,94.1,2371,,,
CU,10/5/2022,81.9,,,,80.5,2861,,,
SL,10/5/2022,80.9,,,,81.5,2698,,,
FF,10/5/2022,92.8,,,,91.4,2012,,,
FF,10/5/2022,95,,,,95.4,2410,,,
SL,10/4/2022,76,,,,76.7,2012,,,
SL,10/4/2022,72.9,,61.4,30,73.2,2023,,,
SL,10/4/2022,74.9,,,,75.4,1960,,,
SI,10/4/2022,89.9,,,,90.5,1924,,,
SI,10/4/2022,91.1,ground_ball,72,-40,92.2,2088,0.117,0.11,2
SI,10/4/2022,89.3,,72.5,36,90.2,1913,,,
CH,10/4/2022,82.6,,,,83.5,1370,,,
CH,10/4/2022,83.4,,,,84.5,1618,,,
CH,10/4/2022,81.8,,,,82.6,1546,,,
CH,10/4/2022,80.8,,,,81.4,1673,,,
CH,10/4/2022,84.3,line_drive,99.3,17,85.1,1350,0.466,0.486,4
SI,10/4/2022,90.2,,,,91.6,1913,,,
SI,10/4/2022,90.1,,,,91.1,2015,,,
SL,10/4/2022,79.3,,,,79.7,2035,,,
SI,10/4/2022,92.2,,84.7,-24,93.6,2005,,,
SI,10/4/2022,91.4,,,,92.9,1911,,,
SI,10/4/2022,91.5,,69.8,53,92.8,2146,,,
SI,10/4/2022,91.2,,,,92.2,2092,,,
SI,10/4/2022,90.8,,,,92.1,2122,,,
SI,10/4/2022,89.8,fly_ball,95.3,35,90.8,2049,0.091,0.15,3
SL,10/4/2022,76.2,,,,77.1,2084,,,
SI,10/4/2022,98.4,ground_ball,84.2,-17,98.9,2202,0.097,0.094,2
FF,10/4/2022,94.7,,,,94.8,2323,,,
SI,10/4/2022,99.3,,,,99.5,2242,,,
SI,10/4/2022,99.3,,,,99.7,2230,,,
SI,10/4/2022,100.2,line_drive,93.7,12,100.6,2194,0.874,0.839,4
SI,10/4/2022,100.4,,83.2,42,100.4,2142,,,
SL,10/4/2022,78.7,,,,78.4,2387,,,
SI,10/4/2022,99.9,fly_ball,105.9,38,100.4,2153,0.526,1.068,6
FS,10/4/2022,86.6,,,,87.5,1015,,,
FS,10/4/2022,88.6,,,,89.3,1156,,,
CH,10/4/2022,80.3,,,,79.9,1823,,,
SI,10/4/2022,100.4,,82.7,10,100.4,2198,,,
CH,10/4/2022,80.2,,,,79.7,1775,,,
SI,10/4/2022,98.3,ground_ball,88.1,-5,98.4,2217,0.157,0.146,2
CH,10/4/2022,79.4,,48.9,-39,79.1,1821,,,
FS,10/4/2022,85.4,,,,86.1,1306,,,
SI,10/4/2022,100.4,,,,100.2,2206,,,
CH,10/4/2022,79,,,,78.7,1862,,,
SI,10/4/2022,100.6,,,,100.5,2235,,,
FF,10/4/2022,94.7,ground_ball,91.2,7,93.8,2423,0.509,0.475,4
CH,10/4/2022,89.9,,,,90.4,1542,,,
FF,10/4/2022,94.8,,,,93.7,2399,,,
SI,10/4/2022,98.5,line_drive,100.9,4,98.8,2126,0.586,0.562,4
FF,10/4/2022,100.6,,74.6,44,100.6,2464,,,
FF,10/4/2022,93.6,,,,92.4,2305,,,
SI,10/4/2022,99.3,,,,99.6,2213,,,
FF,10/4/2022,100,,,,100.2,2246,,,
CH,10/4/2022,79.2,,,,78.5,1718,,,
SI,10/4/2022,99.9,,,,99.8,2243,,,
SI,10/4/2022,98.3,,,,98,2190,,,
FF,10/4/2022,96.5,,,,96.6,2228,,,
CH,10/4/2022,79.2,,,,78.8,1665,,,
CH,10/4/2022,79.6,,,,79.1,1755,,,
SI,10/4/2022,96.5,ground_ball,99.2,-19,97,2205,0.117,0.105,2
SI,10/4/2022,100,,,,100.1,2222,,,
FC,10/4/2022,88.6,,90.7,82,87.9,2257,,,
CH,10/4/2022,89.9,,,,90.4,1823,,,
SI,10/4/2022,100.3,,,,100.4,2240,,,
CU,10/4/2022,82.2,,,,81.4,2520,,,
FF,10/4/2022,95.6,,,,95.9,2327,,,
FS,10/4/2022,89,,,,89.3,1028,,,
FF,10/4/2022,96.9,,,,97.8,2287,,,
FC,10/4/2022,89.6,,,,89.4,2247,,,
SI,10/4/2022,97.7,,,,97.6,2186,,,
CU,10/3/2022,81.3,line_drive,91.2,24,80.2,2883,0.16,0.181,3
FF,10/3/2022,95,,,,94.5,2690,,,
CH,10/3/2022,87.9,,87.8,-31,87.9,2070,,,
FF,10/3/2022,93.8,,101.7,1,93.2,2525,,,
SI,10/3/2022,94,popup,63.9,68,93.7,2460,0,0,3
CU,10/3/2022,80.6,,,,80.1,2753,,,
SL,10/3/2022,83.2,ground_ball,59.2,2,82.6,2882,0.14,0.126,1
FC,10/3/2022,90.6,,,,90.7,2576,,,
FF,10/3/2022,94.2,,,,93.6,2560,,,
FF,10/3/2022,93.9,,,,93.6,2549,,,
CU,10/3/2022,79.9,,,,79.2,2721,,,
FF,10/3/2022,94.7,popup,68.3,60,94,2576,0.017,0.015,3
FC,10/3/2022,91.1,,,,91.2,2551,,,
CH,10/3/2022,87.5,,,,86.9,1839,,,
SI,10/3/2022,93.7,popup,63.1,77,92.7,2420,0.006,0.005,3
CU,10/3/2022,81,,,,79.7,2765,,,
SI,10/3/2022,93.6,,94.6,-23,93,2573,,,
FC,10/3/2022,91,,,,90.9,2562,,,
SL,10/3/2022,82.9,line_drive,92.7,14,81.8,2922,0.931,0.911,4
CU,10/3/2022,81.2,,65.7,-56,79.9,2674,,,
FF,10/3/2022,93.5,,,,92.7,2552,,,
FF,10/3/2022,94,,,,93.4,2608,,,
FC,10/3/2022,91.2,,101.7,24,90.7,2619,,,
CU,10/3/2022,82.4,ground_ball,96.2,2,81.6,2773,0.46,0.442,4
