pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
CH,10/5/2022,78.4,ground_ball,46.7,-80,78.4,2059,0.151,0.136,1
FC,10/5/2022,86.2,,,,86.9,1960,,,
FC,10/5/2022,86.7,,60,50,86.9,1882,,,
CH,10/5/2022,79.3,,,,79.4,2047,,,
FF,10/5/2022,87.5,line_drive,104.9,12,87.7,2035,0.857,0.856,4
CU,10/5/2022,77.2,,,,77.2,1790,,,
FF,10/5/2022,87.8,fly_ball,76.1,44,87.8,1967,0.12,0.133,3
FF,10/5/2022,89.1,,,,89.2,1969,,,
FF,10/5/2022,87.8,ground_ball,74.3,-8,88.3,1909,0.071,0.064,2
FF,10/5/2022,88.7,popup,73.3,64,89,2055,0.006,0.005,3
CH,10/5/2022,78.4,,60,44,78,2066,,,
CH,10/5/2022,78,,,,77.5,2191,,,
CH,10/5/2022,78.1,,,,77.6,2113,,,
FC,10/5/2022,86.1,,,,86.5,2020,,,
CH,10/5/2022,78.4,fly_ball,71.9,27,77.9,2025,0.834,0.782,4
FF,10/5/2022,88.5,,,,88.4,1888,,,
FC,10/5/2022,85.5,,82.6,46,85.9,2027,,,
FC,10/5/2022,85.2,,,,85.6,2046,,,
FC,10/5/2022,86.1,popup,69.6,69,86.6,2046,0,0,3
CH,10/5/2022,79.2,,,,79,2101,,,
FF,10/5/2022,88.8,ground_ball,68.5,-5,88.6,1871,0.089,0.08,2
CH,10/5/2022,79.4,,,,79,2058,,,
CU,10/5/2022,78.8,,21.8,11,78.4,2062,,,
FC,10/5/2022,86.1,,46.7,50,86.3,1958,,,
CU,10/5/2022,77.5,,,,77,2071,,,
CH,10/5/2022,79.6,ground_ball,79.6,6,79.1,2118,0.303,0.273,2
CH,10/5/2022,78.8,,65.2,-28,78.5,2036,,,
FF,10/5/2022,88.7,,,,88.9,2056,,,
FF,10/5/2022,88.3,,81.3,31,88.6,1988,,,
CH,10/5/2022,78.5,,,,78.3,2091,,,
CU,10/5/2022,76.7,,,,76.1,2154,,,
FC,10/5/2022,83.9,,,,84.1,1839,,,
CH,10/5/2022,78.3,,,,78.5,2105,,,
FF,10/5/2022,88.9,,,,89.4,1950,,,
FC,10/5/2022,86.2,,92.5,-29,87.1,1964,,,
FC,10/5/2022,86.4,,,,87,2065,,,
CH,10/5/2022,78.8,,,,78.9,2045,,,
FF,10/5/2022,87.9,line_drive,88.6,12,88.4,2010,0.786,0.737,4
FC,10/5/2022,86,ground_ball,61.9,12,86.5,2008,0.26,0.234,2
CH,10/5/2022,77,,,,76.9,2061,,,
FF,10/5/2022,88.8,,93.1,36,89.1,2019,,,
CH,10/5/2022,76.6,,91.9,24,76.7,2109,,,
CH,10/5/2022,78.1,,,,77.9,2197,,,
FF,10/5/2022,88.5,,,,89.1,1962,,,
CU,10/5/2022,76.3,,,,76.6,2188,,,
FF,10/5/2022,89,,,,89.6,1987,,,
CU,10/5/2022,74.8,,,,75.1,1760,,,
FC,10/5/2022,87.5,fly_ball,100.9,26,87.9,2018,0.6,1.021,6
FC,10/5/2022,85.6,,,,85.8,1916,,,
CH,10/5/2022,78.4,,,,77.7,2108,,,
CH,10/5/2022,78.7,,,,78.1,2146,,,
FF,10/5/2022,89.1,,,,89,1951,,,
CH,10/5/2022,77.8,,,,77.5,2048,,,
CH,10/5/2022,79.1,,,,78.6,2086,,,
CU,10/5/2022,77,,,,76.6,2158,,,
SL,10/5/2022,82.4,,,,82,2577,,,
FS,10/5/2022,84.3,,,,85,985,,,
FF,10/5/2022,91.2,,,,91.1,2512,,,
FF,10/5/2022,93.8,,76.1,-22,94.1,2272,,,
FF,10/5/2022,91.1,,73,62,90.9,2493,,,
FF,10/5/2022,93.9,,,,94.2,2224,,,
FF,10/5/2022,90.9,,,,90.8,2480,,,
FS,10/5/2022,82.1,,,,82.9,889,,,
SL,10/5/2022,82.4,,,,82.1,2466,,,
SL,10/5/2022,86.9,,,,87.6,2072,,,
SL,10/5/2022,87,,,,87.8,2252,,,
SL,10/5/2022,82.8,,,,82.9,2432,,,
FF,10/5/2022,90.8,,62.6,48,90.8,2421,,,
FF,10/5/2022,93.9,,79.2,9,94.3,2242,,,
SL,10/5/2022,81.1,,,,81,2431,,,
SL,10/5/2022,85.1,,74.4,6,86.2,2186,,,
SL,10/5/2022,81.7,,,,81.6,2353,,,
FF,10/5/2022,93.6,,,,94.3,2304,,,
FF,10/5/2022,92,,76.4,14,92.6,2343,,,
SL,10/5/2022,82.6,,,,82.6,2522,,,
FF,10/5/2022,89.1,,73.2,63,89,2454,,,
FF,10/5/2022,92.7,popup,74.8,64,93.1,2312,0.009,0.008,3
SL,10/5/2022,81.7,,,,81.8,2468,,,
FF,10/5/2022,91.3,,,,91.7,2324,,,
SI,10/4/2022,91.5,ground_ball,84.5,-18,91,2110,0.086,0.08,2
SL,10/4/2022,82.6,ground_ball,96.6,6,82.1,2635,0.571,0.539,4
CH,10/4/2022,88.1,,72.6,-36,87.8,1924,,,
SL,10/4/2022,83.5,,,,82.8,2644,,,
FF,10/4/2022,92.2,,103.8,10,91.8,2025,,,
CH,10/4/2022,88.1,,,,87.5,1814,,,
CH,10/4/2022,87,,62.6,-34,86.8,1918,,,
SI,10/4/2022,91.2,,,,90.9,2002,,,
CH,10/4/2022,85.2,line_drive,87.9,23,84.7,1577,0.237,0.254,3
SL,10/4/2022,81.6,ground_ball,87.2,0,80.6,2583,0.271,0.259,2
SL,10/4/2022,81.7,,,,81.5,2577,,,
CH,10/4/2022,86.7,,,,86.1,1608,,,
FF,10/4/2022,91.7,,75.2,32,91.4,2084,,,
SL,10/4/2022,80.7,,,,79.8,2522,,,
SL,10/4/2022,80.9,fly_ball,104.9,28,80.6,2442,0.854,1.726,6
SL,10/4/2022,81.7,,67.1,24,81.3,2479,,,
SI,10/4/2022,91.1,,,,90.7,2075,,,
SL,10/4/2022,81.6,,,,81.2,2537,,,
SL,10/4/2022,81.5,,,,81.3,2508,,,
SI,10/4/2022,91.7,ground_ball,103.7,-7,91.1,1998,0.351,0.336,2
FF,10/4/2022,91.7,,,,91.3,1974,,,
CH,10/4/2022,87.3,line_drive,111.3,8,86.8,1840,0.794,0.787,5
CH,10/4/2022,87.3,line_drive,107.8,8,86.8,1863,0.729,0.711,4
SL,10/4/2022,80.9,,,,80.4,2488,,,
SL,10/4/2022,83.8,,,,83.9,2586,,,
CH,10/4/2022,86.7,,99.6,10,86.1,1943,,,
CH,10/4/2022,85.4,,,,84.9,1780,,,
FF,10/4/2022,92,,,,91.6,2051,,,
SL,10/4/2022,80.1,,,,79.4,2450,,,
SL,10/4/2022,84.5,fly_ball,102.8,34,84.8,2618,0.571,1.151,6
SL,10/4/2022,83.8,,,,83.9,2583,,,
SL,10/4/2022,84.5,line_drive,72.3,25,84,2631,0.909,0.869,4
SL,10/4/2022,84.2,,,,83.9,2695,,,
SL,10/4/2022,83.9,,,,83.8,2573,,,
SL,10/4/2022,82.5,,,,82.7,2651,,,
FF,10/4/2022,91.5,,,,91.8,2341,,,
SL,10/4/2022,82.9,,,,82.5,2655,,,
FF,10/4/2022,91.7,,,,91.9,2274,,,
SL,10/4/2022,80.2,,,,79.8,2693,,,
FF,10/4/2022,87.7,,78.7,23,88,2323,,,
SL,10/4/2022,82.4,,,,82.3,2463,,,
FF,10/4/2022,88.4,,75.7,-23,88.4,2208,,,
SL,10/4/2022,85.5,ground_ball,70.4,2,86.8,2054,0.126,0.113,2
SL,10/4/2022,82.6,,86.7,30,82.6,2566,,,
SL,10/4/2022,82.9,,83.8,-13,82.8,2598,,,
FF,10/4/2022,91.8,,,,92.4,2224,,,
FF,10/4/2022,88,,,,88.1,2256,,,
SL,10/4/2022,82.9,,,,82.8,2617,,,
SL,10/4/2022,86,,,,87,2126,,,
FF,10/4/2022,87.3,,,,87.1,2280,,,
FF,10/4/2022,87.2,popup,79.6,64,87.3,2313,0.009,0.008,3
SL,10/4/2022,83.8,,,,83.6,2566,,,
SL,10/4/2022,85.5,ground_ball,102,-6,86.1,1988,0.294,0.265,2
FF,10/4/2022,93.2,,,,93.7,2173,,,
SL,10/4/2022,80.9,,,,80.7,2689,,,
SL,10/4/2022,78.7,,,,78.5,2519,,,
FF,10/4/2022,92.9,,85.9,42,93.4,2245,,,
FF,10/4/2022,88.9,,,,88.8,2281,,,
SL,10/4/2022,83.9,,,,83.6,2691,,,
FF,10/4/2022,88.2,,,,88.5,2196,,,
FF,10/4/2022,92.5,,73.7,-34,92.7,2251,,,
FF,10/4/2022,92.4,,,,93,2342,,,
FF,10/4/2022,88.7,,,,88.8,2286,,,
FF,10/4/2022,91.2,,77.7,18,91.7,2212,,,
SL,10/4/2022,84.5,,,,84.4,2699,,,
FF,10/4/2022,92.1,,,,92.3,2236,,,
FS,10/4/2022,82.4,,,,83.3,1165,,,
FF,10/4/2022,88.2,,,,88.4,2240,,,
FF,10/4/2022,87.8,,,,87.8,2338,,,
FF,10/4/2022,91.2,,,,91.8,2214,,,
SL,10/4/2022,83.9,,,,83.9,2666,,,
FA,10/4/2022,88.8,fly_ball,95.5,41,87.4,2028,0.04,0.066,3
SL,10/4/2022,79.1,,74.2,59,79,2578,,,
FF,10/4/2022,91.6,,,,92.1,2267,,,
SL,10/4/2022,83,,,,82.8,2623,,,
SL,10/4/2022,79.3,,74.6,20,79,2663,,,
