pitch_type,game_date,release_speed,bb_type,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
CH,10/5/2022,89.5,ground_ball,107,-15,89.6,1817,0.226,0.203,2
CH,10/5/2022,85.6,line_drive,101.6,14,85.8,1459,0.754,0.778,4
CH,10/5/2022,85.3,,,,85.5,1481,,,
CU,10/5/2022,72.9,,,,72.3,2786,,,
CU,10/5/2022,73.7,,,,73.1,2898,,,
FF,10/5/2022,91.1,ground_ball,84.5,-41,91.4,2048,0.069,0.062,2
CU,10/5/2022,71.8,,,,71.5,2732,,,
CH,10/5/2022,88.9,,,,89.1,1968,,,
FF,10/5/2022,93.5,ground_ball,103.5,-11,94.1,2185,0.277,0.252,2
FF,10/5/2022,92.8,,,,93.3,2168,,,
FF,10/5/2022,93,,69.5,56,93.3,2179,,,
SI,10/5/2022,91.9,,,,92.4,1949,,,
SL,10/5/2022,84.2,,88.8,56,84.2,2501,,,
FF,10/5/2022,93.2,,,,93.3,2170,,,
FF,10/5/2022,93.8,,86.2,72,94.3,2174,,,
FF,10/5/2022,93.1,,,,93.4,2141,,,
CU,10/5/2022,78.4,,,,77.9,2561,,,
SI,10/5/2022,92.6,,,,93.2,2026,,,
SI,10/5/2022,92.7,ground_ball,77.4,-47,93.2,2121,0.14,0.126,2
SL,10/5/2022,82.6,,,,82.4,2722,,,
SL,10/5/2022,83.9,,,,84,2703,,,
CU,10/5/2022,75.8,,,,75.4,2480,,,
FF,10/5/2022,92.1,,,,92.5,2177,,,
CU,10/5/2022,77.8,ground_ball,99.1,-25,77.8,2585,0.111,0.1,2
CU,10/5/2022,78,,,,77.7,2678,,,
SI,10/5/2022,99.8,ground_ball,94.4,-28,101,2012,0.089,0.082,2
SI,10/5/2022,100.4,,,,101.3,2018,,,
FF,10/5/2022,93.6,,,,93.9,2230,,,
SI,10/5/2022,101,,,,102.1,2063,,,
FF,10/5/2022,93.8,,,,94.1,2179,,,
SI,10/5/2022,101.2,line_drive,99.6,10,102.5,2160,0.766,0.709,4
CU,10/5/2022,78.6,,,,78,2652,,,
SI,10/5/2022,92.3,ground_ball,78.5,-37,92.9,2095,0.089,0.086,2
SI,10/5/2022,101.1,,,,102.2,2089,,,
SI,10/5/2022,100.1,,95.1,11,100.9,2015,,,
SI,10/5/2022,92.8,,,,93.5,2096,,,
SI,10/5/2022,93.1,ground_ball,98.2,-7,93.7,2030,0.26,0.24,2
SI,10/5/2022,98.5,,79,65,99.5,1974,,,
FF,10/5/2022,93.1,,,,93.2,2261,,,
SI,10/5/2022,98.9,,,,100,1946,,,
CU,10/5/2022,77.9,,,,77.4,2642,,,
SI,10/5/2022,99.1,,,,99.8,1966,,,
SI,10/5/2022,100.7,,,,101.8,1995,,,
CU,10/5/2022,76.7,,,,76.3,2606,,,
SI,10/5/2022,100.1,ground_ball,70.3,-26,100.7,2065,0.034,0.031,2
SL,10/5/2022,82.9,,,,82.8,2764,,,
SI,10/5/2022,100.2,,,,101.2,2033,,,
CU,10/5/2022,76.8,,,,76.1,2628,,,
SI,10/5/2022,98.6,ground_ball,101.3,-8,99.5,1955,0.257,0.231,2
SL,10/5/2022,81.6,,,,81.4,2758,,,
FF,10/5/2022,93.4,,77.8,0,93.8,2359,,,
SI,10/5/2022,99.6,line_drive,91.6,11,100.1,2189,0.777,0.744,4
SI,10/5/2022,98.6,,,,99,2043,,,
CU,10/5/2022,77.2,,,,76.7,2689,,,
FF,10/4/2022,93.2,ground_ball,89.7,1,94.2,2631,0.271,0.244,2
FF,10/4/2022,93.4,,78.9,60,94.1,2696,,,
CU,10/4/2022,80.7,,67,49,81.2,3184,,,
